task,fold,subject_id,method,BA,macro_F1,accuracy,trials
WBCIC_MI,0,sub-18,B0_Exact_LiteBN,0.62,0.6161616161616161,0.62,200
WBCIC_MI,0,sub-18,C0_LiteBN_DualCE,0.58,0.58,0.58,200
WBCIC_MI,0,sub-18,C1_LiteBN_SC,0.68,0.68,0.68,200
WBCIC_MI,0,sub-22,B0_Exact_LiteBN,0.725,0.7190939503051661,0.725,200
WBCIC_MI,0,sub-22,C0_LiteBN_DualCE,0.7749999999999999,0.7745434504872366,0.775,200
WBCIC_MI,0,sub-22,C1_LiteBN_SC,0.78,0.7734527855009783,0.78,200
WBCIC_MI,0,sub-35,B0_Exact_LiteBN,0.955,0.954971857410882,0.955,200
WBCIC_MI,0,sub-35,C0_LiteBN_DualCE,0.935,0.934998374959374,0.935,200
WBCIC_MI,0,sub-35,C1_LiteBN_SC,0.95,0.94999499949995,0.95,200
WBCIC_MI,0,sub-44,B0_Exact_LiteBN,0.8200000000000001,0.8191136569189026,0.82,200
WBCIC_MI,0,sub-44,C0_LiteBN_DualCE,0.835,0.8347976270931892,0.835,200
WBCIC_MI,0,sub-44,C1_LiteBN_SC,0.78,0.7773053952829234,0.78,200
WBCIC_MI,0,sub-49,B0_Exact_LiteBN,0.8899999999999999,0.8894583458948849,0.89,200
WBCIC_MI,0,sub-49,C0_LiteBN_DualCE,0.88,0.8792270531400965,0.88,200
WBCIC_MI,0,sub-49,C1_LiteBN_SC,0.895,0.8945544927317919,0.895,200
WBCIC_MI,0,sub-6,B0_Exact_LiteBN,0.91,0.90999099909991,0.91,200
WBCIC_MI,0,sub-6,C0_LiteBN_DualCE,0.915,0.9149978749468737,0.915,200
WBCIC_MI,0,sub-6,C1_LiteBN_SC,0.915,0.9148957472904308,0.915,200
WBCIC_MI,0,sub-9,B0_Exact_LiteBN,0.59,0.5849782366636299,0.59,200
WBCIC_MI,0,sub-9,C0_LiteBN_DualCE,0.575,0.5749893747343684,0.575,200
WBCIC_MI,0,sub-9,C1_LiteBN_SC,0.5549999999999999,0.551761476668933,0.555,200
WBCIC_MI,1,sub-12,B0_Exact_LiteBN,0.72,0.7192982456140351,0.72,200
WBCIC_MI,1,sub-12,C0_LiteBN_DualCE,0.71,0.7089522280208751,0.71,200
WBCIC_MI,1,sub-12,C1_LiteBN_SC,0.7150000000000001,0.7133878064110623,0.715,200
WBCIC_MI,1,sub-28,B0_Exact_LiteBN,0.58,0.5091164095371669,0.58,200
WBCIC_MI,1,sub-28,C0_LiteBN_DualCE,0.575,0.49161159125571935,0.575,200
WBCIC_MI,1,sub-28,C1_LiteBN_SC,0.585,0.5127821314314226,0.585,200
WBCIC_MI,1,sub-30,B0_Exact_LiteBN,0.825,0.8240100565681961,0.825,200
WBCIC_MI,1,sub-30,C0_LiteBN_DualCE,0.875,0.8748466871918099,0.875,200
WBCIC_MI,1,sub-30,C1_LiteBN_SC,0.905,0.9049976249406236,0.905,200
WBCIC_MI,1,sub-37,B0_Exact_LiteBN,0.845,0.8446854881134297,0.845,200
WBCIC_MI,1,sub-37,C0_LiteBN_DualCE,0.875,0.8747463613817982,0.875,200
WBCIC_MI,1,sub-37,C1_LiteBN_SC,0.87,0.8697916666666667,0.87,200
WBCIC_MI,1,sub-45,B0_Exact_LiteBN,0.9,0.9,0.9,200
WBCIC_MI,1,sub-45,C0_LiteBN_DualCE,0.9199999999999999,0.9199679871948779,0.92,200
WBCIC_MI,1,sub-45,C1_LiteBN_SC,0.945,0.9449656035021888,0.945,200
WBCIC_MI,1,sub-7,B0_Exact_LiteBN,0.7949999999999999,0.7947485669945684,0.795,200
WBCIC_MI,1,sub-7,C0_LiteBN_DualCE,0.765,0.7649941248531213,0.765,200
WBCIC_MI,1,sub-7,C1_LiteBN_SC,0.79,0.78997899789979,0.79,200
WBCIC_MI,2,sub-1,B0_Exact_LiteBN,0.925,0.9248478168290788,0.925,200
WBCIC_MI,2,sub-1,C0_LiteBN_DualCE,0.935,0.9349202773397411,0.935,200
WBCIC_MI,2,sub-1,C1_LiteBN_SC,0.92,0.9197994987468672,0.92,200
WBCIC_MI,2,sub-14,B0_Exact_LiteBN,0.51,0.5087719298245614,0.51,200
WBCIC_MI,2,sub-14,C0_LiteBN_DualCE,0.5549999999999999,0.551761476668933,0.555,200
WBCIC_MI,2,sub-14,C1_LiteBN_SC,0.52,0.5195676108497648,0.52,200
WBCIC_MI,2,sub-23,B0_Exact_LiteBN,0.96,0.9599358974358976,0.96,200
WBCIC_MI,2,sub-23,C0_LiteBN_DualCE,0.9650000000000001,0.9649570724137068,0.965,200
WBCIC_MI,2,sub-23,C1_LiteBN_SC,0.95,0.9499198717948718,0.95,200
WBCIC_MI,2,sub-32,B0_Exact_LiteBN,0.5900000000000001,0.5896306676008407,0.59,200
