scope,task,fold,method,subjects,BA,macro_F1,accuracy
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,0,B0_Exact_LiteBN,8,0.8046590909090908,0.7451189813836245,0.8256944444444445
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,0,C0_LiteBN_DualCE,8,0.8089772727272727,0.7546131331309769,0.835669191919192
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,1,B0_Exact_LiteBN,8,0.8907575757575757,0.8444899022334114,0.9017676767676768
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,1,C0_LiteBN_DualCE,8,0.8923484848484848,0.8556969941149335,0.9117424242424244
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,2,B0_Exact_LiteBN,8,0.765,0.7508644792121362,0.8621212121212121
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,2,C0_LiteBN_DualCE,8,0.7572348484848485,0.73842334722976,0.853219696969697
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,3,B0_Exact_LiteBN,8,0.8755681818181817,0.815055352175992,0.8777146464646464
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,3,C0_LiteBN_DualCE,8,0.8846590909090909,0.827794765762742,0.8880681818181819
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,4,B0_Exact_LiteBN,8,0.826780303030303,0.7689751777168532,0.8484217171717171
POST_GATE_EXPLORATORY_C0,OpenBMI_ERP,4,C0_LiteBN_DualCE,8,0.8276893939393939,0.7616496791546223,0.8375631313131313
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,0,B0_Exact_LiteBN,8,0.82375,0.819272433559829,0.82375
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,0,C0_LiteBN_DualCE,8,0.815,0.8107898336047823,0.815
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,1,B0_Exact_LiteBN,8,0.8062499999999999,0.8032335028023916,0.8062499999999999
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,1,C0_LiteBN_DualCE,8,0.8187500000000001,0.8158636487853409,0.8187500000000001
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,2,B0_Exact_LiteBN,8,0.73,0.7236329886713627,0.73
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,2,C0_LiteBN_DualCE,8,0.7112499999999999,0.7051665137659842,0.7112499999999999
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,3,B0_Exact_LiteBN,8,0.79125,0.78896955192686,0.79125
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,3,C0_LiteBN_DualCE,8,0.785,0.7834191304770174,0.7850000000000001
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,4,B0_Exact_LiteBN,8,0.7725,0.7648420600551302,0.7725
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,4,C0_LiteBN_DualCE,8,0.78625,0.7806502910965323,0.78625
POST_GATE_EXPLORATORY_C0,OpenBMI_SSVEP,0,B0_Exact_LiteBN,8,0.8487499999999999,0.8372615066922044,0.8487499999999999
POST_GATE_EXPLORATORY_C0,OpenBMI_SSVEP,0,C0_LiteBN_DualCE,8,0.8474999999999999,0.8370669678921077,0.8474999999999999
POST_GATE_EXPLORATORY_C0,OpenBMI_SSVEP,1,B0_Exact_LiteBN,8,0.91,0.9090687223276143,0.91
POST_GATE_EXPLORATORY_C0,OpenBMI_SSVEP,1,C0_LiteBN_DualCE,8,0.8775,0.8707892190412696,0.8775
POST_GATE_EXPLORATORY_C0,OpenBMI_SSVEP,2,B0_Exact_LiteBN,8,0.8575,0.8527857576436082,0.8574999999999999
POST_GATE_EXPLORATORY_C0,OpenBMI_SSVEP,2,C0_LiteBN_DualCE,8,0.8625,0.8573048714980485,0.8625
POST_GATE_EXPLORATORY_C0,OpenBMI_SSVEP,3,B0_Exact_LiteBN,8,0.86625,0.863601790863596,0.86625
POST_GATE_EXPLORATORY_C0,OpenBMI_SSVEP,3,C0_LiteBN_DualCE,8,0.875,0.8727028386271082,0.875
POST_GATE_EXPLORATORY_C0,OpenBMI_SSVEP,4,B0_Exact_LiteBN,8,0.9775,0.9774594338210711,0.9775
POST_GATE_EXPLORATORY_C0,OpenBMI_SSVEP,4,C0_LiteBN_DualCE,8,0.93625,0.9365059706652226,0.93625
