task,seed,fold,cache_split,audited_samples,max_abs_base_logit_difference,max_abs_stats_difference,label_mismatch_count,absolute_tolerance,status
WBCIC_MI,0,0,inner_train,17,7.152557373046875e-07,0.0,0,1e-06,PASS
WBCIC_MI,0,0,inner_val,17,3.5762786865234375e-07,0.0,0,1e-06,PASS
WBCIC_MI,0,1,inner_train,17,4.76837158203125e-07,0.0,0,1e-06,PASS
WBCIC_MI,0,1,inner_val,17,9.5367431640625e-07,0.0,0,1e-06,PASS
WBCIC_MI,0,2,inner_train,17,4.76837158203125e-07,0.0,0,1e-06,PASS
WBCIC_MI,0,2,inner_val,17,4.76837158203125e-07,0.0,0,1e-06,PASS
WBCIC_MI,0,3,inner_train,17,4.76837158203125e-07,0.0,0,1e-06,PASS
WBCIC_MI,0,3,inner_val,17,4.76837158203125e-07,0.0,0,1e-06,PASS
WBCIC_MI,0,4,inner_train,17,4.76837158203125e-07,0.0,0,1e-06,PASS
WBCIC_MI,0,4,inner_val,17,4.76837158203125e-07,0.0,0,1e-06,PASS
