task,model,fold,seed,path,sha256
OpenBMI_MI,LiteBN,0,0,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold0_seed0_litebn/selected_best.pt,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
OpenBMI_MI,TFFormer,0,0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_remaining_tasks_seed0_v1/runtime/checkpoints/OpenBMI_MI/fold0/selected.pt,5cf0f16d2d3980e040ccab7a45348d6a2010af49761a43cc7ce12306372c3b72
OpenBMI_MI,LiteBN,0,1,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold0_seed1_litebn/selected_best.pt,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa
OpenBMI_MI,TFFormer,0,1,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_multiseed_v1/runtime/seed1/checkpoints/OpenBMI_MI/fold0/selected.pt,8f14b717ccf4d1ba5ccc10cb20ca083dbabcb90fe4ac65f4b28333548a24159f
OpenBMI_MI,LiteBN,0,2,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold0_seed2_litebn/selected_best.pt,e9a084001940b2e4ca46729c1c0f6ad19c110c11f09df99b2bf0d04a93004eac
OpenBMI_MI,TFFormer,0,2,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_multiseed_v1/runtime/seed2/checkpoints/OpenBMI_MI/fold0/selected.pt,e8d9446bbfb7899dfb20508ecff58814f5564fba845e1a4ebfcc8473a288ae62
OpenBMI_MI,LiteBN,1,0,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold1_seed0_litebn/selected_best.pt,a8229c7f05ac72bea13934f14f5d3600e10e889454687be06f47105e61d3747e
OpenBMI_MI,TFFormer,1,0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_remaining_tasks_seed0_v1/runtime/checkpoints/OpenBMI_MI/fold1/selected.pt,ce69e9700f4723a75e76395f0719f1e584585dbd41d783c102a66615ee6e7996
OpenBMI_MI,LiteBN,1,1,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold1_seed1_litebn/selected_best.pt,b85320fdb1c4ebb1409b150272275ed05851493398ccef894d1b445ab19a654e
OpenBMI_MI,TFFormer,1,1,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_multiseed_v1/runtime/seed1/checkpoints/OpenBMI_MI/fold1/selected.pt,53dfb9652e56129b468ebf6c466e43e7e4f3ae9428783d617596714fed16692c
OpenBMI_MI,LiteBN,1,2,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold1_seed2_litebn/selected_best.pt,b3632994c47346649a737161603aae5621c79910406d014f41b8f662e0b314d7
OpenBMI_MI,TFFormer,1,2,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_multiseed_v1/runtime/seed2/checkpoints/OpenBMI_MI/fold1/selected.pt,19306c10ba71998fcde7c17870eb9a1168415a12a3f95c97a38cce5ef779870f
OpenBMI_MI,LiteBN,2,0,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold2_seed0_litebn/selected_best.pt,36a06475f75712f3c00276cc8de5aab7552c5aa6c5ee94cd201f543692751814
OpenBMI_MI,TFFormer,2,0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_remaining_tasks_seed0_v1/runtime/checkpoints/OpenBMI_MI/fold2/selected.pt,41733077ef93f708ef3dc1a69b87b9e209a11724d94a2b6d53d4a612c55e7c92
OpenBMI_MI,LiteBN,2,1,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold2_seed1_litebn/selected_best.pt,76280844278a5619786f5a1f939e9623b0d0b1ff804ea6f4a8b6d43bcaab6b5a
OpenBMI_MI,TFFormer,2,1,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_multiseed_v1/runtime/seed1/checkpoints/OpenBMI_MI/fold2/selected.pt,1ba2f57a8228162b9327e72412242d1c58e3c48a27ab8ca628d6845fe70a5721
OpenBMI_MI,LiteBN,2,2,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold2_seed2_litebn/selected_best.pt,517d1d79073afb5cc4b11cdb32e01a24e93c5c9a814547634db65758da11f251
OpenBMI_MI,TFFormer,2,2,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_multiseed_v1/runtime/seed2/checkpoints/OpenBMI_MI/fold2/selected.pt,60f0dc21136555faed14d7e8d61fbcbfe30c9ec5df64af96b2ab4c5db3c79b80
OpenBMI_MI,LiteBN,3,0,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold3_seed0_litebn/selected_best.pt,2eb9b20d2f2ce7ba385fc296872935bf2ca5a1b5cc30e9f699d502dc25f1b256
OpenBMI_MI,TFFormer,3,0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_remaining_tasks_seed0_v1/runtime/checkpoints/OpenBMI_MI/fold3/selected.pt,9ccf73c1aca776a37660c2d4e423e6c4855782ce06f952ed3f20ae0c58d820fe
OpenBMI_MI,LiteBN,3,1,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold3_seed1_litebn/selected_best.pt,d0e57b465a347ddbea4c2ab5b24acee6d41ccea0b957d12ec52419daf502c31b
OpenBMI_MI,TFFormer,3,1,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_multiseed_v1/runtime/seed1/checkpoints/OpenBMI_MI/fold3/selected.pt,d786765dbc315b00ac83c4db2bb658d29a693389f11c4432c9a10787a5657787
OpenBMI_MI,LiteBN,3,2,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold3_seed2_litebn/selected_best.pt,eaad934be47be22c4a4b5ef604ad9bb22c0e058f655dff743ff84d0f127e0370
OpenBMI_MI,TFFormer,3,2,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_multiseed_v1/runtime/seed2/checkpoints/OpenBMI_MI/fold3/selected.pt,89f1e87dbf44c6413d316b543c80a24f0e44d785b7bea5dae823d5a16043bc52
OpenBMI_MI,LiteBN,4,0,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold4_seed0_litebn/selected_best.pt,656f9fd20601d63bed1fe5d4730a815288cc3a29c0c0357ce95559dd04ea6b63
OpenBMI_MI,TFFormer,4,0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_tfformer_remaining_tasks_seed0_v1/runtime/checkpoints/OpenBMI_MI/fold4/selected.pt,945caf6e9be8cd15b4451ee6810b086238ba23edaa03f31cdcd84fa3c1fdb10d
OpenBMI_MI,LiteBN,4,1,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold4_seed1_litebn/selected_best.pt,da73a311608c69caee6ec16b34438a213010bf48dc86f2f37b2bcd4e094bc2b3
