task,subject_id,session,trials,signal_path,label_path,signal_shape,signal_dtype,label_dtype
OpenBMI_MI,4,S1,100,canonical OpenBMI cache,canonical OpenBMI cache,100x62x1000,float32,canonical mapped integer
OpenBMI_MI,4,S2,100,canonical OpenBMI cache,canonical OpenBMI cache,100x62x1000,float32,canonical mapped integer
OpenBMI_MI,12,S1,100,canonical OpenBMI cache,canonical OpenBMI cache,100x62x1000,float32,canonical mapped integer
OpenBMI_MI,12,S2,100,canonical OpenBMI cache,canonical OpenBMI cache,100x62x1000,float32,canonical mapped integer
OpenBMI_MI,13,S1,100,canonical OpenBMI cache,canonical OpenBMI cache,100x62x1000,float32,canonical mapped integer
OpenBMI_MI,13,S2,100,canonical OpenBMI cache,canonical OpenBMI cache,100x62x1000,float32,canonical mapped integer
OpenBMI_MI,17,S1,100,canonical OpenBMI cache,canonical OpenBMI cache,100x62x1000,float32,canonical mapped integer
OpenBMI_MI,17,S2,100,canonical OpenBMI cache,canonical OpenBMI cache,100x62x1000,float32,canonical mapped integer
OpenBMI_MI,18,S1,100,canonical OpenBMI cache,canonical OpenBMI cache,100x62x1000,float32,canonical mapped integer
OpenBMI_MI,18,S2,100,canonical OpenBMI cache,canonical OpenBMI cache,100x62x1000,float32,canonical mapped integer
OpenBMI_MI,24,S1,100,canonical OpenBMI cache,canonical OpenBMI cache,100x62x1000,float32,canonical mapped integer
OpenBMI_MI,24,S2,100,canonical OpenBMI cache,canonical OpenBMI cache,100x62x1000,float32,canonical mapped integer
OpenBMI_MI,25,S1,100,canonical OpenBMI cache,canonical OpenBMI cache,100x62x1000,float32,canonical mapped integer
OpenBMI_MI,25,S2,100,canonical OpenBMI cache,canonical OpenBMI cache,100x62x1000,float32,canonical mapped integer
OpenBMI_MI,29,S1,100,canonical OpenBMI cache,canonical OpenBMI cache,100x62x1000,float32,canonical mapped integer
OpenBMI_MI,29,S2,100,canonical OpenBMI cache,canonical OpenBMI cache,100x62x1000,float32,canonical mapped integer
OpenBMI_MI,36,S1,100,canonical OpenBMI cache,canonical OpenBMI cache,100x62x1000,float32,canonical mapped integer
OpenBMI_MI,36,S2,100,canonical OpenBMI cache,canonical OpenBMI cache,100x62x1000,float32,canonical mapped integer
OpenBMI_MI,37,S1,100,canonical OpenBMI cache,canonical OpenBMI cache,100x62x1000,float32,canonical mapped integer
OpenBMI_MI,37,S2,100,canonical OpenBMI cache,canonical OpenBMI cache,100x62x1000,float32,canonical mapped integer
OpenBMI_MI,39,S1,100,canonical OpenBMI cache,canonical OpenBMI cache,100x62x1000,float32,canonical mapped integer
OpenBMI_MI,39,S2,100,canonical OpenBMI cache,canonical OpenBMI cache,100x62x1000,float32,canonical mapped integer
OpenBMI_MI,42,S1,100,canonical OpenBMI cache,canonical OpenBMI cache,100x62x1000,float32,canonical mapped integer
