fold,seed,dose,group_id,subject_id,identity_drop,baseline_identity_BA,post_identity_BA
0,0,HIGH,N,1,0.0,0.345,0.345
0,0,HIGH,N,3,0.0,0.925,0.925
0,0,HIGH,N,6,0.0,0.76,0.76
0,0,HIGH,N,10,0.0,0.925,0.925
0,0,HIGH,N,17,0.0,0.005,0.005
0,0,HIGH,N,28,0.0,0.6100000000000001,0.6100000000000001
0,0,HIGH,N,45,0.0,0.94,0.94
0,0,HIGH,N,48,0.0,0.8500000000000001,0.8500000000000001
0,0,HIGH,N,54,0.0,0.675,0.675
0,0,HIGH,P,1,0.0699999999999999,0.345,0.275
0,0,HIGH,P,3,0.03,0.925,0.895
0,0,HIGH,P,6,0.035,0.76,0.725
0,0,HIGH,P,10,-0.02,0.925,0.945
0,0,HIGH,P,17,-0.03,0.005,0.035
0,0,HIGH,P,28,0.2250000000000001,0.6100000000000001,0.385
0,0,HIGH,P,45,0.02,0.94,0.92
0,0,HIGH,P,48,-0.0349999999999999,0.8500000000000001,0.885
0,0,HIGH,P,54,0.1,0.675,0.575
0,0,LOW,N,1,0.0,0.345,0.345
0,0,LOW,N,3,0.0,0.925,0.925
0,0,LOW,N,6,0.0,0.76,0.76
0,0,LOW,N,10,0.0,0.925,0.925
0,0,LOW,N,17,0.0,0.005,0.005
0,0,LOW,N,28,0.0,0.6100000000000001,0.6100000000000001
0,0,LOW,N,45,0.0,0.94,0.94
0,0,LOW,N,48,0.0,0.8500000000000001,0.8500000000000001
0,0,LOW,N,54,0.0,0.675,0.675
0,0,LOW,P,1,0.0,0.345,0.345
0,0,LOW,P,3,0.0,0.925,0.925
0,0,LOW,P,6,0.0,0.76,0.76
0,0,LOW,P,10,0.0,0.925,0.925
0,0,LOW,P,17,0.0,0.005,0.005
0,0,LOW,P,28,0.0,0.6100000000000001,0.6100000000000001
0,0,LOW,P,45,0.0,0.94,0.94
0,0,LOW,P,48,0.0,0.8500000000000001,0.8500000000000001
0,0,LOW,P,54,0.0,0.675,0.675
0,0,MEDIUM,N,1,0.0,0.345,0.345
0,0,MEDIUM,N,3,0.0,0.925,0.925
0,0,MEDIUM,N,6,0.0,0.76,0.76
0,0,MEDIUM,N,10,0.0,0.925,0.925
0,0,MEDIUM,N,17,0.0,0.005,0.005
0,0,MEDIUM,N,28,0.0,0.6100000000000001,0.6100000000000001
0,0,MEDIUM,N,45,0.0,0.94,0.94
0,0,MEDIUM,N,48,0.0,0.8500000000000001,0.8500000000000001
0,0,MEDIUM,N,54,0.0,0.675,0.675
0,0,MEDIUM,P,1,0.0,0.345,0.345
0,0,MEDIUM,P,3,0.0,0.925,0.925
0,0,MEDIUM,P,6,0.0,0.76,0.76
0,0,MEDIUM,P,10,0.0,0.925,0.925
0,0,MEDIUM,P,17,0.0,0.005,0.005
0,0,MEDIUM,P,28,0.0,0.6100000000000001,0.6100000000000001
0,0,MEDIUM,P,45,0.0,0.94,0.94
0,0,MEDIUM,P,48,0.0,0.8500000000000001,0.8500000000000001
0,0,MEDIUM,P,54,0.0,0.675,0.675
0,1,HIGH,N,1,0.01575,0.395,0.37925
0,1,HIGH,N,3,-0.0015000000000000258,0.8999999999999999,0.9015
0,1,HIGH,N,6,0.033649999999999985,0.775,0.74135
0,1,HIGH,N,10,0.002350000000000015,0.965,0.9626499999999999
0,1,HIGH,N,17,-0.008999999999999992,0.1,0.109
0,1,HIGH,N,28,0.004850000000000009,0.535,0.53015
0,1,HIGH,N,45,0.0007499999999999999,0.99,0.98925
0,1,HIGH,N,48,0.013199999999999996,0.745,0.7318
0,1,HIGH,N,54,0.0052999999999999645,0.7749999999999999,0.7696999999999998
0,1,HIGH,P,1,0.155,0.395,0.23999999999999994
0,1,HIGH,P,3,0.0199999999999999,0.8999999999999999,0.88
0,1,HIGH,P,6,0.012499999999999999,0.775,0.7625
0,1,HIGH,P,10,0.010000000000000099,0.965,0.955
0,1,HIGH,P,17,-0.025,0.1,0.125
0,1,HIGH,P,28,0.11500000000000006,0.535,0.42
0,1,HIGH,P,45,0.0025,0.99,0.9875
0,1,HIGH,P,48,0.0125,0.745,0.7324999999999999
0,1,HIGH,P,54,-0.00750000000000005,0.7749999999999999,0.7825
0,1,LOW,N,1,0.0,0.395,0.395
0,1,LOW,N,3,0.0,0.8999999999999999,0.8999999999999999
0,1,LOW,N,6,0.0,0.775,0.775
0,1,LOW,N,10,0.0,0.965,0.965
0,1,LOW,N,17,0.0,0.1,0.1
0,1,LOW,N,28,0.0,0.535,0.535
0,1,LOW,N,45,0.0,0.99,0.99
0,1,LOW,N,48,0.0,0.745,0.745
0,1,LOW,N,54,0.0,0.7749999999999999,0.7749999999999999
0,1,LOW,P,1,0.0,0.395,0.395
0,1,LOW,P,3,0.0,0.8999999999999999,0.8999999999999999
0,1,LOW,P,6,0.0,0.775,0.775
0,1,LOW,P,10,0.0,0.965,0.965
0,1,LOW,P,17,0.0,0.1,0.1
0,1,LOW,P,28,0.0,0.535,0.535
0,1,LOW,P,45,0.0,0.99,0.99
0,1,LOW,P,48,0.0,0.745,0.745
0,1,LOW,P,54,0.0,0.7749999999999999,0.7749999999999999
0,1,MEDIUM,N,1,0.0,0.395,0.395
0,1,MEDIUM,N,3,0.0,0.8999999999999999,0.8999999999999999
0,1,MEDIUM,N,6,0.0,0.775,0.775
0,1,MEDIUM,N,10,0.0,0.965,0.965
0,1,MEDIUM,N,17,0.0,0.1,0.1
0,1,MEDIUM,N,28,0.0,0.535,0.535
0,1,MEDIUM,N,45,0.0,0.99,0.99
0,1,MEDIUM,N,48,0.0,0.745,0.745
0,1,MEDIUM,N,54,0.0,0.7749999999999999,0.7749999999999999
0,1,MEDIUM,P,1,0.0,0.395,0.395
0,1,MEDIUM,P,3,0.0,0.8999999999999999,0.8999999999999999
0,1,MEDIUM,P,6,0.0,0.775,0.775
0,1,MEDIUM,P,10,0.0,0.965,0.965
0,1,MEDIUM,P,17,0.0,0.1,0.1
0,1,MEDIUM,P,28,0.0,0.535,0.535
0,1,MEDIUM,P,45,0.0,0.99,0.99
0,1,MEDIUM,P,48,0.0,0.745,0.745
0,1,MEDIUM,P,54,0.0,0.7749999999999999,0.7749999999999999
1,0,HIGH,N,3,-0.013502173913043484,0.5549999999999999,0.5685021739130434
1,0,HIGH,N,7,0.001728260869565213,0.865,0.8632717391304348
1,0,HIGH,N,11,0.004410869565217371,0.8049999999999999,0.8005891304347825
1,0,HIGH,N,17,-0.0005847826086956522,0.0,0.0005847826086956522
1,0,HIGH,N,19,0.013154347826086953,0.76,0.7468456521739131
1,0,HIGH,N,22,0.005415217391304349,0.77,0.7645847826086957
1,0,HIGH,N,38,0.03435434782608695,0.515,0.4806456521739131
1,0,HIGH,N,40,0.0076739130434782775,0.5900000000000001,0.5823260869565219
1,0,HIGH,N,50,0.0282804347826087,0.28,0.2517195652173913
1,0,HIGH,P,3,0.1074999999999999,0.5549999999999999,0.4475
1,0,HIGH,P,7,0.024999999999999946,0.865,0.8400000000000001
1,0,HIGH,P,11,-0.0075000000000001,0.8049999999999999,0.8125
1,0,HIGH,P,17,-0.0025,0.0,0.0025
1,0,HIGH,P,19,0.0,0.76,0.76
1,0,HIGH,P,22,0.08750000000000001,0.77,0.6825
1,0,HIGH,P,38,0.0625,0.515,0.4525
1,0,HIGH,P,40,0.0475000000000001,0.5900000000000001,0.5425
1,0,HIGH,P,50,0.1125,0.28,0.16749999999999995
1,0,LOW,N,3,-0.0011,0.5549999999999999,0.5560999999999999
1,0,LOW,N,7,0.0002,0.865,0.8648
1,0,LOW,N,11,0.001449999999999997,0.805,0.80355
1,0,LOW,N,17,-0.0001,0.0,0.0001
1,0,LOW,N,19,0.0002,0.76,0.7598
1,0,LOW,N,22,0.00065,0.77,0.76935
1,0,LOW,N,38,0.002199999999999999,0.515,0.5128
1,0,LOW,N,40,-0.0006499999999999981,0.5900000000000001,0.5906500000000001
1,0,LOW,N,50,0.001050000000000001,0.28,0.27895000000000003
1,0,LOW,P,3,0.0,0.5549999999999999,0.5549999999999999
1,0,LOW,P,7,0.0,0.865,0.865
1,0,LOW,P,11,0.0,0.8049999999999999,0.8049999999999999
