fold,seed,protected_block_id,rank,Dmax_P,alpha_Dmax,noise_floor,measurable_Dmax,measurable_alpha_count,outer_test_used,outer_membership_enumerated
0,0,5,4,0.0,,0.02618891136433882,False,0,False,False
0,1,5,4,0.0,,0.024316962321596153,False,0,False,False
0,1,6,3,0.0,,0.0243169623084982,False,0,False,False
1,0,4,4,0.0,,0.029021542973089738,False,0,False,False
1,0,6,3,0.0,,0.02902154298036858,False,0,False,False
1,1,4,4,0.0,,0.027570899649197064,False,0,False,False
2,0,5,4,0.0,,0.024182160081279176,False,0,False,False
2,0,6,4,0.0,,0.024182160061798047,False,0,False,False
2,1,5,4,0.0,,0.027535682829063723,False,0,False,False
2,1,6,4,0.0,,0.027535682788004164,False,0,False,False
