model,method,fold,seed,subject_id,BA,macro_F1,CE,trials,future_session,coverage_ge2,median_valid_candidates,semantic_pass_rate,bank_stability
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,0,0,1,0.945,0.9449876222149984,0.1634688429496842,200,2,0.9661144578313252,24.0,0.9601217369477912,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,0,0,3,0.825,0.8244690187818149,0.3724110464844443,200,2,0.9661144578313252,24.0,0.9601217369477912,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,0,0,5,0.8200000000000001,0.8199279711884754,0.4154585201134829,200,2,0.9661144578313252,24.0,0.9601217369477912,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,0,0,16,0.5800000000000001,0.5784825371336813,0.8739059874812845,200,2,0.9661144578313252,24.0,0.9601217369477912,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,0,0,19,0.94,0.93999399939994,0.1508510002932594,200,2,0.9661144578313252,24.0,0.9601217369477912,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,0,0,21,0.9,0.8999899989999001,0.2288968410180156,200,2,0.9661144578313252,24.0,0.9601217369477912,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,0,0,28,0.6000000000000001,0.5815461868396276,0.7240839078387239,200,2,0.9661144578313252,24.0,0.9601217369477912,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,0,0,33,0.985,0.9849996249906248,0.0811082022607537,200,2,0.9661144578313252,24.0,0.9601217369477912,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,0,0,37,0.815,0.8149583656322672,0.4049700131880502,200,2,0.9661144578313252,24.0,0.9601217369477912,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,0,1,1,0.925,0.9249831212022706,0.174535559821926,200,2,0.9649561952440552,24.0,0.9582290362953692,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,0,1,3,0.81,0.8099239695878351,0.4200554571977266,200,2,0.9649561952440552,24.0,0.9582290362953692,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,0,1,5,0.81,0.81,0.430649217628804,200,2,0.9649561952440552,24.0,0.9582290362953692,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,0,1,16,0.59,0.5898359343737495,0.8569025509470278,200,2,0.9649561952440552,24.0,0.9582290362953692,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,0,1,19,0.955,0.9549988749718744,0.1235426224697587,200,2,0.9649561952440552,24.0,0.9582290362953692,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,0,1,21,0.865,0.8649155722326454,0.2776217452584517,200,2,0.9649561952440552,24.0,0.9582290362953692,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,0,1,28,0.6599999999999999,0.6510673234811166,0.7097862956863557,200,2,0.9649561952440552,24.0,0.9582290362953692,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,0,1,33,0.965,0.9649991249781243,0.0897504525194377,200,2,0.9649561952440552,24.0,0.9582290362953692,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,0,1,37,0.735,0.7330714411623983,0.4972591996003491,200,2,0.9649561952440552,24.0,0.9582290362953692,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,0,2,1,0.955,0.9549988749718744,0.1593685937216152,200,2,0.968820154652033,24.0,0.960848507524736,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,0,2,3,0.835,0.8340666247642992,0.3123782068155022,200,2,0.968820154652033,24.0,0.960848507524736,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,0,2,5,0.81,0.8099239695878351,0.4852805001126608,200,2,0.968820154652033,24.0,0.960848507524736,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,0,2,16,0.54,0.5388471177944862,0.8574722862161366,200,2,0.968820154652033,24.0,0.960848507524736,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,0,2,19,0.96,0.959983993597439,0.0800974674498574,200,2,0.968820154652033,24.0,0.960848507524736,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,0,2,21,0.86,0.859775641025641,0.2733805587796949,200,2,0.968820154652033,24.0,0.960848507524736,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,0,2,28,0.625,0.6169462958706811,0.592821946207385,200,2,0.968820154652033,24.0,0.960848507524736,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,0,2,33,0.97,0.96999699969997,0.1012786941273308,200,2,0.968820154652033,24.0,0.960848507524736,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,0,2,37,0.8200000000000001,0.8199279711884754,0.4118410481041323,200,2,0.968820154652033,24.0,0.960848507524736,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,0,2,0.705,0.7049926248156204,0.6664767755119649,200,2,0.9666435024322446,24.0,0.960263686201838,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,0,11,0.8600000000000001,0.8594941790445605,0.3441263941641461,200,2,0.9666435024322446,24.0,0.960263686201838,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,0,13,0.86,0.859873886497848,0.2532206941891004,200,2,0.9666435024322446,24.0,0.960263686201838,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,0,18,0.6100000000000001,0.6085909273384182,0.720849522456121,200,2,0.9666435024322446,24.0,0.960263686201838,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,0,27,0.6399999999999999,0.6382273138378052,0.766317992149958,200,2,0.9666435024322446,24.0,0.960263686201838,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,0,36,0.995,0.9949998749968748,0.0384552668261189,200,2,0.9666435024322446,24.0,0.960263686201838,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,0,44,0.8400000000000001,0.8397435897435898,0.3393847744767144,200,2,0.9666435024322446,24.0,0.960263686201838,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,0,45,0.915,0.914519170333124,0.1963120645017261,200,2,0.9666435024322446,24.0,0.960263686201838,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,1,2,0.71,0.7092731829573935,0.6648073550464523,200,2,0.9773857982813208,24.0,0.9690656565656564,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,1,11,0.845,0.8446854881134297,0.3278317999496526,200,2,0.9773857982813208,24.0,0.9690656565656564,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,1,13,0.905,0.9049786201895428,0.2029359997046228,200,2,0.9773857982813208,24.0,0.9690656565656564,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,1,18,0.69,0.6892230576441103,0.6662968430598596,200,2,0.9773857982813208,24.0,0.9690656565656564,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,1,27,0.625,0.5943204868154158,0.8593705268560597,200,2,0.9773857982813208,24.0,0.9690656565656564,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,1,36,0.985,0.984996624240454,0.0726299686019605,200,2,0.9773857982813208,24.0,0.9690656565656564,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,1,44,0.845,0.8449961249031226,0.3597777189871883,200,2,0.9773857982813208,24.0,0.9690656565656564,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,1,45,0.8899999999999999,0.8896025692492975,0.2101699430771557,200,2,0.9773857982813208,24.0,0.9690656565656564,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,2,2,0.765,0.7647117719206027,0.6460068620843546,200,2,0.9722671596949388,24.0,0.9645058161928974,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,2,11,0.835,0.8349628666449951,0.3408658126046042,200,2,0.9722671596949388,24.0,0.9645058161928974,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,2,13,0.89,0.8899889988998899,0.2326835855210974,200,2,0.9722671596949388,24.0,0.9645058161928974,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,2,18,0.61,0.61,0.7172820652463199,200,2,0.9722671596949388,24.0,0.9645058161928974,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,2,27,0.6699999999999999,0.6694711538461539,0.6688360913371373,200,2,0.9722671596949388,24.0,0.9645058161928974,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,2,36,0.99,0.99,0.032878985174819,200,2,0.9722671596949388,24.0,0.9645058161928974,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,2,44,0.825,0.8249956248906223,0.3921540680074059,200,2,0.9722671596949388,24.0,0.9645058161928974,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,1,2,45,0.92,0.9198717948717948,0.2040779948567753,200,2,0.9722671596949388,24.0,0.9645058161928974,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,0,9,0.6,0.5951007186962243,0.8571682499861992,200,2,0.9593023255813954,24.0,0.9542151162790696,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,0,22,0.76,0.7596153846153846,0.5481363294149099,200,2,0.9593023255813954,24.0,0.9542151162790696,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,0,25,0.975,0.9749943737340904,0.0640833995022075,200,2,0.9593023255813954,24.0,0.9542151162790696,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,0,26,0.765,0.7649941248531213,0.458244823029223,200,2,0.9593023255813954,24.0,0.9542151162790696,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,0,29,0.815,0.8149953748843721,0.4315539041335235,200,2,0.9593023255813954,24.0,0.9542151162790696,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,0,34,0.5449999999999999,0.5444419413781882,1.0188518294274405,200,2,0.9593023255813954,24.0,0.9542151162790696,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,0,35,0.945,0.9449656035021888,0.117220414851763,200,2,0.9593023255813954,24.0,0.9542151162790696,1.0
ATCNet-CleanRoom,Dynamic-ClassConditional-Uniform-NoKL,2,0,49,0.81,0.8087761674718197,0.3882678530566309,200,2,0.9593023255813954,24.0,0.9542151162790696,1.0
