task,seed,subject_equal_BA,subject_equal_macro_F1,trial_accuracy,checkpoint_folds,heldout_subjects
OpenBMI_MI,0,0.6750000000000002,0.670705726084313,0.6749999999999999,5,14
OpenBMI_MI,1,0.6724285714285716,0.6679761677013315,0.6724285714285714,5,14
OpenBMI_MI,2,0.6672857142857141,0.6604385996811121,0.6672857142857144,5,14
OpenBMI_ERP,0,0.7958917748917749,0.7897951418428344,0.8830519480519481,5,14
OpenBMI_ERP,1,0.8027792207792209,0.7944335126313311,0.8844877344877344,5,14
OpenBMI_ERP,2,0.8035324675324674,0.7826316471354876,0.870966810966811,5,14
OpenBMI_SSVEP,0,0.8850000000000001,0.8836436377929653,0.885,5,14
OpenBMI_SSVEP,1,0.8864285714285713,0.8848555856169426,0.8864285714285713,5,14
OpenBMI_SSVEP,2,0.8868571428571427,0.8854943919236048,0.8868571428571428,5,14
WBCIC_MI,0,0.7676000000000001,0.7628092602939616,0.7676,5,10
WBCIC_MI,1,0.7684000000000001,0.7664194799701656,0.7684,5,10
WBCIC_MI,2,0.7658999999999999,0.7611440793073502,0.7658999999999999,5,10
