dataset,outer_fold,opt_seed,subject,ERM_BA,MLDG_BA,delta_BA_pp
OpenBMI,0,0,18,73.0,73.0,0.0
OpenBMI,0,0,20,88.0,87.0,-1.0000000000000009
OpenBMI,0,0,21,99.0,95.0,-4.000000000000004
OpenBMI,0,0,23,68.0,74.0,6.000000000000005
OpenBMI,0,0,26,85.00000000000001,89.99999999999999,4.999999999999982
OpenBMI,0,0,30,73.0,72.0,-1.0000000000000009
OpenBMI,0,0,41,72.0,73.0,1.0000000000000009
OpenBMI,0,1,18,70.0,76.0,6.000000000000005
OpenBMI,0,1,20,88.0,89.0,1.0000000000000009
OpenBMI,0,1,21,100.0,89.99999999999999,-10.000000000000009
OpenBMI,0,1,23,67.0,72.0,4.999999999999993
OpenBMI,0,1,26,87.0,91.0,4.000000000000004
OpenBMI,0,1,30,73.0,74.0,1.0000000000000009
OpenBMI,0,1,41,71.0,70.0,-1.0000000000000009
OpenBMI,0,2,18,74.0,77.0,3.0000000000000027
OpenBMI,0,2,20,87.0,87.0,0.0
OpenBMI,0,2,21,96.0,98.0,2.0000000000000018
OpenBMI,0,2,23,61.0,66.0,5.000000000000004
OpenBMI,0,2,26,87.0,87.0,0.0
OpenBMI,0,2,30,73.0,76.0,3.0000000000000027
OpenBMI,0,2,41,72.0,73.0,1.0000000000000009
WBCIC,0,0,25,96.5,50.0,-46.5
WBCIC,0,0,29,85.00000000000001,50.0,-35.00000000000001
WBCIC,0,0,32,56.00000000000001,50.0,-6.000000000000005
WBCIC,0,0,34,58.00000000000001,50.0,-8.000000000000007
WBCIC,0,0,48,76.5,50.0,-26.5
WBCIC,0,1,25,96.5,89.5,-6.999999999999995
WBCIC,0,1,29,83.5,72.0,-11.5
WBCIC,0,1,32,57.49999999999999,52.5,-4.999999999999993
WBCIC,0,1,34,57.49999999999999,53.0,-4.499999999999993
WBCIC,0,1,48,77.0,63.5,-13.5
WBCIC,0,2,25,96.0,96.0,0.0
WBCIC,0,2,29,81.5,81.5,0.0
WBCIC,0,2,32,54.50000000000001,58.5,3.9999999999999925
WBCIC,0,2,34,52.5,51.5,-1.0000000000000009
WBCIC,0,2,48,72.0,71.5,-0.5000000000000004
