task,dataset,fold,seed,subject_id,BA,macro_F1,accuracy,trials
OpenBMI_MI,OpenBMI,0,0,4,0.69,0.6828644501278772,0.69,100
OpenBMI_MI,OpenBMI,0,0,12,0.62,0.6198479391756703,0.62,100
OpenBMI_MI,OpenBMI,0,0,13,0.6200000000000001,0.6186270574066639,0.62,100
OpenBMI_MI,OpenBMI,0,0,17,0.46,0.45454545454545453,0.46,100
OpenBMI_MI,OpenBMI,0,0,18,0.5700000000000001,0.567882624861823,0.57,100
OpenBMI_MI,OpenBMI,0,0,24,0.5,0.4981934965877158,0.5,100
OpenBMI_MI,OpenBMI,0,0,25,0.92,0.92,0.92,100
OpenBMI_MI,OpenBMI,0,0,29,0.65,0.6471418489767113,0.65,100
OpenBMI_MI,OpenBMI,0,0,36,0.74,0.7383252818035426,0.74,100
OpenBMI_MI,OpenBMI,0,0,37,0.6799999999999999,0.6736026111791106,0.68,100
OpenBMI_MI,OpenBMI,0,0,39,0.6,0.5998399359743898,0.6,100
OpenBMI_MI,OpenBMI,0,0,42,0.56,0.5598239295718287,0.56,100
OpenBMI_MI,OpenBMI,0,0,51,0.5,0.4981934965877158,0.5,100
OpenBMI_MI,OpenBMI,0,0,54,0.52,0.5182657567242072,0.52,100
OpenBMI_MI,OpenBMI,1,0,4,0.6599999999999999,0.6578099838969405,0.66,100
OpenBMI_MI,OpenBMI,1,0,12,0.63,0.6296667000300271,0.63,100
OpenBMI_MI,OpenBMI,1,0,13,0.69,0.6899689968996899,0.69,100
OpenBMI_MI,OpenBMI,1,0,17,0.53,0.5242433444680635,0.53,100
OpenBMI_MI,OpenBMI,1,0,18,0.56,0.5555555555555556,0.56,100
OpenBMI_MI,OpenBMI,1,0,24,0.5700000000000001,0.5664885573142454,0.57,100
OpenBMI_MI,OpenBMI,1,0,25,0.94,0.9399759903961584,0.94,100
OpenBMI_MI,OpenBMI,1,0,29,0.56,0.548440065681445,0.56,100
OpenBMI_MI,OpenBMI,1,0,36,0.78,0.7767857142857143,0.78,100
OpenBMI_MI,OpenBMI,1,0,37,0.62,0.6041666666666667,0.62,100
OpenBMI_MI,OpenBMI,1,0,39,0.5700000000000001,0.5664885573142454,0.57,100
OpenBMI_MI,OpenBMI,1,0,42,0.6000000000000001,0.5985547972701726,0.6,100
OpenBMI_MI,OpenBMI,1,0,51,0.47,0.468671679197995,0.47,100
OpenBMI_MI,OpenBMI,1,0,54,0.48000000000000004,0.47665056360708535,0.48,100
OpenBMI_MI,OpenBMI,2,0,4,0.6699999999999999,0.6576408341114224,0.67,100
OpenBMI_MI,OpenBMI,2,0,12,0.64,0.64,0.64,100
