backbone,fold,block,rank,eigenvalue_sum,minimum_eigenvalue,basis_sha256,embedding_sha256,representation_dim,effective_positive_rank,rank_tolerance,top32_orthogonality_error,cross_covariance_condition_positive,s1_s2_centroid_correlation,s1_s2_principal_angle_mean_deg,s1_s2_principal_angle_max_deg
EEGConformer,0,P01_04,4,0.5912845663677709,0.001199928085618107,76303c62685ed8a970270c8d9e9d52367ee19792da6a95b2a93fdb0a6de32374,72c960266dd2fc9ddce09d63ce99690d975b02be4ef0c2fd20dfb653b39ada4f,64,7,1.4210854715202004e-14,6.6547204481024e-15,4499.980068444448,0.9458350427830478,29.415138679461098,72.24743608745104
EEGConformer,0,P05_08,4,0.0009777635228154253,1.14941431640546e-16,76303c62685ed8a970270c8d9e9d52367ee19792da6a95b2a93fdb0a6de32374,72c960266dd2fc9ddce09d63ce99690d975b02be4ef0c2fd20dfb653b39ada4f,64,7,1.4210854715202004e-14,6.6547204481024e-15,4499.980068444448,0.9458350427830478,29.415138679461098,72.24743608745104
EEGConformer,0,P09_16,8,4.1069616268114036e-16,2.824076154534381e-17,76303c62685ed8a970270c8d9e9d52367ee19792da6a95b2a93fdb0a6de32374,72c960266dd2fc9ddce09d63ce99690d975b02be4ef0c2fd20dfb653b39ada4f,64,7,1.4210854715202004e-14,6.6547204481024e-15,4499.980068444448,0.9458350427830478,29.415138679461098,72.24743608745104
EEGConformer,0,P17_32,16,1.1594040002012904e-16,-7.9947765073569225e-19,76303c62685ed8a970270c8d9e9d52367ee19792da6a95b2a93fdb0a6de32374,72c960266dd2fc9ddce09d63ce99690d975b02be4ef0c2fd20dfb653b39ada4f,64,7,1.4210854715202004e-14,6.6547204481024e-15,4499.980068444448,0.9458350427830478,29.415138679461098,72.24743608745104
EEGConformer,1,P01_04,4,2.043032553889025,0.07139677764869024,48892acce056e7ac40cb8918643dce8a6215b2036215e45832648bd05cbac4fe,4821cd85574c2db44a00175061ad72a41058b3b6560780be12867d5059c9e820,64,7,1.4210854715202004e-14,7.542971513630625e-15,235.84065798279707,0.7686329016235679,36.726919588157834,88.13021052464632
EEGConformer,1,P05_08,4,0.03245701442997007,1.7100594473883607e-16,48892acce056e7ac40cb8918643dce8a6215b2036215e45832648bd05cbac4fe,4821cd85574c2db44a00175061ad72a41058b3b6560780be12867d5059c9e820,64,7,1.4210854715202004e-14,7.542971513630625e-15,235.84065798279707,0.7686329016235679,36.726919588157834,88.13021052464632
EEGConformer,1,P09_16,8,7.924707294726573e-16,5.661878156545371e-17,48892acce056e7ac40cb8918643dce8a6215b2036215e45832648bd05cbac4fe,4821cd85574c2db44a00175061ad72a41058b3b6560780be12867d5059c9e820,64,7,1.4210854715202004e-14,7.542971513630625e-15,235.84065798279707,0.7686329016235679,36.726919588157834,88.13021052464632
EEGConformer,1,P17_32,16,3.2066358391818467e-16,-2.3006772701904187e-18,48892acce056e7ac40cb8918643dce8a6215b2036215e45832648bd05cbac4fe,4821cd85574c2db44a00175061ad72a41058b3b6560780be12867d5059c9e820,64,7,1.4210854715202004e-14,7.542971513630625e-15,235.84065798279707,0.7686329016235679,36.726919588157834,88.13021052464632
EEGConformer,2,P01_04,4,1.8041955863797543,0.040348857162561064,e4f7da8e37574aa4e39e2a090a0058ba0340bff035eae3a747215131e4465792,8dc522667e030d71f298f5d02cc852a7e2a455fed0135dc14585f3b01f1ff35c,64,7,1.9280329903149232e-14,7.4627791544764e-15,223.29588643021253,0.5487411739285608,32.21486197954043,84.57272356500283
EEGConformer,2,P05_08,4,0.04077885911117143,2.578283500445878e-16,e4f7da8e37574aa4e39e2a090a0058ba0340bff035eae3a747215131e4465792,8dc522667e030d71f298f5d02cc852a7e2a455fed0135dc14585f3b01f1ff35c,64,7,1.9280329903149232e-14,7.4627791544764e-15,223.29588643021253,0.5487411739285608,32.21486197954043,84.57272356500283
EEGConformer,2,P09_16,8,1.0237941749905089e-15,8.396449198093732e-17,e4f7da8e37574aa4e39e2a090a0058ba0340bff035eae3a747215131e4465792,8dc522667e030d71f298f5d02cc852a7e2a455fed0135dc14585f3b01f1ff35c,64,7,1.9280329903149232e-14,7.4627791544764e-15,223.29588643021253,0.5487411739285608,32.21486197954043,84.57272356500283
EEGConformer,2,P17_32,16,3.917900644877312e-16,-1.41195870333075e-18,e4f7da8e37574aa4e39e2a090a0058ba0340bff035eae3a747215131e4465792,8dc522667e030d71f298f5d02cc852a7e2a455fed0135dc14585f3b01f1ff35c,64,7,1.9280329903149232e-14,7.4627791544764e-15,223.29588643021253,0.5487411739285608,32.21486197954043,84.57272356500283
EEGConformer,3,P01_04,4,0.7052449189142381,0.026778240735699687,5f7e6465da270912decf7c6c730c019a45549aecb819e39d4efdb35fa063e5d2,be94c2d9f6de05695918ae6bb144214cfd1c66d30cc6d07ce454b9e603de4f6d,64,7,1.4210854715202004e-14,6.775600114881941e-15,285.30590228966946,0.31204886899966583,41.495378752130556,83.55260881004743
