backbone,fold,block,subject,base_BA,candidate_BA,random_BA_mean,u_abs,u_random,u_spec,delta_BA,delta_BA_random,delta_BA_specific,logit_RMS,margin_displacement,prediction_flip_rate,total_variation
TeCh,0,P01_04,sub-1,0.8049999999999999,0.6,0.6882499999999999,0.14313345356606483,0.09184888568299744,0.051284567883067386,-0.20499999999999996,-0.11675000000000002,-0.08824999999999994,0.5367386813161021,0.6234052107028595,0.445,0.1406067032785875
TeCh,0,P01_04,sub-3,0.78,0.595,0.6848999999999998,0.12884640673458617,0.08135832780307513,0.04748807893151104,-0.18500000000000005,-0.09510000000000018,-0.08989999999999987,0.5863203596947391,0.6903751781653785,0.365,0.14997797946613076
TeCh,0,P01_04,sub-5,0.705,0.62,0.6566500000000001,0.0633331131179695,0.052593361699260356,0.01073975141870915,-0.08499999999999996,-0.04834999999999989,-0.03665000000000007,0.6706085825434768,0.8094579200017032,0.285,0.1678677242769175
TeCh,0,P01_04,sub-16,0.48,0.51,0.4890500000000001,-0.06518053269965218,0.024051103044161047,-0.08923163574381324,0.030000000000000027,0.009050000000000114,0.020949999999999913,0.47251310803422747,0.5506541108987614,0.48,0.127735846037967
TeCh,0,P01_04,sub-19,0.875,0.825,0.8321500000000002,0.23510988914616837,0.09707669402082267,0.1380331951253457,-0.050000000000000044,-0.04284999999999983,-0.007150000000000212,0.8661343712530916,1.0929577314117909,0.14,0.2049679726121382
TeCh,0,P01_04,sub-21,0.77,0.6699999999999999,0.70515,0.12811181790526935,0.07451142643815531,0.05360039146711404,-0.10000000000000009,-0.06484999999999996,-0.035150000000000126,0.6842551841308021,0.8174816427781495,0.28,0.16845265240385285
TeCh,0,P01_04,sub-28,0.665,0.525,0.61605,0.043369439844335035,0.04981894342626108,-0.006449503581926044,-0.14,-0.04895000000000005,-0.09104999999999996,0.544823995725954,0.6392143377855141,0.27,0.1356298023822345
TeCh,0,P01_04,sub-33,0.8049999999999999,0.69,0.7591000000000001,0.18055290406214486,0.08310922644479288,0.09744367761735198,-0.11499999999999999,-0.04589999999999983,-0.06910000000000016,0.7564468484625811,0.9361368978849275,0.235,0.18367267907088247
TeCh,0,P01_04,sub-37,0.665,0.575,0.61705,0.03859577128412072,0.049834952413517104,-0.011239181129396383,-0.09000000000000008,-0.04795000000000005,-0.04205000000000003,0.6429710589099392,0.7544052159264567,0.34,0.1612670175487317
TeCh,0,P05_08,sub-1,0.8049999999999999,0.81,0.7994999999999999,0.006148610913168454,0.00858151547131517,-0.002432904558146717,0.0050000000000001155,-0.00550000000000006,0.010500000000000176,0.10776072484297766,0.1523638298891032,0.035,0.03235029147411163
TeCh,0,P05_08,sub-3,0.78,0.76,0.7647499999999999,0.0031781938775523474,0.0063756861885970835,-0.003197492311044736,-0.020000000000000018,-0.015250000000000097,-0.004749999999999921,0.10773177175274312,0.1521264474511068,0.05,0.0308921749133162
TeCh,0,P05_08,sub-5,0.705,0.6950000000000001,0.7087499999999999,0.0031074635394969,0.0011701608438900947,0.0019373026956068051,-0.009999999999999898,0.00374999999999992,-0.013749999999999818,0.10868725903080752,0.15355605877876197,0.02,0.02890056614901047
TeCh,0,P05_08,sub-16,0.48,0.46499999999999997,0.48410000000000003,0.006712068715460002,-0.0033563619008079464,0.010068430616267948,-0.015000000000000013,0.004100000000000048,-0.01910000000000006,0.10887013158939393,0.15387779974800453,0.045,0.03405635445522536
TeCh,0,P05_08,sub-19,0.875,0.87,0.8741500000000001,0.0016812164601094953,0.009325605981782932,-0.007644389521673437,-0.0050000000000000044,-0.0008499999999999064,-0.004150000000000098,0.10792117027223781,0.15244338266476376,0.015,0.02374111430073909
TeCh,0,P05_08,sub-21,0.77,0.765,0.7692999999999999,0.0033903291965644224,0.00518881280693748,-0.0017984836103730572,-0.0050000000000000044,-0.000700000000000145,-0.0042999999999998595,0.10838823137159173,0.1532127214230865,0.045,0.0287548533131917
TeCh,0,P05_08,sub-28,0.665,0.6799999999999999,0.6657500000000001,-0.005913370890486578,-4.656760618379563e-05,-0.005866803284302782,0.014999999999999902,0.0007500000000000284,0.014249999999999874,0.10677675486645626,0.15088829060655354,0.075,0.030598111978283722
TeCh,0,P05_08,sub-33,0.8049999999999999,0.8049999999999999,0.801,-0.003132659649511563,0.00609589680437835,-0.009228556453889914,0.0,-0.0039999999999998925,0.0039999999999998925,0.10763329914302242,0.15212987859345722,0.02,0.02625927152083618
TeCh,0,P05_08,sub-37,0.665,0.665,0.6672,0.00857202254898084,0.0009907454500846181,0.007581277098896222,0.0,0.0021999999999999797,-0.0021999999999999797,0.10831192314454009,0.1530608149431924,0.09,0.030324348235270672
TeCh,0,P09_16,sub-1,0.8049999999999999,0.8049999999999999,0.8043,-0.00022135819328069947,0.0012631967265373239,-0.0014845549198180233,0.0,-0.0006999999999999229,0.0006999999999999229,0.0069599430333810814,0.00979740571848809,0.0,0.002090322533546739
TeCh,0,P09_16,sub-3,0.78,0.775,0.7742,-7.217035917327891e-05,0.0008659310945533104,-0.0009381014537265893,-0.0050000000000000044,-0.005800000000000027,0.0008000000000000229,0.006159565791877885,0.008438476686934062,0.005,0.0016949317011923225
TeCh,0,P09_16,sub-5,0.705,0.71,0.7081000000000001,-3.182330151362614e-05,-0.00019726366545243086,0.0001654403639388047,0.0050000000000000044,0.0031000000000001027,0.0018999999999999018,0.006900886653812844,0.009611583735928192,0.005,0.0018137139651149858
TeCh,0,P09_16,sub-16,0.48,0.48,0.48114999999999997,-0.00012870675433203263,-0.0013317356388758562,0.0012030288845438237,0.0,0.0011499999999999844,-0.0011499999999999844,0.00670137536083546,0.009307519277755506,0.0,0.0020750501153821723
TeCh,0,P09_16,sub-19,0.875,0.875,0.8722500000000002,7.985704263939037e-05,0.0015627552339623325,-0.0014828981913229422,0.0,-0.002749999999999808,0.002749999999999808,0.006806155565739879,0.009496146797125652,0.0,0.0014676870111072534
TeCh,0,P09_16,sub-21,0.77,0.77,0.7750000000000001,-5.663881132529726e-05,0.0006491975912670407,-0.0007058364025923379,0.0,0.0050000000000001155,-0.0050000000000001155,0.006957775358823143,0.009784603210828509,0.0,0.00183996196566185
TeCh,0,P09_16,sub-28,0.665,0.665,0.6652500000000002,0.00045342248823793867,-0.0003566216494837542,0.0008100441377216929,0.0,0.0002500000000001945,-0.0002500000000001945,0.006826827219399712,0.009474869996736331,0.0,0.0018993410716254713
