Backbone,Block,Competence,Protected,Actionable,Assignment,Action
EEGNet,P01_04,True,True,False,PROTECTED,PRESERVE
EEGNet,P05_08,True,False,False,DECISION-NULL / WEAKLY ACTIVE,NO_OP
EEGNet,P09_16,True,False,False,UNCERTAIN,NO_OP
EEGNet,P17_32,True,False,False,UNCERTAIN,NO_OP
FBCNet,P01_04,False,False,False,NOT_AUDITED_INCOMPETENT,NO_OP
FBCNet,P05_08,False,False,False,NOT_AUDITED_INCOMPETENT,NO_OP
FBCNet,P09_16,False,False,False,NOT_AUDITED_INCOMPETENT,NO_OP
FBCNet,P17_32,False,False,False,NOT_AUDITED_INCOMPETENT,NO_OP
EEGConformer,P01_04,True,False,False,DECISION-ACTIVE NON-ACTIONABLE,NO_OP
EEGConformer,P05_08,True,False,False,DECISION-NULL / WEAKLY ACTIVE,NO_OP
EEGConformer,P09_16,True,False,False,UNCERTAIN,NO_OP
EEGConformer,P17_32,True,False,False,UNCERTAIN,NO_OP
DeepConvNet,P01_04,True,True,False,PROTECTED,PRESERVE
DeepConvNet,P05_08,True,False,False,DECISION-ACTIVE NON-ACTIONABLE,NO_OP
DeepConvNet,P09_16,True,False,False,UNCERTAIN,NO_OP
DeepConvNet,P17_32,True,False,False,UNCERTAIN,NO_OP
TeCh,P01_04,True,True,False,PROTECTED,PRESERVE
TeCh,P05_08,True,False,False,UNCERTAIN,NO_OP
TeCh,P09_16,True,False,False,UNCERTAIN,NO_OP
TeCh,P17_32,True,False,False,UNCERTAIN,NO_OP
