Backbone,Task_BA,Task_BA_CI_L,Task_BA_CI_U,Representation_dimension,Competence,Block,Rank,Persistence_effect,Persistence_CI_L,u_spec,u_spec_CI_L,u_spec_CI_U,Local_decision_ratio,Local_decision_ratio_CI_L,Finite_decision_ratio,Finite_decision_ratio_CI_L,delta_BA_specific,delta_BA_specific_CI_L,H1,H2,H3,H4,H5,Protected,Preliminary_actionable,p_joint_raw,p_joint_global_holm,Global_multiplicity_pass,Globally_qualified_actionable,Assignment,Action,p_H1_raw,p_H2_raw,p_H3_local_raw,p_H3_finite_raw,p_H4_raw
EEGNet,0.794354982754373,0.748780487804878,0.8382740668883961,32,True,P01_04,4,0.5337708646520402,0.2779261954464895,0.0549551665615525,0.0212581080871844,0.0895896021784673,2.6217213093807032,1.80948986279126,1.62006524184309,1.3452614918686316,-0.0530279240576496,-0.0805749698586474,True,False,True,False,False,True,False,,,False,False,PROTECTED,PRESERVE,,,,,
EEGNet,0.794354982754373,0.748780487804878,0.8382740668883961,32,True,P05_08,4,0.0240392882315087,0.0103600051064329,-0.00466033425639,-0.0084219995289463,-0.0015572163982899,1.0825445622775605,0.688300817407112,1.036622102301423,0.9000129909556936,-0.0001618317319536,-0.0046228592325696,True,True,False,False,False,False,False,,,False,False,DECISION-NULL / WEAKLY ACTIVE,NO_OP,,,,,
EEGNet,0.794354982754373,0.748780487804878,0.8382740668883961,32,True,P09_16,8,-4.6797147422827255e-29,-1.1059500652803198e-28,0.0024505711105036,-0.0007029972477859,0.0058972100584864,0.2339207544598054,0.1676352977862507,0.5740724364825872,0.4769542793264993,-0.0083449833702882,-0.0180649258592017,False,False,False,False,False,False,False,,,False,False,UNCERTAIN,NO_OP,,,,,
EEGNet,0.794354982754373,0.748780487804878,0.8382740668883961,32,True,P17_32,16,-0.4666392213162386,-0.8564234469083085,0.0779088560585749,0.0438403035861304,0.1140119293259263,0.936650585129781,0.7917560437899069,1.3849616111721246,1.251294911953046,-0.0340186576127124,-0.0523995926875461,False,False,False,False,False,False,False,,,False,False,UNCERTAIN,NO_OP,,,,,
FBCNet,0.5037817196353782,0.4987817196353782,0.5095134269524514,288,False,P01_04,4,,,,,,,,,,,,False,False,False,False,False,False,False,1.0,1.0,False,False,NOT_AUDITED_INCOMPETENT,NO_OP,,,,,
FBCNet,0.5037817196353782,0.4987817196353782,0.5095134269524514,288,False,P05_08,4,,,,,,,,,,,,False,False,False,False,False,False,False,1.0,1.0,False,False,NOT_AUDITED_INCOMPETENT,NO_OP,,,,,
FBCNet,0.5037817196353782,0.4987817196353782,0.5095134269524514,288,False,P09_16,8,,,,,,,,,,,,False,False,False,False,False,False,False,1.0,1.0,False,False,NOT_AUDITED_INCOMPETENT,NO_OP,,,,,
FBCNet,0.5037817196353782,0.4987817196353782,0.5095134269524514,288,False,P17_32,16,,,,,,,,,,,,False,False,False,False,False,False,False,1.0,1.0,False,False,NOT_AUDITED_INCOMPETENT,NO_OP,,,,,
EEGConformer,0.6096743348115299,0.5790243902439024,0.6421555917405765,64,True,P01_04,4,0.7005595688648036,0.449429738763999,-0.0280480499487611,-0.0559455533402129,-0.0007942967525659,7.518637752963608,4.500876463659869,2.533795370482612,2.292593206006675,-0.0412079329884207,-0.0602635002463661,True,False,True,False,False,False,False,1.0,1.0,False,False,DECISION-ACTIVE NON-ACTIONABLE,NO_OP,9.99990000099999e-06,0.0256997430025699,9.536734069124156e-07,9.99990000099999e-06,1.0
EEGConformer,0.6096743348115299,0.5790243902439024,0.6421555917405765,64,True,P05_08,4,0.0253023123032302,0.0054153875369638,-4.6042345874691135e-05,-0.0038489897836957,0.0035691578261215,0.4969661550742836,0.2975396259609069,0.7316630568933049,0.5260756683062127,0.0014416666666666,-0.0042181554878049,True,False,False,False,False,False,False,0.999990000099999,1.0,False,False,DECISION-NULL / WEAKLY ACTIVE,NO_OP,0.0108698913010869,0.4876451235487645,0.9730873364569316,0.999990000099999,0.3614163858361416
EEGConformer,0.6096743348115299,0.5790243902439024,0.6421555917405765,64,True,P09_16,8,-1.679933639925776e-28,-3.6462890950889333e-28,0.0066554251740687,0.0026336076560009,0.0111587698356005,0.2821284689027367,0.1961011431430578,0.7428707221880255,0.6227596159455981,0.0008401053215077,-0.0027085435144124,False,False,False,False,False,False,False,1.0,1.0,False,False,UNCERTAIN,NO_OP,1.0,0.998440015599844,0.9999980926531862,1.0,0.3269467305326947
EEGConformer,0.6096743348115299,0.5790243902439024,0.6421555917405765,64,True,P17_32,16,-1.2568670885132234e-28,-2.721793438293796e-28,0.014658887424016,0.0091530796673841,0.0208426436635897,0.4375228155560735,0.3426435782912249,0.595993723378593,0.5050618672813105,-0.0021510116407982,-0.0061896202882483,False,False,False,False,False,False,False,1.0,1.0,False,False,UNCERTAIN,NO_OP,1.0,1.0,1.0,1.0,0.8413815861841382
DeepConvNet,0.7688403855629465,0.7214618632976103,0.8133540781288493,256,True,P01_04,4,5.941608117404621,3.296347789684956,0.0237275898018454,0.016112072294872,0.0313924825964899,5.3194603934726254,3.1316384809187947,1.886709998272528,1.7390530606757468,-0.0189788725671347,-0.0295060670731706,True,False,True,False,False,True,False,1.0,1.0,False,False,PROTECTED,PRESERVE,9.99990000099999e-06,1.0,9.536734069124156e-07,9.99990000099999e-06,0.999780002199978
DeepConvNet,0.7688403855629465,0.7214618632976103,0.8133540781288493,256,True,P05_08,4,0.527340106379785,0.2617836629747652,0.0009251572736404,-0.0053896814657123,0.0071119454454426,6.611048242592712,3.89323602303508,2.2343914343590274,1.889404967040709,0.0042858478073416,-0.0022097929754866,True,False,True,False,False,False,False,0.6098339016609834,1.0,False,False,DECISION-ACTIVE NON-ACTIONABLE,NO_OP,9.99990000099999e-06,0.6098339016609834,9.536734069124156e-07,9.99990000099999e-06,0.1079189208107919
DeepConvNet,0.7688403855629465,0.7214618632976103,0.8133540781288493,256,True,P09_16,8,-7.432846640272991e-29,-1.5429476333624511e-28,0.0011242713438261,0.00035881647208,0.0018673525910854,0.4819614496402261,0.3274247241559062,0.6127473343047338,0.5673918482147632,-0.0049642522788864,-0.0085980358462675,False,False,False,False,False,False,False,1.0,1.0,False,False,UNCERTAIN,NO_OP,1.0,0.996050039499605,0.9979352970740346,1.0,0.998070019299807
