task,fold,variant,baseline_params,trainable_params,total_params,baseline_MACs_estimate,extra_MACs_estimate,total_MACs_estimate,extra_F0_forwards,full_F0_forwards,MAC_definition
OpenBMI_MI,0,BASELINE,34162,0,34162,32895872,0,32895872,0,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_MI,0,P_ONLY_TRANSFER_GATE,34162,80,34242,32895872,155520,33051392,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_MI,0,RANDOM_TRANSFER_GATE,34162,120,34282,32895872,155560,33051432,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_MI,0,PROTECTED_NATIVE_TRANSFER_GATE,34162,120,34282,32895872,155560,33051432,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_MI,1,BASELINE,34162,0,34162,32895872,0,32895872,0,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_MI,1,P_ONLY_TRANSFER_GATE,34162,96,34258,32895872,161024,33056896,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_MI,1,RANDOM_TRANSFER_GATE,34162,144,34306,32895872,161072,33056944,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_MI,1,PROTECTED_NATIVE_TRANSFER_GATE,34162,144,34306,32895872,161072,33056944,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_MI,2,BASELINE,34162,0,34162,32895872,0,32895872,0,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_MI,2,P_ONLY_TRANSFER_GATE,34162,64,34226,32895872,150016,33045888,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_MI,2,RANDOM_TRANSFER_GATE,34162,96,34258,32895872,150048,33045920,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_MI,2,PROTECTED_NATIVE_TRANSFER_GATE,34162,96,34258,32895872,150048,33045920,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_MI,3,BASELINE,34162,0,34162,32895872,0,32895872,0,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_MI,3,P_ONLY_TRANSFER_GATE,34162,64,34226,32895872,150016,33045888,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_MI,3,RANDOM_TRANSFER_GATE,34162,96,34258,32895872,150048,33045920,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_MI,3,PROTECTED_NATIVE_TRANSFER_GATE,34162,96,34258,32895872,150048,33045920,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_MI,4,BASELINE,34162,0,34162,32895872,0,32895872,0,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_MI,4,P_ONLY_TRANSFER_GATE,34162,64,34226,32895872,150016,33045888,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_MI,4,RANDOM_TRANSFER_GATE,34162,96,34258,32895872,150048,33045920,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_MI,4,PROTECTED_NATIVE_TRANSFER_GATE,34162,96,34258,32895872,150048,33045920,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_ERP,0,BASELINE,9586,0,9586,8223040,0,8223040,0,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_ERP,0,P_ONLY_TRANSFER_GATE,9586,144,9730,8223040,43840,8266880,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_ERP,0,RANDOM_TRANSFER_GATE,9586,216,9802,8223040,43912,8266952,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
OpenBMI_ERP,0,PROTECTED_NATIVE_TRANSFER_GATE,9586,216,9802,8223040,43912,8266952,1,1,"conv/linear multiply accumulate only, estimated; excludes norm/activation"
