dataset,fold,method,bn_layer,running_mean_abs_L2,running_mean_relative_L2,running_var_abs_L2,running_var_relative_L2,source_num_batches_tracked,current_num_batches_tracked
OpenBMI,0,JOINT-CE,norm1,0.04498353227972984,0.10294005669534222,0.027933595702052116,0.04993360647493126,735,1155
OpenBMI,0,JOINT-CE,norm2,0.04738442972302437,0.1411503120432979,0.02728925831615925,0.05096753867799077,735,1155
OpenBMI,0,JOINT-CE,spatial_norm.0,0.03072848916053772,0.3390573905459947,0.025536933913826942,0.08919307251539943,735,1155
OpenBMI,0,JOINT-CE,spatial_norm.1,0.05207075551152229,0.5340217928368254,0.08751770853996277,0.34103693748823366,735,1155
OpenBMI,0,JOINT-CE,spatial_norm.2,0.05098040774464607,0.4192223651902509,0.09121525287628174,0.252166442855889,735,1155
OpenBMI,0,JOINT-CE,temporal_norm.0,0.0015300713712349534,0.4984255270630306,0.16792404651641846,0.11609782141593421,735,1155
OpenBMI,0,JOINT-CE,temporal_norm.1,0.001867770217359066,0.2503920836680548,0.46332094073295593,0.24730133790633996,735,1155
OpenBMI,0,JOINT-CE,temporal_norm.2,0.004498275928199291,0.2576767883443204,0.18522226810455322,0.11817399468886884,735,1155
OpenBMI,0,NRRF-v1,norm1,0.0448809452354908,0.10270529709299474,0.027913827449083328,0.04989826909212637,735,1155
OpenBMI,0,NRRF-v1,norm2,0.04881371185183525,0.14540790508934306,0.029530441388487816,0.05515334628038079,735,1155
OpenBMI,0,NRRF-v1,spatial_norm.0,0.033510416746139526,0.36975311082479684,0.04443271458148956,0.15519053098136554,735,1155
OpenBMI,0,NRRF-v1,spatial_norm.1,0.0493689700961113,0.5063131053552524,0.08527671545743942,0.33230428862726513,735,1155
OpenBMI,0,NRRF-v1,spatial_norm.2,0.05319537967443466,0.43743653436455504,0.10009820759296417,0.27672355389074976,735,1155
OpenBMI,0,NRRF-v1,temporal_norm.0,0.0015268550487235188,0.49737779996146897,0.1557675004005432,0.10769313757658032,735,1155
OpenBMI,0,NRRF-v1,temporal_norm.1,0.0020346841774880886,0.27276846266883314,0.40702366828918457,0.21725220873510565,735,1155
OpenBMI,0,NRRF-v1,temporal_norm.2,0.004583081230521202,0.2625347290944395,0.2145843505859375,0.1369073501040536,735,1155
OpenBMI,1,JOINT-CE,norm1,0.037341855466365814,0.09059293690381533,0.039752766489982605,0.06452096377526614,1218,1638
OpenBMI,1,JOINT-CE,norm2,0.05269452556967735,0.15512541828201307,0.032187193632125854,0.05809709388376776,1218,1638
OpenBMI,1,JOINT-CE,spatial_norm.0,0.03649977594614029,0.4752404180960545,0.04289606213569641,0.16015435583051726,1218,1638
OpenBMI,1,JOINT-CE,spatial_norm.1,0.06328701227903366,0.6843218729354731,0.11697512120008469,0.3887381736699803,1218,1638
OpenBMI,1,JOINT-CE,spatial_norm.2,0.04082391783595085,0.5068159814440713,0.051789965480566025,0.1966428347935419,1218,1638
OpenBMI,1,JOINT-CE,temporal_norm.0,0.007467576302587986,1.598748835102664,0.4269380271434784,0.3563565848661067,1218,1638
OpenBMI,1,JOINT-CE,temporal_norm.1,0.01076296716928482,2.2650671877508017,1.086446762084961,0.5864035828502064,1218,1638
OpenBMI,1,JOINT-CE,temporal_norm.2,0.012725424952805042,1.3226584503997363,0.6678884625434875,0.4026138602275776,1218,1638
OpenBMI,1,NRRF-v1,norm1,0.03757163882255554,0.09115040114411245,0.038851600140333176,0.06305832037871482,1218,1638
OpenBMI,1,NRRF-v1,norm2,0.05342285335063934,0.1572695148546019,0.03297996520996094,0.05952802710871029,1218,1638
OpenBMI,1,NRRF-v1,spatial_norm.0,0.039723120629787445,0.5172095435335534,0.05002095550298691,0.18675546210432534,1218,1638
OpenBMI,1,NRRF-v1,spatial_norm.1,0.0649924948811531,0.7027632403900699,0.11428914964199066,0.37981200486322186,1218,1638
OpenBMI,1,NRRF-v1,spatial_norm.2,0.03904905915260315,0.48478167427296365,0.05274202302098274,0.20025772991650467,1218,1638
OpenBMI,1,NRRF-v1,temporal_norm.0,0.007471105549484491,1.599504418860492,0.4323762059211731,0.36089572332157943,1218,1638
OpenBMI,1,NRRF-v1,temporal_norm.1,0.010583828203380108,2.2273673799434963,1.000170350074768,0.5398363704622318,1218,1638
OpenBMI,1,NRRF-v1,temporal_norm.2,0.01275966688990593,1.3262174975539582,0.6833920478820801,0.4119596697311098,1218,1638
OpenBMI,2,JOINT-CE,norm1,0.052715983241796494,0.12366048245917406,0.03217387571930885,0.04891516687338533,1260,1680
OpenBMI,2,JOINT-CE,norm2,0.05110187083482742,0.1505144694331755,0.022923434153199196,0.03958080930560227,1260,1680
OpenBMI,2,JOINT-CE,spatial_norm.0,0.02138030156493187,0.27504903860960694,0.03211803734302521,0.10849190560816983,1260,1680
OpenBMI,2,JOINT-CE,spatial_norm.1,0.052719030529260635,0.3731412621735234,0.16421286761760712,0.4225874434354147,1260,1680
OpenBMI,2,JOINT-CE,spatial_norm.2,0.04690544307231903,0.315191703164227,0.06871234625577927,0.19313202574554944,1260,1680
OpenBMI,2,JOINT-CE,temporal_norm.0,0.0005651761312037706,0.2581418901716345,0.6657955050468445,0.4635533110612605,1260,1680
OpenBMI,2,JOINT-CE,temporal_norm.1,0.0012928663054481149,0.2109241743298024,0.9343708157539368,0.5882477811253912,1260,1680
OpenBMI,2,JOINT-CE,temporal_norm.2,0.0029888201970607042,0.15481775409195617,0.5698482990264893,0.42332985948230606,1260,1680
OpenBMI,2,NRRF-v1,norm1,0.04763828590512276,0.11174928468155411,0.031685665249824524,0.048172921929303954,1260,1680
OpenBMI,2,NRRF-v1,norm2,0.04962167888879776,0.14615474048829946,0.02300395257771015,0.03971983666009273,1260,1680
OpenBMI,2,NRRF-v1,spatial_norm.0,0.020216766744852066,0.2600806279592789,0.0289935115724802,0.09793753233349409,1260,1680
OpenBMI,2,NRRF-v1,spatial_norm.1,0.05097825825214386,0.3608202092611503,0.1591852456331253,0.40964929825954877,1260,1680
OpenBMI,2,NRRF-v1,spatial_norm.2,0.04921392723917961,0.33070408314875455,0.06457050144672394,0.18149040787212012,1260,1680
OpenBMI,2,NRRF-v1,temporal_norm.0,0.0005629456718452275,0.2571231369671441,0.6633859276771545,0.4618756674612193,1260,1680
OpenBMI,2,NRRF-v1,temporal_norm.1,0.0012681890511885285,0.20689821320954122,0.938098669052124,0.590594709554711,1260,1680
OpenBMI,2,NRRF-v1,temporal_norm.2,0.002580837579444051,0.13368468204229458,0.6218449473381042,0.46195721672968404,1260,1680
OpenBMI,3,JOINT-CE,norm1,0.042610105127096176,0.09442959128025753,0.029206298291683197,0.0455427041061397,1260,1680
OpenBMI,3,JOINT-CE,norm2,0.05522053316235542,0.14167155307355053,0.024977175518870354,0.04332958391346243,1260,1680
OpenBMI,3,JOINT-CE,spatial_norm.0,0.03398733213543892,0.41325357676944297,0.05069625750184059,0.19183698170134444,1260,1680
OpenBMI,3,JOINT-CE,spatial_norm.1,0.037550073117017746,0.21303003732469988,0.13699984550476074,0.18301206689918742,1260,1680
OpenBMI,3,JOINT-CE,spatial_norm.2,0.03542797267436981,0.39006464570267946,0.04216465726494789,0.12774819437868243,1260,1680
OpenBMI,3,JOINT-CE,temporal_norm.0,0.0022625112906098366,2.5411253486540413,0.13551674783229828,0.08388302086546413,1260,1680
OpenBMI,3,JOINT-CE,temporal_norm.1,0.0023299248423427343,0.4254671955478673,0.24334760010242462,0.12560703059299105,1260,1680
OpenBMI,3,JOINT-CE,temporal_norm.2,0.0025529253762215376,0.1638441301164449,0.1390051245689392,0.08079952664698396,1260,1680
OpenBMI,3,NRRF-v1,norm1,0.041314497590065,0.09155835475510576,0.02968739904463291,0.04629290630629558,1260,1680
OpenBMI,3,NRRF-v1,norm2,0.051842305809259415,0.13300451042943987,0.025958210229873657,0.04503145071582854,1260,1680
OpenBMI,3,NRRF-v1,spatial_norm.0,0.027858929708600044,0.338738042196697,0.03577549010515213,0.13537610819515675,1260,1680
OpenBMI,3,NRRF-v1,spatial_norm.1,0.0365477129817009,0.20734342211162413,0.11764263361692429,0.15715361907432934,1260,1680
OpenBMI,3,NRRF-v1,spatial_norm.2,0.035834044218063354,0.39453552396253966,0.04667294770479202,0.14140716852392088,1260,1680
OpenBMI,3,NRRF-v1,temporal_norm.0,0.0022574064787477255,2.535391911266675,0.13647067546844482,0.08447348907760015,1260,1680
OpenBMI,3,NRRF-v1,temporal_norm.1,0.0022497382014989853,0.41082432613844483,0.2725442051887512,0.14067723825785455,1260,1680
OpenBMI,3,NRRF-v1,temporal_norm.2,0.0027413114439696074,0.17593455456979237,0.17485696077346802,0.10163912809142182,1260,1680
OpenBMI,4,JOINT-CE,norm1,0.048259980976581573,0.1165013156732303,0.059323444962501526,0.09283686845094007,1218,1638
OpenBMI,4,JOINT-CE,norm2,0.04486366733908653,0.13034357847111605,0.025921521708369255,0.045534487855602115,1218,1638
OpenBMI,4,JOINT-CE,spatial_norm.0,0.0342678464949131,0.4322534372925757,0.064302958548069,0.21213973274827277,1218,1638
OpenBMI,4,JOINT-CE,spatial_norm.1,0.04340558499097824,0.37995784317824,0.061360545456409454,0.2414184300439049,1218,1638
OpenBMI,4,JOINT-CE,spatial_norm.2,0.032318245619535446,0.3972853926583153,0.04919084534049034,0.20545266697578957,1218,1638
OpenBMI,4,JOINT-CE,temporal_norm.0,0.003159152576699853,2.3490794941184583,0.3225277066230774,0.2572463850792756,1218,1638
OpenBMI,4,JOINT-CE,temporal_norm.1,0.005717990919947624,0.9408363688533001,0.8627452254295349,0.40991514908871485,1218,1638
OpenBMI,4,JOINT-CE,temporal_norm.2,0.00795800145715475,0.3688401986501516,0.5469616651535034,0.27957663116216236,1218,1638
OpenBMI,4,NRRF-v1,norm1,0.04575584456324577,0.11045624104047337,0.06201816722750664,0.09705391243053754,1218,1638
OpenBMI,4,NRRF-v1,norm2,0.04441564902663231,0.12904193922650178,0.02699824795126915,0.04742589602919339,1218,1638
OpenBMI,4,NRRF-v1,spatial_norm.0,0.03674035146832466,0.4634415300032976,0.0661499872803688,0.21823320325874013,1218,1638
OpenBMI,4,NRRF-v1,spatial_norm.1,0.042728491127491,0.37403079199223926,0.05549923703074455,0.21835755489030365,1218,1638
OpenBMI,4,NRRF-v1,spatial_norm.2,0.03285817801952362,0.40392273486010194,0.051176052540540695,0.2137441714402221,1218,1638
OpenBMI,4,NRRF-v1,temporal_norm.0,0.0031402267049998045,2.3350066134836953,0.30994367599487305,0.24720942911438665,1218,1638
OpenBMI,4,NRRF-v1,temporal_norm.1,0.005728837568312883,0.9426210728524965,0.8536406755447388,0.40558931474804516,1218,1638
