subject_id,source_fold,step,checkpoint,predicted_utility_damage,utility_delta_actual_small_step,predicted_utility_delta,cos_task_G
1,0,0,t0,0.0,0.0009973945995392364,0.0010195157289591822,-0.5903017582943108
1,0,1,t1,0.0,0.0009204324610440628,0.0009402692975574826,-0.5788157396176626
1,0,2,t2,0.0,0.0008513346938507638,0.0008691703511090282,-0.5676936744610793
1,0,3,t3,0.0,0.0007891286642625617,0.0008052048286385891,-0.5569326245690188
1,0,4,t4,0.0,0.0007329836463482176,0.0007475075747155785,-0.5465289158284595
10,0,0,t0,0.0,0.013533839430839245,0.014529606526211492,-0.9419783520128323
10,0,1,t1,0.0,0.010234132243676364,0.010967214885925424,-0.925624629355438
10,0,2,t2,0.0,0.007821908466179806,0.008361390560427244,-0.9057485292580209
10,0,3,t3,0.0,0.006059643882446841,0.006457240987073955,-0.8823352748962439
10,0,4,t4,0.0,0.004770866016788,0.005064830019033214,-0.8557194360278771
11,0,0,t0,0.0,0.013861307880722429,0.014494650191340287,-0.9084381870955387
11,0,1,t1,0.0,0.011640261314326883,0.012188160674449966,-0.8952626680008823
11,0,2,t2,0.0,0.009735468625693855,0.010206232675912379,-0.8798342944927023
11,0,3,t3,0.0,0.008114142909251054,0.008515879677260503,-0.8618675645188724
11,0,4,t4,0.0,0.006744426727776642,0.007085005427817945,-0.8411081875706218
14,0,0,t0,0.0,0.0014759691532448271,0.0015228226243392184,-0.6383993196871693
14,0,1,t1,0.0,0.0013129261228460587,0.0013553430199522113,-0.6191041680868113
14,0,2,t2,0.0,0.0011661978634752157,0.0012045574756624025,-0.5989761801027975
14,0,3,t3,0.0,0.0010343334423495443,0.0010689858706767986,-0.5780432276508047
14,0,4,t4,0.0,0.0009159959945090335,0.0009472645091601634,-0.5563437815834712
15,0,0,t0,0.0,0.0004319018319477591,0.000435599642989047,-0.8204662526323464
15,0,1,t1,0.0,0.0004178083872940219,0.00042131240777334235,-0.8170643551827841
15,0,2,t2,0.0,0.0004044507309967846,0.00040777431309687684,-0.8137154938512488
15,0,3,t3,0.0,0.0003917780655663672,0.0003949334222733649,-0.8104198878602032
15,0,4,t4,0.0,0.0003797439139392039,0.00038274223477116853,-0.8071776560326432
16,0,0,t0,0.0,0.0019517771908197368,0.0019950578938458864,-0.715281689273183
16,0,1,t1,0.0,0.0018043200866182385,0.001842879770808839,-0.7058934512234405
16,0,2,t2,0.0,0.0016731010333872476,0.0017075543218787977,-0.6968217422663566
16,0,3,t3,0.0,0.0015559733864679015,0.0015868451104757199,-0.6880784231512803
16,0,4,t4,0.0,0.001451107506461824,0.0014788469301690547,-0.6796712477757698
19,0,0,t0,0.0,0.029070590168218335,0.029695008706343735,-0.9005850391372034
19,0,1,t1,0.0,0.026639286595211975,0.02730149046398732,-0.8943582239611169
19,0,2,t2,0.0,0.02408849370900301,0.024778261601123563,-0.8864602305221316
19,0,3,t3,0.0,0.02146323108612791,0.022167476553186505,-0.8764656337063929
19,0,4,t4,0.0,0.01881835336237425,0.019521727536810352,-0.8638351625322869
2,0,0,t0,0.0,0.0037810775938411645,0.003972524608419304,-0.887318470319017
2,0,1,t1,0.0,0.0031262102531630642,0.003281065845898442,-0.868519327621103
2,0,2,t2,0.0,0.0025999446930223824,0.002725079140604145,-0.847713995060747
2,0,3,t3,0.0,0.002177487758437513,0.00227861844286392,-0.8251146972091725
2,0,4,t4,0.0,0.0018383592821032968,0.0019201913175825231,-0.8010422220234185
20,0,0,t0,0.0,0.0017604212766159089,0.0017847659144188026,-0.7916080062592044
20,0,1,t1,0.0,0.0016705558650066399,0.0016935633437223296,-0.7864586710692215
20,0,2,t2,0.0,0.0015858364403815162,0.001607557873208642,-0.7812191352117198
20,0,3,t3,0.0,0.0015060443532768364,0.0015265326403953062,-0.7759000265147783
20,0,4,t4,0.0,0.0014309567762383901,0.0014502660125215452,-0.7705123200416367
21,0,0,t0,0.0,0.0018849170638643026,0.0019359013982162946,-0.839275674593031
21,0,1,t1,0.0,0.0017114765734514564,0.0017563530012695467,-0.8292341642074971
21,0,2,t2,0.0,0.0015590428224476621,0.0015987225276936927,-0.8190558015329655
21,0,3,t3,0.0,0.00142448218490554,0.0014597135539334964,-0.8087571420636708
21,0,4,t4,0.0,0.0013052175621960371,0.0013366200010538178,-0.7983551395551182
22,0,0,t0,0.0,0.0036869631140135084,0.003817765959371576,-0.7571266111205195
22,0,1,t1,0.0,0.0032225803638303296,0.003334252128276401,-0.7374503102348026
22,0,2,t2,0.0,0.002827898022975839,0.0029234365092389155,-0.7174689199302168
22,0,3,t3,0.0,0.002491836477795384,0.002573757257811148,-0.6973204515864982
22,0,4,t4,0.0,0.002205111604798582,0.0022755252540171806,-0.6771409281742112
23,0,0,t0,0.0,0.000898581316533642,0.0009274058992740739,-0.5803142228017324
23,0,1,t1,0.0,0.0008036535772924513,0.000828960907674292,-0.56117710814426
23,0,2,t2,0.0,0.0007207386645798342,0.0007430246076045331,-0.5422896708772855
23,0,3,t3,0.0,0.0006481114608523075,0.0006677938501473265,-0.523698198111596
23,0,4,t4,0.0,0.000584320697230134,0.0006017527369757733,-0.5054437993497336
26,0,0,t0,0.0,0.005244494205274897,0.00538223994008589,-0.8491088871232132
26,0,1,t1,0.0,0.004754851469858379,0.0048840789812717115,-0.8386494841128764
26,0,2,t2,0.0,0.004298450605313031,0.00441904171969792,-0.827094673402107
26,0,3,t3,0.0,0.0038753162329035473,0.003987293920327843,-0.8143763885693627
26,0,4,t4,0.0,0.003484987471071843,0.003588494838417128,-0.8004301443407622
27,0,0,t0,0.0,0.002388253610592639,0.0024459171640823607,-0.8986859529660074
27,0,1,t1,0.0,0.0021828439978040792,0.002233129566226203,-0.8914531730409184
27,0,2,t2,0.0,0.00200356060683983,0.002047677265578458,-0.8841715446815173
27,0,3,t3,0.0,0.0018461586279336778,0.0018850803227423787,-0.8768566462173132
27,0,4,t4,0.0,0.0017072107734071584,0.001741728377903154,-0.8695223392339559
28,0,0,t0,0.0,0.00129096505244998,0.001314618312420867,-0.9160640991668728
28,0,1,t1,0.0,0.0012050680117919182,0.001226465313049952,-0.9114455194218779
28,0,2,t2,0.0,0.0011273952270945548,0.001146810530193469,-0.9067598676924886
28,0,3,t3,0.0,0.0010569497992009291,0.001074617914393868,-0.9020124722225658
28,0,4,t4,0.0,0.000992876877977486,0.001008999789317314,-0.8972083573133228
3,0,0,t0,0.0,0.002417832041409246,0.0024687797857589774,-0.9014668624905261
3,0,1,t1,0.0,0.0022354762245567206,0.002280985418680672,-0.895495575199335
3,0,2,t2,0.0,0.002072829783690472,0.0021135880623675165,-0.8894293237560132
3,0,3,t3,0.0,0.001927380295631026,0.0019639803540575924,-0.8832857778901011
3,0,4,t4,0.0,0.00179696434443824,0.0018299176441853974,-0.8770819145841628
30,0,0,t0,0.0,0.0017259102461043285,0.0017786579294079988,-0.6960797370387108
30,0,1,t1,0.0,0.0015429182770113348,0.001588620057457456,-0.6779877707079991
30,0,2,t2,0.0,0.0013848460235367233,0.0014245652943053193,-0.6601286175973018
30,0,3,t3,0.0,0.0012479055186293553,0.0012825310096576004,-0.6425895274200172
30,0,4,t4,0.0,0.0011289320121685154,0.001159208629976861,-0.6254483112801132
31,0,0,t0,0.0,0.0016463606621298643,0.0016720031101719523,-0.8677346006275906
31,0,1,t1,0.0,0.0015528622136174453,0.0015764801740796041,-0.862183108057996
31,0,2,t2,0.0,0.001466824048693055,0.001488615046665251,-0.8565944368246724
31,0,3,t3,0.0,0.001387515358579755,0.001407654588660448,-0.850975040724104
31,0,4,t4,0.0,0.0013142878889096377,0.0013329310659105328,-0.8453311277931949
32,0,0,t0,0.0,0.010903677464039363,0.011335470753162793,-0.7756431739752494
