pair,model_a,model_b,historical,competence_eligible_all_datasets,OpenBMI_delta_best_pp,OpenBMI_delta_prob_best_pp,OpenBMI_LOGIT50_BA,OpenBMI_PROB50_BA,OpenBMI_positive,OpenBMI_competence_eligible,WBCIC_delta_best_pp,WBCIC_delta_prob_best_pp,WBCIC_LOGIT50_BA,WBCIC_PROB50_BA,WBCIC_positive,WBCIC_competence_eligible
EEGNet+CBraMod,EEGNet,CBraMod,True,False,-0.3000000000000025,-0.3000000000000025,0.7545,0.7545,False,False,0.4663089225589223,0.4663089225589223,0.7877183742183742,0.7877183742183742,True,False
EEGNet+LaBraM-base,EEGNet,LaBraM-base,False,False,-2.7500000000000058,-2.7500000000000058,0.73,0.73,False,False,-0.10839345839345425,-0.10839345839345425,0.7819713504088505,0.7819713504088505,False,False
EEGNet+LiteBN,EEGNet,LiteBN,True,True,0.874999999999999,0.874999999999999,0.8002499999999999,0.8002499999999999,True,True,-0.1158038720538701,-0.1158038720538701,0.7938310786435786,0.7938310786435786,False,True
EEGNet+ST-EEGFormer-small,EEGNet,ST-EEGFormer-small,False,False,-6.500000000000002,-6.500000000000002,0.6925,0.6925,False,False,-0.3549302549302591,-0.3549302549302591,0.7795059824434823,0.7795059824434823,False,False
EEGNet+TCFormer,EEGNet,TCFormer,False,False,0.4249999999999999,0.4249999999999999,0.7617499999999999,0.7617499999999999,True,False,0.2545725108225194,0.2545725108225194,0.7904343434343435,0.7904343434343435,True,False
LaBraM-base+CBraMod,LaBraM-base,CBraMod,False,False,0.20000000000000132,0.20000000000000132,0.52075,0.52075,True,False,0.338095238095244,0.338095238095244,0.755973544973545,0.755973544973545,True,False
LiteBN+CBraMod,LiteBN,CBraMod,True,False,-0.12499999999999734,-0.12499999999999734,0.79025,0.79025,False,False,0.47397787397787333,0.47397787397787333,0.7923955627705628,0.7923955627705628,True,False
LiteBN+LaBraM-base,LiteBN,LaBraM-base,False,False,-1.875,-1.875,0.77275,0.77275,False,False,0.1266654641654652,0.1266654641654652,0.7889224386724386,0.7889224386724386,True,False
LiteBN+ST-EEGFormer-small,LiteBN,ST-EEGFormer-small,False,False,-8.45,-8.45,0.7070000000000001,0.7070000000000001,False,False,0.23078403078403475,0.23078403078403475,0.792130291005291,0.792130291005291,True,False
LiteBN+TCFormer,LiteBN,TCFormer,False,False,-0.5500000000000016,-0.5500000000000016,0.7859999999999999,0.7859999999999999,False,False,-0.3329966329966294,-0.3329966329966294,0.7883258177008177,0.7883258177008177,False,False
ST-EEGFormer-small+CBraMod,ST-EEGFormer-small,CBraMod,False,False,-0.1750000000000007,-0.1750000000000007,0.6675000000000001,0.6675000000000001,False,False,0.9833333333333315,0.9833333333333315,0.6625,0.6625,True,False
ST-EEGFormer-small+LaBraM-base,ST-EEGFormer-small,LaBraM-base,False,False,-0.25000000000000355,-0.25000000000000355,0.6667500000000001,0.6667500000000001,False,False,-0.295406445406432,-0.295406445406432,0.7553051948051949,0.7553051948051949,False,False
TCFormer+CBraMod,TCFormer,CBraMod,False,False,-0.7499999999999929,-0.7499999999999929,0.6332500000000001,0.6332500000000001,False,False,-0.8387806637806605,-0.8387806637806605,0.7179135101010101,0.7179135101010101,False,False
TCFormer+LaBraM-base,TCFormer,LaBraM-base,False,False,-5.24999999999999,-5.24999999999999,0.58825,0.58825,False,False,-0.4584926647426579,-0.4584926647426579,0.7601743326118326,0.7601743326118326,False,False
TCFormer+ST-EEGFormer-small,TCFormer,ST-EEGFormer-small,False,False,-2.374999999999996,-2.374999999999996,0.67025,0.67025,False,False,-0.9104557479557452,-0.9104557479557452,0.718863425925926,0.718863425925926,False,False
