dataset,fold,pair,model_a,model_b,historical,competence_eligible,EEGNet_or_component_A_BA,component_B_BA,LOGIT50_BA,PROB50_BA,G_test,G_prob,LOGIT50_macro_F1,PROB50_macro_F1
OpenBMI,0,EEGNet+LiteBN,EEGNet,LiteBN,True,True,0.8,0.8262499999999999,0.8262499999999999,0.8262499999999999,0.0,0.0,0.8238838403785962,0.8238838403785962
OpenBMI,0,EEGNet+TCFormer,EEGNet,TCFormer,False,False,0.8,0.54375,0.8025,0.8025,0.0024999999999999467,0.0024999999999999467,0.8003378999050277,0.8003378999050277
OpenBMI,0,EEGNet+ST-EEGFormer-small,EEGNet,ST-EEGFormer-small,False,False,0.8,0.73875,0.75875,0.75875,-0.04125000000000001,-0.04125000000000001,0.7566384064545794,0.7566384064545794
OpenBMI,0,EEGNet+LaBraM-base,EEGNet,LaBraM-base,False,False,0.8,0.495,0.7999999999999999,0.7999999999999999,-1.1102230246251565e-16,-1.1102230246251565e-16,0.7982263941527139,0.7982263941527139
OpenBMI,0,EEGNet+CBraMod,EEGNet,CBraMod,True,False,0.8,0.49624999999999997,0.8025,0.8025,0.0024999999999999467,0.0024999999999999467,0.8004795095922732,0.8004795095922732
OpenBMI,0,LiteBN+TCFormer,LiteBN,TCFormer,False,False,0.8262499999999999,0.54375,0.825,0.825,-0.0012499999999999734,-0.0012499999999999734,0.8227490012445187,0.8227490012445187
OpenBMI,0,LiteBN+ST-EEGFormer-small,LiteBN,ST-EEGFormer-small,False,False,0.8262499999999999,0.73875,0.7675,0.7675,-0.05874999999999997,-0.05874999999999997,0.7652409828123894,0.7652409828123894
OpenBMI,0,LiteBN+LaBraM-base,LiteBN,LaBraM-base,False,False,0.8262499999999999,0.495,0.8262499999999999,0.8262499999999999,0.0,0.0,0.8240284676376906,0.8240284676376906
OpenBMI,0,LiteBN+CBraMod,LiteBN,CBraMod,True,False,0.8262499999999999,0.49624999999999997,0.8275,0.8275,0.0012500000000000844,0.0012500000000000844,0.8249394559290173,0.8249394559290173
OpenBMI,0,TCFormer+ST-EEGFormer-small,TCFormer,ST-EEGFormer-small,False,False,0.54375,0.73875,0.74,0.74,0.0012499999999999734,0.0012499999999999734,0.7378323239353906,0.7378323239353906
OpenBMI,0,TCFormer+LaBraM-base,TCFormer,LaBraM-base,False,False,0.54375,0.495,0.5487500000000001,0.5487500000000001,0.0050000000000001155,0.0050000000000001155,0.530775192774709,0.530775192774709
OpenBMI,0,TCFormer+CBraMod,TCFormer,CBraMod,False,False,0.54375,0.49624999999999997,0.5362500000000001,0.5362500000000001,-0.00749999999999984,-0.00749999999999984,0.5139997227067534,0.5139997227067534
OpenBMI,0,ST-EEGFormer-small+LaBraM-base,ST-EEGFormer-small,LaBraM-base,False,False,0.73875,0.495,0.7375,0.7375,-0.0012499999999999734,-0.0012499999999999734,0.7351174178682851,0.7351174178682851
OpenBMI,0,ST-EEGFormer-small+CBraMod,ST-EEGFormer-small,CBraMod,False,False,0.73875,0.49624999999999997,0.73875,0.73875,0.0,0.0,0.7363321433839974,0.7363321433839974
OpenBMI,0,LaBraM-base+CBraMod,LaBraM-base,CBraMod,False,False,0.495,0.49624999999999997,0.49625,0.49625,5.551115123125783e-17,5.551115123125783e-17,0.45562919631121634,0.45562919631121634
OpenBMI,1,EEGNet+LiteBN,EEGNet,LiteBN,True,True,0.8125,0.8325,0.8425,0.8425,0.010000000000000009,0.010000000000000009,0.8410904903707969,0.8410904903707969
OpenBMI,1,EEGNet+TCFormer,EEGNet,TCFormer,False,False,0.8125,0.67375,0.8087500000000001,0.8087500000000001,-0.00374999999999992,-0.00374999999999992,0.805945222897541,0.805945222897541
OpenBMI,1,EEGNet+ST-EEGFormer-small,EEGNet,ST-EEGFormer-small,False,False,0.8125,0.6312500000000001,0.6625,0.6625,-0.15000000000000002,-0.15000000000000002,0.6499495899346163,0.6499495899346163
OpenBMI,1,EEGNet+LaBraM-base,EEGNet,LaBraM-base,False,False,0.8125,0.50375,0.7737499999999999,0.7737499999999999,-0.03875000000000006,-0.03875000000000006,0.7706031577337336,0.7706031577337336
OpenBMI,1,EEGNet+CBraMod,EEGNet,CBraMod,True,False,0.8125,0.49875,0.8125,0.8125,0.0,0.0,0.8098641814985617,0.8098641814985617
OpenBMI,1,LiteBN+TCFormer,LiteBN,TCFormer,False,False,0.8325,0.67375,0.83,0.83,-0.0025000000000000577,-0.0025000000000000577,0.8274918776539884,0.8274918776539884
OpenBMI,1,LiteBN+ST-EEGFormer-small,LiteBN,ST-EEGFormer-small,False,False,0.8325,0.6312500000000001,0.6725,0.6725,-0.16000000000000003,-0.16000000000000003,0.6605419364832137,0.6605419364832137
OpenBMI,1,LiteBN+LaBraM-base,LiteBN,LaBraM-base,False,False,0.8325,0.50375,0.79875,0.79875,-0.03375000000000006,-0.03375000000000006,0.7967412526512434,0.7967412526512434
OpenBMI,1,LiteBN+CBraMod,LiteBN,CBraMod,True,False,0.8325,0.49875,0.8350000000000001,0.8350000000000001,0.0025000000000000577,0.0025000000000000577,0.8327885438954244,0.8327885438954244
OpenBMI,1,TCFormer+ST-EEGFormer-small,TCFormer,ST-EEGFormer-small,False,False,0.67375,0.6312500000000001,0.63375,0.63375,-0.039999999999999925,-0.039999999999999925,0.6179411609942493,0.6179411609942493
OpenBMI,1,TCFormer+LaBraM-base,TCFormer,LaBraM-base,False,False,0.67375,0.50375,0.58125,0.58125,-0.09249999999999992,-0.09249999999999992,0.5705355028420326,0.5705355028420326
OpenBMI,1,TCFormer+CBraMod,TCFormer,CBraMod,False,False,0.67375,0.49875,0.675,0.675,0.0012500000000000844,0.0012500000000000844,0.6477813631475013,0.6477813631475013
OpenBMI,1,ST-EEGFormer-small+LaBraM-base,ST-EEGFormer-small,LaBraM-base,False,False,0.6312500000000001,0.50375,0.625,0.625,-0.006250000000000089,-0.006250000000000089,0.6064288964063489,0.6064288964063489
OpenBMI,1,ST-EEGFormer-small+CBraMod,ST-EEGFormer-small,CBraMod,False,False,0.6312500000000001,0.49875,0.6312500000000001,0.6312500000000001,0.0,0.0,0.6157728568606666,0.6157728568606666
OpenBMI,1,LaBraM-base+CBraMod,LaBraM-base,CBraMod,False,False,0.50375,0.49875,0.5062500000000001,0.5062500000000001,0.0025000000000000577,0.0025000000000000577,0.5013615552412949,0.5013615552412949
OpenBMI,2,EEGNet+LiteBN,EEGNet,LiteBN,True,True,0.6875,0.7275,0.7475,0.7475,0.020000000000000018,0.020000000000000018,0.7431663158415303,0.7431663158415303
OpenBMI,2,EEGNet+TCFormer,EEGNet,TCFormer,False,False,0.6875,0.6599999999999999,0.71875,0.71875,0.03125,0.03125,0.7157535262618436,0.7157535262618436
OpenBMI,2,EEGNet+ST-EEGFormer-small,EEGNet,ST-EEGFormer-small,False,False,0.6875,0.63625,0.6537499999999999,0.6537499999999999,-0.03375000000000006,-0.03375000000000006,0.647575006778022,0.647575006778022
OpenBMI,2,EEGNet+LaBraM-base,EEGNet,LaBraM-base,False,False,0.6875,0.5025000000000001,0.61625,0.61625,-0.07125000000000004,-0.07125000000000004,0.6088684366113594,0.6088684366113594
OpenBMI,2,EEGNet+CBraMod,EEGNet,CBraMod,True,False,0.6875,0.5,0.6675,0.6675,-0.020000000000000018,-0.020000000000000018,0.6577877257985227,0.6577877257985227
OpenBMI,2,LiteBN+TCFormer,LiteBN,TCFormer,False,False,0.7275,0.6599999999999999,0.72875,0.72875,0.0012499999999999734,0.0012499999999999734,0.7252400285353268,0.7252400285353268
OpenBMI,2,LiteBN+ST-EEGFormer-small,LiteBN,ST-EEGFormer-small,False,False,0.7275,0.63625,0.66,0.66,-0.0675,-0.0675,0.6533953361961277,0.6533953361961277
OpenBMI,2,LiteBN+LaBraM-base,LiteBN,LaBraM-base,False,False,0.7275,0.5025000000000001,0.6925000000000001,0.6925000000000001,-0.03499999999999992,-0.03499999999999992,0.6883851804797347,0.6883851804797347
OpenBMI,2,LiteBN+CBraMod,LiteBN,CBraMod,True,False,0.7275,0.5,0.7175,0.7175,-0.010000000000000009,-0.010000000000000009,0.7106385828789756,0.7106385828789756
OpenBMI,2,TCFormer+ST-EEGFormer-small,TCFormer,ST-EEGFormer-small,False,False,0.6599999999999999,0.63625,0.63625,0.63625,-0.023749999999999938,-0.023749999999999938,0.6289461222831609,0.6289461222831609
OpenBMI,2,TCFormer+LaBraM-base,TCFormer,LaBraM-base,False,False,0.6599999999999999,0.5025000000000001,0.5587500000000001,0.5587500000000001,-0.10124999999999984,-0.10124999999999984,0.5548596316283678,0.5548596316283678
OpenBMI,2,TCFormer+CBraMod,TCFormer,CBraMod,False,False,0.6599999999999999,0.5,0.62875,0.62875,-0.03124999999999989,-0.03124999999999989,0.5693120797051929,0.5693120797051929
OpenBMI,2,ST-EEGFormer-small+LaBraM-base,ST-EEGFormer-small,LaBraM-base,False,False,0.63625,0.5025000000000001,0.62625,0.62625,-0.010000000000000009,-0.010000000000000009,0.6190874182730244,0.6190874182730244
OpenBMI,2,ST-EEGFormer-small+CBraMod,ST-EEGFormer-small,CBraMod,False,False,0.63625,0.5,0.6275,0.6275,-0.008750000000000036,-0.008750000000000036,0.6203058789032514,0.6203058789032514
OpenBMI,2,LaBraM-base+CBraMod,LaBraM-base,CBraMod,False,False,0.5025000000000001,0.5,0.51125,0.51125,0.008749999999999925,0.008749999999999925,0.49594469945932795,0.49594469945932795
