Task,subject_id,contrast,WS_delta,Future_delta
OpenBMI_MI,4,J-U,0.0,0.0
OpenBMI_MI,4,J-P,0.0031250000000000444,0.009374999999999911
OpenBMI_MI,4,P-R,0.08490625000000007,0.10178125000000016
OpenBMI_MI,4,U-R,0.08803125000000012,0.11115625000000007
OpenBMI_MI,12,J-U,0.0,0.0
OpenBMI_MI,12,J-P,0.009374999999999911,0.009374999999999911
OpenBMI_MI,12,P-R,0.09890625000000008,0.08481249999999996
OpenBMI_MI,12,U-R,0.10828125,0.09418749999999987
OpenBMI_MI,13,J-U,0.0,0.0
OpenBMI_MI,13,J-P,-0.009375000000000022,-0.009375000000000022
OpenBMI_MI,13,P-R,0.07837500000000008,0.10081250000000008
OpenBMI_MI,13,U-R,0.06900000000000006,0.09143750000000006
OpenBMI_MI,17,J-U,0.0,0.0
OpenBMI_MI,17,J-P,0.009374999999999911,0.006249999999999978
OpenBMI_MI,17,P-R,0.04196875,0.0338750000000001
OpenBMI_MI,17,U-R,0.05134374999999991,0.04012500000000008
OpenBMI_MI,18,J-U,0.0,0.0
OpenBMI_MI,18,J-P,0.009375000000000022,0.009374999999999911
OpenBMI_MI,18,P-R,0.032781249999999984,0.009062500000000084
OpenBMI_MI,18,U-R,0.042156250000000006,0.018437499999999996
OpenBMI_MI,24,J-U,0.0,0.0
OpenBMI_MI,24,J-P,0.009375000000000022,0.009375000000000022
OpenBMI_MI,24,P-R,0.03049999999999997,0.019500000000000073
OpenBMI_MI,24,U-R,0.039874999999999994,0.028875000000000095
OpenBMI_MI,25,J-U,0.0,0.0
OpenBMI_MI,25,J-P,-0.0031250000000000444,-0.0031250000000000444
OpenBMI_MI,25,P-R,0.08712500000000001,0.16956249999999995
OpenBMI_MI,25,U-R,0.08399999999999996,0.1664374999999999
OpenBMI_MI,29,J-U,0.0,0.0
OpenBMI_MI,29,J-P,0.015625000000000056,0.0
OpenBMI_MI,29,P-R,-0.0010000000000000564,0.02371875000000012
OpenBMI_MI,29,U-R,0.014624999999999999,0.02371875000000012
OpenBMI_MI,36,J-U,0.0,0.0
OpenBMI_MI,36,J-P,-0.0031250000000000444,-0.015625
OpenBMI_MI,36,P-R,0.08265624999999999,0.10762499999999997
OpenBMI_MI,36,U-R,0.07953124999999994,0.09199999999999997
OpenBMI_MI,37,J-U,0.0,0.0
OpenBMI_MI,37,J-P,0.0031249999999999334,0.018749999999999933
OpenBMI_MI,37,P-R,0.06109375000000006,0.06337499999999996
OpenBMI_MI,37,U-R,0.06421874999999999,0.08212499999999989
OpenBMI_MI,39,J-U,0.0,0.0
OpenBMI_MI,39,J-P,-0.015625,-0.015625
OpenBMI_MI,39,P-R,0.04953125000000003,0.04003124999999996
OpenBMI_MI,39,U-R,0.03390625000000003,0.024406249999999963
OpenBMI_MI,42,J-U,0.0,0.0
OpenBMI_MI,42,J-P,0.0031250000000000444,0.0031249999999999334
OpenBMI_MI,42,P-R,0.057781250000000006,0.058531250000000035
OpenBMI_MI,42,U-R,0.06090625000000005,0.06165624999999997
OpenBMI_MI,51,J-U,0.0,0.0
OpenBMI_MI,51,J-P,0.018750000000000044,0.018750000000000044
OpenBMI_MI,51,P-R,0.08418749999999997,0.0789375
OpenBMI_MI,51,U-R,0.10293750000000002,0.09768750000000004
OpenBMI_MI,54,J-U,0.0,0.0
OpenBMI_MI,54,J-P,-0.015625,0.018749999999999933
OpenBMI_MI,54,P-R,0.04618750000000005,0.08006250000000004
OpenBMI_MI,54,U-R,0.030562500000000048,0.09881249999999997
OpenBMI_ERP,4,J-U,0.0,0.0
OpenBMI_ERP,4,J-P,0.09062499999999996,0.046875
OpenBMI_ERP,4,P-R,-0.023812499999999903,0.0546875
OpenBMI_ERP,4,U-R,0.06681250000000005,0.1015625
OpenBMI_ERP,12,J-U,0.0,0.0
OpenBMI_ERP,12,J-P,0.021874999999999978,0.08124999999999993
OpenBMI_ERP,12,P-R,0.06362500000000004,0.04731249999999998
OpenBMI_ERP,12,U-R,0.08550000000000002,0.1285624999999999
OpenBMI_ERP,13,J-U,0.0,0.0
OpenBMI_ERP,13,J-P,0.06562499999999993,0.04062499999999991
OpenBMI_ERP,13,P-R,0.06509374999999995,0.07218750000000007
OpenBMI_ERP,13,U-R,0.13071874999999988,0.11281249999999998
OpenBMI_ERP,17,J-U,0.0,0.0
OpenBMI_ERP,17,J-P,0.05937500000000007,0.109375
OpenBMI_ERP,17,P-R,0.0539687499999999,-0.010343749999999985
OpenBMI_ERP,17,U-R,0.11334374999999997,0.09903125000000002
OpenBMI_ERP,18,J-U,0.0,0.0
OpenBMI_ERP,18,J-P,0.171875,0.1937500000000001
OpenBMI_ERP,18,P-R,-0.06015625000000002,-0.06437500000000007
OpenBMI_ERP,18,U-R,0.11171874999999998,0.12937500000000002
OpenBMI_ERP,24,J-U,0.0,0.0
OpenBMI_ERP,24,J-P,0.078125,0.078125
OpenBMI_ERP,24,P-R,0.00031250000000015987,-0.0027812499999999574
OpenBMI_ERP,24,U-R,0.07843750000000016,0.07534375000000004
OpenBMI_ERP,25,J-U,0.0,0.0
OpenBMI_ERP,25,J-P,0.18125000000000002,0.16562500000000002
OpenBMI_ERP,25,P-R,-0.060843749999999974,-0.05868749999999989
OpenBMI_ERP,25,U-R,0.12040625000000005,0.10693750000000013
OpenBMI_ERP,29,J-U,0.0,0.0
OpenBMI_ERP,29,J-P,0.19374999999999998,0.10312500000000002
OpenBMI_ERP,29,P-R,-0.07643750000000005,-0.019562500000000038
OpenBMI_ERP,29,U-R,0.11731249999999993,0.08356249999999998
OpenBMI_ERP,36,J-U,0.0,0.0
OpenBMI_ERP,36,J-P,0.03749999999999998,0.025000000000000022
OpenBMI_ERP,36,P-R,0.07815625000000004,0.0773125
OpenBMI_ERP,36,U-R,0.11565625000000002,0.10231250000000003
OpenBMI_ERP,37,J-U,0.0,0.0
OpenBMI_ERP,37,J-P,0.06874999999999998,0.09375
OpenBMI_ERP,37,P-R,0.06165624999999997,0.038968749999999996
OpenBMI_ERP,37,U-R,0.13040624999999995,0.13271875
OpenBMI_ERP,39,J-U,0.0,0.0
OpenBMI_ERP,39,J-P,0.12812500000000004,0.15000000000000002
OpenBMI_ERP,39,P-R,-0.0319687500000001,-0.045093750000000044
OpenBMI_ERP,39,U-R,0.09615624999999994,0.10490624999999998
OpenBMI_ERP,42,J-U,0.0,0.0
OpenBMI_ERP,42,J-P,0.13437500000000002,0.13437500000000002
OpenBMI_ERP,42,P-R,0.017843750000000047,-0.002875000000000072
