model,fold,seed,checkpoint_sha256,selected_epoch,normalizer_sha256,subject,session,BA,Macro_F1,trials
EEGNet,0,0,10d313fd65a39f38db1a148b7ce7793192a778292f3ef4026e3c6086b238d64f,58,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-03,S1,0.745,0.7314022383146808,200
EEGNet,0,0,10d313fd65a39f38db1a148b7ce7793192a778292f3ef4026e3c6086b238d64f,58,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-08,S1,0.52,0.39117199391172,200
EEGNet,0,0,10d313fd65a39f38db1a148b7ce7793192a778292f3ef4026e3c6086b238d64f,58,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-10,S1,0.565,0.5235356937484597,200
EEGNet,0,0,10d313fd65a39f38db1a148b7ce7793192a778292f3ef4026e3c6086b238d64f,58,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-03,S2,0.8,0.797979797979798,200
EEGNet,0,0,10d313fd65a39f38db1a148b7ce7793192a778292f3ef4026e3c6086b238d64f,58,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-08,S2,0.54,0.4574831937728505,200
EEGNet,0,0,10d313fd65a39f38db1a148b7ce7793192a778292f3ef4026e3c6086b238d64f,58,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-10,S2,0.575,0.5248078266946191,200
SIRE-EEG,0,0,3171ab8927c0a5d9f9e829dc139b2a9969e87a5b6794af0a1a704f10979d2e1a,12,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-03,S1,0.815,0.8115657864582007,200
SIRE-EEG,0,0,3171ab8927c0a5d9f9e829dc139b2a9969e87a5b6794af0a1a704f10979d2e1a,12,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-08,S1,0.52,0.423007573025604,200
SIRE-EEG,0,0,3171ab8927c0a5d9f9e829dc139b2a9969e87a5b6794af0a1a704f10979d2e1a,12,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-10,S1,0.535,0.4873067063590507,200
SIRE-EEG,0,0,3171ab8927c0a5d9f9e829dc139b2a9969e87a5b6794af0a1a704f10979d2e1a,12,ed454438e89812334dcd972152ee083a1f1767b2774e1a7c80aae5543d02e253,sub-03,S2,0.785,0.7803825429658571,200
