subject_id,intact_probe_BA,protected_erased_BA,random_erased_BA,protected_harm_pp,random_harm_pp,PEEH_pp,task,model,fold,seed,protected_rank,checkpoint_sha256
sub-03,0.72,0.55,0.7099,16.999999999999993,1.0099999999999998,15.989999999999993,BNCI2015_001,EEGNet,0,0,3,10d313fd65a39f38db1a148b7ce7793192a778292f3ef4026e3c6086b238d64f
sub-08,0.5800000000000001,0.5349999999999999,0.5719500000000001,4.500000000000015,0.8050000000000002,3.695000000000015,BNCI2015_001,EEGNet,0,0,3,10d313fd65a39f38db1a148b7ce7793192a778292f3ef4026e3c6086b238d64f
sub-10,0.5449999999999999,0.565,0.5481,-2.0000000000000018,-0.31000000000001027,-1.6899999999999915,BNCI2015_001,EEGNet,0,0,3,10d313fd65a39f38db1a148b7ce7793192a778292f3ef4026e3c6086b238d64f
sub-03,0.77,0.65,0.7192000000000002,12.0,5.079999999999984,6.920000000000015,BNCI2015_001,SIRE-EEG,0,0,6,3171ab8927c0a5d9f9e829dc139b2a9969e87a5b6794af0a1a704f10979d2e1a
sub-08,0.54,0.505,0.5398,3.500000000000003,0.0200000000000089,3.479999999999994,BNCI2015_001,SIRE-EEG,0,0,6,3171ab8927c0a5d9f9e829dc139b2a9969e87a5b6794af0a1a704f10979d2e1a
sub-10,0.65,0.56,0.6169000000000001,8.999999999999996,3.3099999999999907,5.690000000000007,BNCI2015_001,SIRE-EEG,0,0,6,3171ab8927c0a5d9f9e829dc139b2a9969e87a5b6794af0a1a704f10979d2e1a
sub-05,0.535,0.53,0.5174,0.5000000000000004,1.760000000000006,-1.2600000000000056,BNCI2015_001,EEGNet,1,0,3,a5aa49416b6db3c99f205bb9a0a1b3b05bd466b8f7f17066e9ad12bbb21b8ab5
sub-06,0.645,0.61,0.6073000000000001,3.500000000000003,3.7699999999999956,-0.26999999999999247,BNCI2015_001,EEGNet,1,0,3,a5aa49416b6db3c99f205bb9a0a1b3b05bd466b8f7f17066e9ad12bbb21b8ab5
sub-12,0.5800000000000001,0.52,0.5619500000000002,6.000000000000005,1.80499999999999,4.195000000000015,BNCI2015_001,EEGNet,1,0,3,a5aa49416b6db3c99f205bb9a0a1b3b05bd466b8f7f17066e9ad12bbb21b8ab5
sub-05,0.575,0.5549999999999999,0.5721499999999999,2.0000000000000018,0.2850000000000019,1.7149999999999999,BNCI2015_001,SIRE-EEG,1,0,1,ba653ad48822c5bd538525816de52a16cc18861e9cc56aca38ea343a0bd5d767
sub-06,0.705,0.595,0.69235,10.999999999999998,1.264999999999994,9.735000000000005,BNCI2015_001,SIRE-EEG,1,0,1,ba653ad48822c5bd538525816de52a16cc18861e9cc56aca38ea343a0bd5d767
sub-12,0.62,0.535,0.60945,8.499999999999996,1.0549999999999948,7.445000000000002,BNCI2015_001,SIRE-EEG,1,0,1,ba653ad48822c5bd538525816de52a16cc18861e9cc56aca38ea343a0bd5d767
