subject,intact_BA,ScaleCollapse_BA,mean_random_BA,intact_WSBA,ScaleCollapse_WSBA,mean_random_WSBA
sub-01,0.7999999999999999,0.7600000000000001,0.6885833333333333,0.7716666666666666,0.715,0.6504833333333333
sub-02,0.7983333333333333,0.6816666666666666,0.6529666666666667,0.7483333333333334,0.6616666666666667,0.6308833333333334
sub-03,0.755,0.6483333333333333,0.6332,0.71,0.6283333333333333,0.6146166666666666
sub-04,0.68,0.5733333333333334,0.5739333333333333,0.68,0.5733333333333334,0.56445
sub-05,0.5583333333333332,0.5266666666666667,0.5211833333333332,0.54,0.525,0.5139166666666666
sub-06,0.6849999999999999,0.6066666666666667,0.5735833333333334,0.6733333333333333,0.5633333333333334,0.5460166666666667
sub-07,0.515,0.5216666666666666,0.5103666666666666,0.5133333333333333,0.5183333333333334,0.5018166666666667
sub-08,0.5133333333333333,0.5016666666666666,0.5138,0.5133333333333333,0.49833333333333335,0.5063666666666667
sub-09,0.6633333333333333,0.5583333333333335,0.5548333333333333,0.5833333333333334,0.5466666666666667,0.5284666666666668
sub-10,0.555,0.51,0.5289833333333332,0.5333333333333333,0.51,0.5146166666666667
sub-11,0.52,0.4983333333333333,0.5113333333333333,0.515,0.4749999999999999,0.5010166666666666
sub-12,0.5916666666666667,0.5033333333333333,0.5332333333333333,0.5383333333333333,0.49499999999999994,0.51075
