fold,seed,task,block,random_draws,random_mean_utility_CE,random_std_utility_CE,random_percentile_utility_CE
0,0,mi,0,100,0.0387606198063053,0.0178086391585366,0.02
0,0,mi,1,100,0.0395054578405971,0.0202677434961469,0.24
0,0,mi,2,100,0.0166864326171168,0.0085917442861004,1.0
0,0,erp,0,100,0.0041769237008855,0.003889331409689,0.38
0,0,erp,1,100,0.0088568914592265,0.003584661496654,0.0
0,0,erp,2,100,0.0002331607575149,0.0012443471108852,1.0
0,0,ssvep,0,100,0.0911994257356035,0.0406219591066633,0.0
0,0,ssvep,1,100,0.0672187661809727,0.0364219104721679,0.78
0,0,ssvep,2,100,0.0365008767567377,0.0276144555098762,1.0
0,1,mi,0,100,0.0430644083497003,0.0167348098889983,0.0
0,1,mi,1,100,0.0464456685879899,0.0249453498363086,0.25
0,1,mi,2,100,0.0131986184405025,0.0051616748054504,1.0
0,1,erp,0,100,0.0050472377568084,0.0037821469228945,0.05
0,1,erp,1,100,0.0044349844748977,0.0038492845304596,0.57
0,1,erp,2,100,0.001655370095373,0.0016664326521411,1.0
0,1,ssvep,0,100,0.1355954833820046,0.0733078971726798,0.0
0,1,ssvep,1,100,0.1396970422927364,0.0775017385017184,0.01
0,1,ssvep,2,100,0.0072100127885882,0.0054200182357034,1.0
1,0,mi,0,100,0.059822090744582,0.0173138037624283,0.0
1,0,mi,1,100,0.0153835539731607,0.0079088094327931,1.0
1,0,mi,2,100,0.0425846347187142,0.0198069130932708,0.48
1,0,erp,0,100,0.0054722122835795,0.0033956858250132,0.0
1,0,erp,1,100,0.0034922397168692,0.0042146417260733,0.54
1,0,erp,2,100,-0.0004130779101365,0.0026377270105031,1.0
1,0,ssvep,0,100,0.0955385541875848,0.0467471060589379,0.0
1,0,ssvep,1,100,0.071267094272865,0.034993543851544,0.34
1,0,ssvep,2,100,0.0308721554686979,0.0131003670061263,1.0
1,1,mi,0,100,0.0496674394447552,0.0357680831541819,0.04
1,1,mi,1,100,0.0121085231183046,0.0064181017897164,1.0
1,1,mi,2,100,0.0598367841009032,0.0325567538429326,0.25
1,1,erp,0,100,0.0010612282325222,0.002549941402997,0.17
1,1,erp,1,100,0.0018713440165165,0.0026441213606259,0.03
1,1,erp,2,100,-0.0014456066316451,0.001753900938215,1.0
1,1,ssvep,0,100,0.1080813916482652,0.0718853828637282,0.01
1,1,ssvep,1,100,0.117397732253675,0.0609096318694864,0.15
1,1,ssvep,2,100,0.0211166603020341,0.017390314688615,1.0
2,0,mi,0,100,0.0459335151130657,0.0206130456068109,0.0
2,0,mi,1,100,0.0302290842472636,0.0141463955210584,0.8
2,0,mi,2,100,0.021825266268947,0.0121610804033733,1.0
2,0,erp,0,100,0.0067776486334338,0.0035113356869322,0.11
2,0,erp,1,100,0.0089690519088792,0.004412542849714,0.11
2,0,erp,2,100,0.0047916102601957,0.0014736798785444,1.0
2,0,ssvep,0,100,0.1027241738637924,0.0565838790018115,0.01
2,0,ssvep,1,100,0.0925070144680387,0.0421534620087549,0.29
2,0,ssvep,2,100,0.0377939581498517,0.0250309970236854,1.0
2,1,mi,0,100,0.0422366020240913,0.0173667460375619,0.01
2,1,mi,1,100,0.0305205323128813,0.0125685459777061,1.0
2,1,mi,2,100,0.0350734265817039,0.0196541430907335,0.71
2,1,erp,0,100,0.0015050715549012,0.0027026988122784,0.67
2,1,erp,1,100,0.0009962122894387,0.0009707464526017,1.0
2,1,erp,2,100,0.0032464346577858,0.0026651037555858,0.27
2,1,ssvep,0,100,0.0872749728870663,0.0462196301452702,0.0
2,1,ssvep,1,100,0.0990361816097476,0.0508472843757202,0.0
2,1,ssvep,2,100,0.0091002722682543,0.0045958734578811,1.0
