fold,seed,task,block,dimensions,persistence_supported,rho_G,rho_null_p95,n_inner_splits,raw_utility_mean_CE,raw_BA_drop_mean,random_mean_CE,calibrated_utility_mean_CE,calibrated_utility_ci95,calibrated_utility_sign_probability,bootstrap,random_draws_per_split,probe_refit_after_intervention
0,0,mi,0,1,True,0.6633724685461578,0.18740844207240442,5,-0.0006100664450244154,-0.0007737694723284338,0.006070968439401893,-0.006681034884426308,"[-0.002396406913916236, 0.0010299030216959796]",0.2185,"{'mean': -0.0007003737688650219, 'median': -0.0009411785432205111, 'ci95': [-0.002396406913916236, 0.0010299030216959796], 'sign_probability': 0.2185, 'draws': 10000, 'n_subjects': 85}",100,True
0,0,mi,1,1,True,0.4575205343624006,0.15043371568531283,5,-0.00036882805806934813,0.0013225271015317563,0.004624870557303523,-0.004993698615372871,"[-0.0013718119340677465, 0.0005211301983143898]",0.2093,"{'mean': -0.00038851936417739043, 'median': 0.00033798701528742203, 'ci95': [-0.0013718119340677465, 0.0005211301983143898], 'sign_probability': 0.2093, 'draws': 10000, 'n_subjects': 85}",100,True
0,0,mi,2,4,True,0.323571172258428,0.09066134820941293,5,-0.0009382972617236751,0.0013142711295501153,0.028060387438100746,-0.028998684699824417,"[-0.0029843737417379287, 0.0016773740995678836]",0.2824,"{'mean': -0.00066565983547707, 'median': -0.0009595774521780065, 'ci95': [-0.0029843737417379287, 0.0016773740995678836], 'sign_probability': 0.2824, 'draws': 10000, 'n_subjects': 85}",100,True
0,0,mi,3,4,True,0.18207068510599433,0.048050911032384284,5,0.004107171952027566,0.012160700621131615,0.025638510751274254,-0.021531338799246687,"[0.0009163274635237345, 0.007369377984744577]",0.9941,"{'mean': 0.004124628681882856, 'median': 0.004326095873993352, 'ci95': [0.0009163274635237345, 0.007369377984744577], 'sign_probability': 0.9941, 'draws': 10000, 'n_subjects': 85}",100,True
0,0,mi,4,4,True,0.09084333454292931,0.0301398342217472,5,0.09775458085578496,0.13043238338045993,0.007182228677108292,0.09057235217867668,"[0.08505703305555395, 0.10987201210209148]",1.0,"{'mean': 0.09711897733092718, 'median': 0.09868142516058875, 'ci95': [0.08505703305555395, 0.10987201210209148], 'sign_probability': 1.0, 'draws': 10000, 'n_subjects': 85}",100,True
0,0,mi,5,4,True,0.040072892340823334,0.027274422555898483,5,0.03156703607005005,0.03804768269762051,0.019812739351671615,0.011754296718378432,"[0.025310676874602346, 0.03697275827228557]",1.0,"{'mean': 0.031107081312684613, 'median': 0.03470797489313304, 'ci95': [0.025310676874602346, 0.03697275827228557], 'sign_probability': 1.0, 'draws': 10000, 'n_subjects': 85}",100,True
0,0,mi,6,2,False,0.0105457380694905,0.04509110788457789,5,0.005189701882231801,0.010487229654951857,0.010401992280777896,-0.005212290398546095,"[0.0025207549171927146, 0.00790291470855998]",0.9999,"{'mean': 0.005155815640835829, 'median': 0.004011714730645988, 'ci95': [0.0025207549171927146, 0.00790291470855998], 'sign_probability': 0.9999, 'draws': 10000, 'n_subjects': 85}",100,True
0,0,erp,0,1,True,0.6633724685461578,0.18740844207240442,5,-0.0016029331078443066,0.003524646861695424,0.0004613990486723585,-0.0020643321565166654,"[-0.00413378226737649, 0.0006045675238146635]",0.0754,"{'mean': -0.0017050829533347852, 'median': -0.0007804489615272914, 'ci95': [-0.00413378226737649, 0.0006045675238146635], 'sign_probability': 0.0754, 'draws': 10000, 'n_subjects': 85}",100,True
0,0,erp,1,1,True,0.4575205343624006,0.15043371568531283,5,0.0007670898973944906,-0.003120838128547376,0.0004938023745652526,0.0002732875228292379,"[-0.0010810790199947743, 0.002564690280767396]",0.7947,"{'mean': 0.0007498801282758176, 'median': 0.0004944412168676471, 'ci95': [-0.0010810790199947743, 0.002564690280767396], 'sign_probability': 0.7947, 'draws': 10000, 'n_subjects': 85}",100,True
0,0,erp,2,4,True,0.323571172258428,0.09066134820941293,5,0.0010157218739364148,-0.002330000282954092,0.0030677907336045525,-0.002052068859668138,"[-0.0013708023204576534, 0.003914085697772222]",0.8283,"{'mean': 0.0012396060814920716, 'median': 0.0005814907505047318, 'ci95': [-0.0013708023204576534, 0.003914085697772222], 'sign_probability': 0.8283, 'draws': 10000, 'n_subjects': 85}",100,True
0,0,erp,3,4,True,0.18207068510599433,0.048050911032384284,5,-0.00041758086159564555,0.004259660218178252,0.0027697719670394597,-0.003187352828635105,"[-0.0026880166036519293, 0.0012158285907677775]",0.2303,"{'mean': -0.0007167062636956532, 'median': -0.00020813471210334722, 'ci95': [-0.0026880166036519293, 0.0012158285907677775], 'sign_probability': 0.2303, 'draws': 10000, 'n_subjects': 85}",100,True
0,0,erp,4,4,True,0.09084333454292931,0.0301398342217472,5,0.0006567756084423059,0.004483879475604291,0.0026374624041053583,-0.0019806867956630525,"[-0.0015666928430084883, 0.0029662421704112576]",0.7268,"{'mean': 0.0007128715039202563, 'median': 0.0017414791962153675, 'ci95': [-0.0015666928430084883, 0.0029662421704112576], 'sign_probability': 0.7268, 'draws': 10000, 'n_subjects': 85}",100,True
0,0,erp,5,4,True,0.040072892340823334,0.027274422555898483,5,0.003313444426455159,0.005300808764116383,0.0015996535996872726,0.0017137908267678861,"[0.0006930087617588736, 0.006723093331223525]",0.9914,"{'mean': 0.0036999552328356015, 'median': 0.001165610603483136, 'ci95': [0.0006930087617588736, 0.006723093331223525], 'sign_probability': 0.9914, 'draws': 10000, 'n_subjects': 85}",100,True
0,0,erp,6,2,False,0.0105457380694905,0.04509110788457789,5,0.008363361969813753,-0.00024717216342724503,0.00022345860449807052,0.008139903365315683,"[0.0055563554102378634, 0.01138480815568484]",1.0,"{'mean': 0.00839898688099966, 'median': 0.007217910926539006, 'ci95': [0.0055563554102378634, 0.01138480815568484], 'sign_probability': 1.0, 'draws': 10000, 'n_subjects': 85}",100,True
0,0,ssvep,0,1,True,0.6633724685461578,0.18740844207240442,5,-0.001730286214517518,-0.002020796148135351,0.008159873032482577,-0.009890159247000095,"[-0.002732049048367958, -0.0005296173722347229]",0.0014,"{'mean': -0.0016032149946497475, 'median': -0.001576894895975789, 'ci95': [-0.002732049048367958, -0.0005296173722347229], 'sign_probability': 0.0014, 'draws': 10000, 'n_subjects': 85}",100,True
0,0,ssvep,1,1,True,0.4575205343624006,0.15043371568531283,5,-0.0008399378527125468,-0.00028979771706312275,0.008169882688336325,-0.00900982054104887,"[-0.001958045974388342, 0.00028789577478017115]",0.0709,"{'mean': -0.0008294385872342573, 'median': -0.0005053280936507809, 'ci95': [-0.001958045974388342, 0.00028789577478017115], 'sign_probability': 0.0709, 'draws': 10000, 'n_subjects': 85}",100,True
0,0,ssvep,2,4,True,0.323571172258428,0.09066134820941293,5,-0.003496130663996411,0.0011985036761998024,0.04743072939338028,-0.05092686005737669,"[-0.0066176036628976375, -0.0009920946080417313]",0.0043,"{'mean': -0.0038352996493375233, 'median': -0.003937634894925046, 'ci95': [-0.0066176036628976375, -0.0009920946080417313], 'sign_probability': 0.0043, 'draws': 10000, 'n_subjects': 85}",100,True
0,0,ssvep,3,4,True,0.18207068510599433,0.048050911032384284,5,0.0005929315183189176,0.002631500393509878,0.044431886719965744,-0.04383895520164682,"[-0.0018242471423734043, 0.0032845623992415435]",0.7302,"{'mean': 0.0007454328526741203, 'median': -0.0007817378118228913, 'ci95': [-0.0018242471423734043, 0.0032845623992415435], 'sign_probability': 0.7302, 'draws': 10000, 'n_subjects': 85}",100,True
0,0,ssvep,4,4,True,0.09084333454292931,0.0301398342217472,5,0.1383454565907078,0.1286897513834052,0.015825523384620475,0.12251993320608731,"[0.13046026891666146, 0.14841183421579104]",1.0,"{'mean': 0.1395298192025128, 'median': 0.14419958014830592, 'ci95': [0.13046026891666146, 0.14841183421579104], 'sign_probability': 1.0, 'draws': 10000, 'n_subjects': 85}",100,True
0,0,ssvep,5,4,True,0.040072892340823334,0.027274422555898483,5,0.12859136401474386,0.11353195404882255,0.027839441945831198,0.10075192206891267,"[0.11793337139924463, 0.14301589903443643]",1.0,"{'mean': 0.130313160646948, 'median': 0.1285137358487206, 'ci95': [0.11793337139924463, 0.14301589903443643], 'sign_probability': 1.0, 'draws': 10000, 'n_subjects': 85}",100,True
0,0,ssvep,6,2,False,0.0105457380694905,0.04509110788457789,5,0.008135732869277134,0.009582370819505415,0.017697763516315145,-0.00956203064703801,"[0.0060302904580500005, 0.010245104124754144]",1.0,"{'mean': 0.008068297713651286, 'median': 0.006728488063736493, 'ci95': [0.0060302904580500005, 0.010245104124754144], 'sign_probability': 1.0, 'draws': 10000, 'n_subjects': 85}",100,True
