model,fold,seed,checkpoint_sha256,selected_epoch,normalizer_sha256,subject,session,session_id,BA,Macro_F1,accuracy,trials
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-069,S1,1,0.85625,0.8561094819159335,0.85625,160
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-084,S1,1,0.975,0.975,0.975,160
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-006,S1,1,0.99375,0.9937497558498378,0.99375,160
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-014,S1,1,0.925,0.924894382725708,0.925,160
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-054,S1,1,0.94375,0.943747802648541,0.94375,160
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-020,S1,1,0.88125,0.8801970443349754,0.88125,160
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-021,S1,1,0.775,0.7668016194331984,0.775,160
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-094,S1,1,0.99375,0.9937497558498378,0.99375,160
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-091,S1,1,0.8625,0.8619607843137256,0.8625,160
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-026,S1,1,0.8812500000000001,0.8810222691871159,0.88125,160
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-017,S1,1,0.95625,0.9561660991742007,0.95625,160
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-036,S1,1,0.98125,0.9812434058848813,0.98125,160
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-012,S1,1,0.85625,0.8561994451174242,0.85625,160
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-011,S1,1,0.925,0.925,0.925,160
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-087,S1,1,0.975,0.975,0.975,160
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-009,S1,1,0.76875,0.7676517916715726,0.76875,160
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-059,S1,1,0.9750000000000001,0.974996093139553,0.975,160
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-010,S1,1,0.9125,0.9124452782989368,0.9125,160
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-028,S1,1,0.95,0.9499921862791061,0.95,160
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-069,S2,2,0.9604582409460458,0.9590934217799889,0.9594594594594594,74
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-084,S2,2,0.9010396611474778,0.9016203703703705,0.9019607843137255,102
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-006,S2,2,0.9263721552878179,0.9229280096793708,0.9230769230769231,182
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-014,S2,2,0.9125000000000001,0.9124863259884357,0.9125,80
EEGNet,0,0,d96b64cd68ae068ba12264d4d0919c2cc927f53f8dedb449be99ff97272b23cd,50,b72356cf5c583f8e9d2e6d9871d32757ffc5ee1ccf3e375bcce53493b171f37a,sub-054,S2,2,0.9565217391304348,0.9534632034632035,0.9534883720930233,43
