subject,session,session_id,class,label,trial_id,cache_index,shape,dtype,source_file,original_event_index,original_epoch_id,cache_file,label_file
sub-001,ses-01,1,left_hand,0,0,0,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,0,epoch000010,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
sub-001,ses-01,1,left_hand,0,1,1,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,1,epoch000041,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
sub-001,ses-01,1,left_hand,0,2,2,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,2,epoch000043,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
sub-001,ses-01,1,left_hand,0,3,3,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,3,epoch000045,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
sub-001,ses-01,1,left_hand,0,4,4,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,4,epoch000053,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
sub-001,ses-01,1,left_hand,0,5,5,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,5,epoch000066,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
sub-001,ses-01,1,left_hand,0,6,6,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,6,epoch000072,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
sub-001,ses-01,1,left_hand,0,7,7,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,7,epoch000085,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
sub-001,ses-01,1,left_hand,0,8,8,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,8,epoch000088,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
sub-001,ses-01,1,left_hand,0,9,9,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,9,epoch000116,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
sub-001,ses-01,1,left_hand,0,10,10,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,10,epoch000121,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
sub-001,ses-01,1,left_hand,0,11,11,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,11,epoch000122,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
sub-001,ses-01,1,left_hand,0,12,12,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,12,epoch000135,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
sub-001,ses-01,1,left_hand,0,13,13,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,13,epoch000142,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
sub-001,ses-01,1,left_hand,0,14,14,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,14,epoch000147,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
sub-001,ses-01,1,left_hand,0,15,15,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,15,epoch000149,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
sub-001,ses-01,1,left_hand,0,16,16,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,16,epoch000153,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
sub-001,ses-01,1,left_hand,0,17,17,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,17,epoch000155,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
sub-001,ses-01,1,left_hand,0,18,18,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,18,epoch000166,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
sub-001,ses-01,1,left_hand,0,19,19,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,19,epoch000167,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
sub-001,ses-01,1,left_hand,0,20,20,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,20,epoch000169,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
sub-001,ses-01,1,left_hand,0,21,21,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,21,epoch000175,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
sub-001,ses-01,1,left_hand,0,22,22,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,22,epoch000184,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
sub-001,ses-01,1,left_hand,0,23,23,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,23,epoch000196,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
sub-001,ses-01,1,left_hand,0,24,24,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,24,epoch000202,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
sub-001,ses-01,1,left_hand,0,25,25,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,25,epoch000203,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
sub-001,ses-01,1,left_hand,0,26,26,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,26,epoch000209,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
sub-001,ses-01,1,left_hand,0,27,27,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,27,epoch000220,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
sub-001,ses-01,1,left_hand,0,28,28,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,28,epoch000228,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
sub-001,ses-01,1,left_hand,0,29,29,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,29,epoch000229,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
sub-001,ses-01,1,left_hand,0,30,30,64x1000,float32,/root/m3cv_nm000166_external_replication/data/m3cv_nm000166/sub-001/ses-01/eeg/sub-001_ses-01_task-motorLHand_eeg.vhdr,30,epoch000230,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_X.npy,/root/m3cv_nm000166_external_replication/cache/m3cv_lr_4s_250hz/sub-001/ses-01_y.npy
