epoch,validation_macro_BA,validation_BA_mi,validation_BA_erp,validation_BA_ssvep,train_task_loss,train_subject_loss,train_total_loss,train_grad_norm,lambda_inv_effective,spectrum_positive_rho_count,spectrum_pca_overlap,spectrum_alignment_mean,elapsed_seconds
0,0.7808193041526375,0.758888888888889,0.6257912457912458,0.9577777777777777,0.39642433711776026,3.5043140914705067,3.900738415894685,0.9996205910488412,0.0,20,0.6767685275836539,1.0,10.59957218170166
1,0.7787542087542088,0.7533333333333333,0.6268181818181818,0.956111111111111,0.38918178169815626,3.4132885005739,3.8024702690265797,1.0048787030908797,0.0,20,0.6767685275836539,1.0,19.35105538368225
2,0.7744781144781144,0.7477777777777778,0.6262121212121212,0.9494444444444444,0.3894627524746789,3.311537835333082,3.7010005668357566,1.060390101538764,0.025,20,0.6767685275836539,1.0,28.013802766799927
3,0.7779741863075197,0.7511111111111111,0.6322558922558923,0.9505555555555556,0.3926112602154414,3.249523745642768,3.6421349975797863,1.07098506115101,0.05,20,0.6767685275836539,1.0,36.83327054977417
4,0.7802413019079686,0.758888888888889,0.6335016835016836,0.9483333333333334,0.3865520860309954,3.261426665164806,3.647978734087061,1.0751893752151065,0.07500000000000001,19,0.6941980651537624,0.5163777398634476,49.367085456848145
5,0.7724466891133558,0.7366666666666666,0.6295622895622897,0.9511111111111111,0.3890983959039052,3.3363978686156095,3.725496247962669,1.1132707595825195,0.1,19,0.6941980651537624,0.5163777398634476,58.08520221710205
6,0.779371492704826,0.7583333333333333,0.6297811447811448,0.95,0.38739239672819775,3.4692345636862294,3.8566269477208457,1.1672262759120375,0.1,19,0.6941980651537624,0.5163777398634476,67.01756691932678
7,0.7811616161616161,0.7605555555555555,0.6318181818181818,0.9511111111111111,0.38938081319685336,3.425866687739337,3.81524748272366,1.1446474315943542,0.1,19,0.6941980651537624,0.5163777398634476,75.83521008491516
8,0.7621156004489338,0.75,0.5863468013468014,0.95,0.39197830028004116,3.619979593488905,4.011957897080316,1.0377455199206318,0.1,19,0.7076763313191377,0.4594637669621163,88.43047523498535
9,0.775016835016835,0.7511111111111111,0.6211616161616161,0.9527777777777778,0.3860685880537386,3.568231741587321,3.954300315291793,1.0330492423640356,0.1,19,0.7076763313191377,0.4594637669621163,97.39883637428284
10,0.7807744107744107,0.7616666666666667,0.623989898989899,0.9566666666666667,0.3827325320906109,3.511081828011407,3.893814351823595,1.015997980479841,0.1,19,0.7076763313191377,0.4594637669621163,106.24322485923767
11,0.7782379349046016,0.7611111111111111,0.6236026936026936,0.95,0.3862086142654772,3.4742303556866116,3.8604389561547174,1.0251893235577478,0.1,19,0.7076763313191377,0.4594637669621163,115.31530046463013
