epoch,validation_macro_BA,validation_BA_mi,validation_BA_erp,validation_BA_ssvep,train_task_loss,train_subject_loss,train_total_loss,train_grad_norm,lambda_inv_effective,lambda_inv_effective_mi,lambda_inv_effective_erp,lambda_inv_effective_ssvep,spectrum_positive_rho_count,spectrum_pca_overlap,spectrum_alignment_mean,elapsed_seconds
0,0.7808193041526375,0.758888888888889,0.6257912457912458,0.9577777777777777,0.39642433711776026,3.5108370869248002,3.9072614201792963,1.000763205466447,0.0,0.0,0.0,0.0,20,0.6767685275836544,1.0,9.169812679290771
1,0.7787542087542088,0.7533333333333333,0.6268181818181818,0.956111111111111,0.38918178169815626,3.4093168355800487,3.798498617278205,1.0085769494374592,0.0,0.0,0.0,0.0,20,0.6767685275836544,1.0,16.835408449172974
2,0.7743602693602694,0.7472222222222222,0.6264141414141414,0.9494444444444444,0.3894733140865962,3.3037206111130892,3.6931939080909446,1.062511877881156,0.0375,0.0225,0.0375,0.0525,20,0.6767685275836544,1.0,24.583248376846313
3,0.7779517396184064,0.7516666666666667,0.6321885521885522,0.95,0.39261043458073225,3.2527188150971025,3.6453292458145707,1.0644519693321652,0.075,0.045,0.075,0.105,20,0.6767685275836544,1.0,32.207602739334106
4,0.7809371492704825,0.758888888888889,0.6339225589225589,0.95,0.38681389612180217,3.3261051266281694,3.712919005641231,1.0918531086709764,0.11249999999999999,0.06749999999999999,0.11249999999999999,0.15749999999999997,19,0.7254059838412712,0.5138708685838965,41.98395848274231
5,0.7750953984287318,0.7422222222222222,0.6302861952861953,0.9527777777777778,0.3895227870455495,3.3770927455690174,3.766615523232354,1.2200670672787561,0.15,0.09,0.15,0.21,19,0.7254059838412712,0.5138708685838965,49.71882963180542
6,0.7799943883277217,0.7561111111111112,0.6294276094276094,0.9544444444444444,0.3880616597555302,3.390344849339238,3.7784064919860274,1.2158898987151958,0.15,0.09,0.15,0.21,19,0.7254059838412712,0.5138708685838965,57.562838315963745
7,0.7806172839506172,0.7583333333333333,0.6296296296296295,0.9538888888888889,0.38982499087298356,3.4145125415590076,3.8043375103561967,1.2261170391683225,0.15,0.09,0.15,0.21,19,0.7254059838412712,0.5138708685838965,65.354971408844
8,0.7602356902356903,0.7422222222222222,0.587929292929293,0.9505555555555556,0.3930592266497789,3.706848939259847,4.099908157631203,1.0681263274616666,0.15,0.09,0.15,0.21,19,0.7708393695150817,0.5084458313592999,75.15764832496643
9,0.7759988776655443,0.7516666666666667,0.6218855218855219,0.9544444444444444,0.38624279145841245,3.599184420373705,3.9854272118321172,1.0511862326551367,0.15,0.09,0.15,0.21,19,0.7708393695150817,0.5084458313592999,83.00356650352478
