fold,seed,task,primary,cross_session
0,0,mi,0.0720661563149897,-0.07870315527632275
0,0,erp,0.045363130453456524,-0.1258579675064055
0,0,ssvep,-0.060504201680672276,0.007563025210084046
0,1,mi,-0.0019819312971075197,-0.031156509819577613
0,1,erp,0.05766769101094123,0.11295898496814516
0,1,ssvep,0.004201680672268914,0.06302521008403361
1,0,mi,-0.0012054104767560054,0.04509743272839539
1,0,erp,-0.060391104806928934,0.05085939032207782
1,0,ssvep,-0.022689075630252103,0.03445378151260505
1,1,mi,0.12668002713197785,0.1058361605090357
1,1,erp,0.016810355061058303,-0.09659411813991395
1,1,ssvep,0.021848739495798325,-0.052100840336134456
2,0,mi,-0.11391337237311244,0.046172702459222933
2,0,erp,0.0538277679662759,-0.05837411324950246
2,0,ssvep,0.02941176470588234,-0.01008403361344538
2,1,mi,-0.08183410266535697,-0.019751513349312494
2,1,ssvep,-0.10756302521008401,0.06050420168067229
