fold,seed,task,rank,primary,cross_session
0,0,mi,4,0.955927204599187,0.9566045518579581
0,0,erp,4,0.7874130337180922,0.7985686903858078
0,0,ssvep,8,0.3462184873949581,0.34705882352941186
0,1,mi,7,0.9475263290851456,0.9476598868410198
0,1,erp,7,0.6739006954610224,0.675674465550573
0,1,ssvep,8,0.5907563025210086,0.5957983193277312
1,0,mi,7,0.919640881697084,0.9207307075857006
1,0,erp,7,0.750985711415758,0.7608684480103068
1,0,ssvep,8,0.49495798319327733,0.4915966386554622
1,1,mi,4,0.9194727608115918,0.9204773360154711
1,1,erp,4,0.5660853984693864,0.5783625735626872
1,1,ssvep,8,0.5848739495798321,0.5823529411764707
2,0,mi,8,0.8976296561636418,0.8992220626975546
2,0,erp,4,0.5131811445049008,0.5171846753744701
2,0,ssvep,4,0.5075630252100842,0.5193277310924371
2,1,mi,8,0.9171757920112378,0.9184270717057578
2,1,ssvep,8,0.6588235294117649,0.6605042016806724
