fold,seed,task,subject,protected_ba,random_mean_ba,delta
0,0,mi,1,0.7265625,0.5721875,0.15437500000000004
0,0,mi,10,0.671875,0.571328125,0.10054687500000004
0,0,mi,17,0.7265625,0.568125,0.1584375
0,0,mi,28,0.9609375,0.607109375,0.35382812500000005
0,0,mi,3,0.875,0.64140625,0.23359375000000004
0,0,mi,45,0.84375,0.63,0.21375
0,0,mi,48,0.609375,0.56609375,0.04328125000000005
0,0,mi,54,0.625,0.50515625,0.11984375000000003
0,0,mi,6,0.765625,0.5578125,0.20781249999999996
0,0,erp,1,0.5546875,0.520703125,0.033984374999999956
0,0,erp,10,0.6171875,0.46015625,0.15703125
0,0,erp,17,0.6796875,0.5271875,0.15249999999999997
0,0,erp,28,0.6796875,0.493828125,0.185859375
0,0,erp,3,0.703125,0.533203125,0.169921875
0,0,erp,45,0.578125,0.55859375,0.01953125
0,0,erp,48,0.6171875,0.5725,0.04468749999999999
0,0,erp,54,0.6171875,0.4871875,0.13
0,0,erp,6,0.734375,0.523046875,0.21132812499999998
0,0,ssvep,1,0.95,0.80565,0.14434999999999998
0,0,ssvep,10,1.0,0.8710999999999999,0.12890000000000013
0,0,ssvep,17,0.965,0.7525999999999999,0.21240000000000003
0,0,ssvep,28,0.965,0.7869500000000003,0.1780499999999997
0,0,ssvep,3,0.9299999999999999,0.8641500000000001,0.06584999999999985
0,0,ssvep,45,0.945,0.6903999999999999,0.25460000000000005
0,0,ssvep,48,0.995,0.96475,0.03025
0,0,ssvep,54,0.945,0.7405499999999999,0.20445000000000002
0,0,ssvep,6,0.975,0.8180500000000002,0.1569499999999998
0,1,mi,1,0.78125,0.664453125,0.11679687500000002
0,1,mi,10,0.7265625,0.575859375,0.15070312500000005
0,1,mi,17,0.6953125,0.515625,0.1796875
0,1,mi,28,0.9609375,0.72765625,0.23328125
0,1,mi,3,0.890625,0.68484375,0.20578125000000003
0,1,mi,45,0.859375,0.699375,0.16000000000000003
0,1,mi,48,0.609375,0.505859375,0.103515625
0,1,mi,54,0.5546875,0.5234375,0.03125
0,1,mi,6,0.8203125,0.532109375,0.288203125
0,1,erp,1,0.625,0.543203125,0.08179687499999999
0,1,erp,10,0.53125,0.5428125,-0.011562500000000031
0,1,erp,17,0.6796875,0.52578125,0.15390625000000002
0,1,erp,28,0.609375,0.601796875,0.007578124999999991
0,1,erp,3,0.6796875,0.50453125,0.17515625
0,1,erp,45,0.5703125,0.5440625,0.026249999999999996
0,1,erp,48,0.6328125,0.57265625,0.06015625000000002
0,1,erp,54,0.546875,0.513515625,0.03335937499999997
0,1,erp,6,0.609375,0.562421875,0.04695312500000004
0,1,ssvep,1,0.945,0.7628999999999998,0.18210000000000015
0,1,ssvep,10,1.0,0.9240499999999998,0.07595000000000018
0,1,ssvep,17,0.9299999999999999,0.8276,0.10239999999999994
0,1,ssvep,28,0.955,0.8251500000000002,0.1298499999999998
0,1,ssvep,3,0.9249999999999999,0.8459,0.07909999999999995
0,1,ssvep,45,0.885,0.7399000000000001,0.1450999999999999
0,1,ssvep,48,0.995,0.97195,0.023050000000000015
0,1,ssvep,54,0.9249999999999999,0.81435,0.11064999999999992
0,1,ssvep,6,0.99,0.8466000000000001,0.14339999999999986
1,0,mi,11,0.5625,0.628671875,-0.06617187499999999
1,0,mi,17,0.703125,0.5584375,0.14468749999999997
1,0,mi,19,0.765625,0.636484375,0.129140625
1,0,mi,22,0.7109375,0.59171875,0.11921875000000004
1,0,mi,3,0.859375,0.6784375,0.18093749999999997
1,0,mi,38,0.6875,0.603515625,0.083984375
1,0,mi,40,0.6796875,0.638828125,0.04085937500000003
1,0,mi,50,0.6328125,0.527265625,0.10554687500000004
1,0,mi,7,0.640625,0.580625,0.06000000000000005
1,0,erp,11,0.71875,0.6428125,0.07593749999999999
1,0,erp,17,0.6953125,0.569296875,0.12601562499999996
1,0,erp,19,0.703125,0.552109375,0.151015625
1,0,erp,22,0.765625,0.5734375,0.19218749999999996
1,0,erp,3,0.6328125,0.508515625,0.12429687499999997
