fold,seed,task,metric,subject,session,representation,value
2,0,mi,alignment,1,1,protected,0.8158854678989693
2,0,mi,alignment,1,2,protected,0.8155213249187245
2,0,mi,alignment,10,1,protected,0.7048156106035088
2,0,mi,alignment,10,2,protected,0.8557689399555947
2,0,mi,alignment,11,1,protected,0.6624520709812854
2,0,mi,alignment,11,2,protected,0.3900491464823513
2,0,mi,alignment,12,1,protected,0.7304263373902707
2,0,mi,alignment,12,2,protected,0.5080345213723515
2,0,mi,alignment,13,1,protected,0.7069933491530513
2,0,mi,alignment,13,2,protected,0.7317051789044633
2,0,mi,alignment,15,1,protected,0.5042900259464129
2,0,mi,alignment,15,2,protected,0.4845866719518271
2,0,mi,alignment,19,1,protected,0.8989795549023705
2,0,mi,alignment,19,2,protected,0.9595182141676032
2,0,mi,alignment,2,1,protected,0.8707987620531622
2,0,mi,alignment,2,2,protected,0.7375518339500204
2,0,mi,alignment,20,1,protected,0.7991323698735858
2,0,mi,alignment,20,2,protected,0.957658893298276
2,0,mi,alignment,21,1,protected,0.870683158390398
2,0,mi,alignment,21,2,protected,0.8173238758783
2,0,mi,alignment,23,1,protected,0.7314102293594437
2,0,mi,alignment,23,2,protected,0.9094851671422665
2,0,mi,alignment,24,1,protected,0.8316702929184994
2,0,mi,alignment,24,2,protected,0.5265337153865954
2,0,mi,alignment,27,1,protected,0.7868509131062242
2,0,mi,alignment,27,2,protected,0.6992241539715461
2,0,mi,alignment,28,1,protected,0.9687655632552221
2,0,mi,alignment,28,2,protected,0.9866535177321263
2,0,mi,alignment,3,1,protected,0.8465665930675675
2,0,mi,alignment,3,2,protected,0.9207818651416833
2,0,mi,alignment,31,1,protected,0.8723298936130458
2,0,mi,alignment,31,2,protected,0.7840089373421189
2,0,mi,alignment,32,1,protected,0.9232143512195459
2,0,mi,alignment,32,2,protected,0.8354321067641641
2,0,mi,alignment,33,1,protected,0.909878873520674
2,0,mi,alignment,33,2,protected,0.9374126438482124
2,0,mi,alignment,35,1,protected,0.6726795352774948
2,0,mi,alignment,35,2,protected,0.7655116266776816
2,0,mi,alignment,36,1,protected,0.8493595597475591
2,0,mi,alignment,36,2,protected,0.8972073729489498
2,0,mi,alignment,37,1,protected,0.8535042823233147
2,0,mi,alignment,37,2,protected,0.9174583587853853
2,0,mi,alignment,38,1,protected,0.8609108958355145
2,0,mi,alignment,38,2,protected,0.9274972893846367
2,0,mi,alignment,39,1,protected,0.9463324422733544
2,0,mi,alignment,39,2,protected,0.917215545126912
2,0,mi,alignment,40,1,protected,0.7182246233449359
2,0,mi,alignment,40,2,protected,0.7165361915311533
2,0,mi,alignment,41,1,protected,0.2835738162065755
2,0,mi,alignment,41,2,protected,0.6832592144779663
2,0,mi,alignment,42,1,protected,0.3930512318538315
2,0,mi,alignment,42,2,protected,0.679231189108231
2,0,mi,alignment,43,1,protected,0.8044594961021924
2,0,mi,alignment,43,2,protected,0.9175875889480868
2,0,mi,alignment,45,1,protected,0.8397680127991489
2,0,mi,alignment,45,2,protected,0.7192067054569546
2,0,mi,alignment,46,1,protected,0.6800807604522873
2,0,mi,alignment,46,2,protected,0.7413267423544656
2,0,mi,alignment,47,1,protected,0.589413872784352
2,0,mi,alignment,47,2,protected,0.9497514171747171
2,0,mi,alignment,48,1,protected,0.6800031561760593
2,0,mi,alignment,48,2,protected,0.6943615957838295
2,0,mi,alignment,50,1,protected,0.5095744210184796
2,0,mi,alignment,50,2,protected,0.44207087939210155
2,0,mi,alignment,53,1,protected,0.8060636721153835
2,0,mi,alignment,53,2,protected,0.6823361183881608
2,0,mi,alignment,8,1,protected,0.844577596263278
2,0,mi,alignment,8,2,protected,0.8804062298411549
2,0,mi,cross_session,1,1->2,protected,0.809860353479769
2,0,mi,cross_session,1,2->1,protected,0.8282970012971038
2,0,mi,cross_session,10,1->2,protected,0.8769052995397013
2,0,mi,cross_session,10,2->1,protected,0.7153585689663138
2,0,mi,cross_session,11,1->2,protected,0.47530499550232724
2,0,mi,cross_session,11,2->1,protected,0.6637886639038595
2,0,mi,cross_session,12,1->2,protected,0.591102763673038
2,0,mi,cross_session,12,2->1,protected,0.6743721613025109
2,0,mi,cross_session,13,1->2,protected,0.7196736639498598
2,0,mi,cross_session,13,2->1,protected,0.6961390418641502
2,0,mi,cross_session,15,1->2,protected,0.4765227278115974
2,0,mi,cross_session,15,2->1,protected,0.5066738127520766
2,0,mi,cross_session,19,1->2,protected,0.9476242912422874
2,0,mi,cross_session,19,2->1,protected,0.9250224290954888
2,0,mi,cross_session,2,1->2,protected,0.7914064871018411
2,0,mi,cross_session,2,2->1,protected,0.8496992780674992
2,0,mi,cross_session,20,1->2,protected,0.94482810702106
