frame_index,global_index,task,subject_id,session_id,event_label,fold,seed,purpose,group_count_before,selected_count
1980,1980,mi,1,1,right_hand,2,1,train_geometry,50,32
1982,1982,mi,1,1,right_hand,2,1,train_geometry,50,32
1983,1983,mi,1,1,right_hand,2,1,train_geometry,50,32
1985,1985,mi,1,1,right_hand,2,1,train_geometry,50,32
1986,1986,mi,1,1,left_hand,2,1,train_geometry,50,32
1987,1987,mi,1,1,left_hand,2,1,train_geometry,50,32
1988,1988,mi,1,1,left_hand,2,1,train_geometry,50,32
1989,1989,mi,1,1,right_hand,2,1,train_geometry,50,32
1990,1990,mi,1,1,left_hand,2,1,train_geometry,50,32
1991,1991,mi,1,1,right_hand,2,1,train_geometry,50,32
1992,1992,mi,1,1,left_hand,2,1,train_geometry,50,32
1994,1994,mi,1,1,left_hand,2,1,train_geometry,50,32
1995,1995,mi,1,1,left_hand,2,1,train_geometry,50,32
1996,1996,mi,1,1,left_hand,2,1,train_geometry,50,32
1997,1997,mi,1,1,left_hand,2,1,train_geometry,50,32
2000,2000,mi,1,1,right_hand,2,1,train_geometry,50,32
2002,2002,mi,1,1,right_hand,2,1,train_geometry,50,32
2004,2004,mi,1,1,right_hand,2,1,train_geometry,50,32
2006,2006,mi,1,1,left_hand,2,1,train_geometry,50,32
2008,2008,mi,1,1,right_hand,2,1,train_geometry,50,32
2009,2009,mi,1,1,left_hand,2,1,train_geometry,50,32
2010,2010,mi,1,1,right_hand,2,1,train_geometry,50,32
2011,2011,mi,1,1,right_hand,2,1,train_geometry,50,32
2012,2012,mi,1,1,right_hand,2,1,train_geometry,50,32
2013,2013,mi,1,1,left_hand,2,1,train_geometry,50,32
2015,2015,mi,1,1,left_hand,2,1,train_geometry,50,32
2017,2017,mi,1,1,right_hand,2,1,train_geometry,50,32
2018,2018,mi,1,1,right_hand,2,1,train_geometry,50,32
2020,2020,mi,1,1,left_hand,2,1,train_geometry,50,32
2022,2022,mi,1,1,left_hand,2,1,train_geometry,50,32
2024,2024,mi,1,1,right_hand,2,1,train_geometry,50,32
2025,2025,mi,1,1,left_hand,2,1,train_geometry,50,32
2026,2026,mi,1,1,left_hand,2,1,train_geometry,50,32
2028,2028,mi,1,1,left_hand,2,1,train_geometry,50,32
2029,2029,mi,1,1,left_hand,2,1,train_geometry,50,32
2032,2032,mi,1,1,left_hand,2,1,train_geometry,50,32
2033,2033,mi,1,1,left_hand,2,1,train_geometry,50,32
2035,2035,mi,1,1,left_hand,2,1,train_geometry,50,32
2038,2038,mi,1,1,right_hand,2,1,train_geometry,50,32
2039,2039,mi,1,1,left_hand,2,1,train_geometry,50,32
2042,2042,mi,1,1,right_hand,2,1,train_geometry,50,32
2043,2043,mi,1,1,right_hand,2,1,train_geometry,50,32
2046,2046,mi,1,1,left_hand,2,1,train_geometry,50,32
2047,2047,mi,1,1,right_hand,2,1,train_geometry,50,32
2050,2050,mi,1,1,left_hand,2,1,train_geometry,50,32
2051,2051,mi,1,1,left_hand,2,1,train_geometry,50,32
2052,2052,mi,1,1,right_hand,2,1,train_geometry,50,32
2054,2054,mi,1,1,left_hand,2,1,train_geometry,50,32
2055,2055,mi,1,1,right_hand,2,1,train_geometry,50,32
2056,2056,mi,1,1,right_hand,2,1,train_geometry,50,32
2057,2057,mi,1,1,right_hand,2,1,train_geometry,50,32
2059,2059,mi,1,1,left_hand,2,1,train_geometry,50,32
2061,2061,mi,1,1,right_hand,2,1,train_geometry,50,32
2062,2062,mi,1,1,left_hand,2,1,train_geometry,50,32
2063,2063,mi,1,1,left_hand,2,1,train_geometry,50,32
2064,2064,mi,1,1,left_hand,2,1,train_geometry,50,32
2066,2066,mi,1,1,right_hand,2,1,train_geometry,50,32
2067,2067,mi,1,1,right_hand,2,1,train_geometry,50,32
2068,2068,mi,1,1,right_hand,2,1,train_geometry,50,32
2069,2069,mi,1,1,left_hand,2,1,train_geometry,50,32
2070,2070,mi,1,1,right_hand,2,1,train_geometry,50,32
2073,2073,mi,1,1,right_hand,2,1,train_geometry,50,32
2075,2075,mi,1,1,right_hand,2,1,train_geometry,50,32
2077,2077,mi,1,1,right_hand,2,1,train_geometry,50,32
4160,4160,mi,1,2,left_hand,2,1,train_geometry,50,32
4161,4161,mi,1,2,right_hand,2,1,train_geometry,50,32
4162,4162,mi,1,2,left_hand,2,1,train_geometry,50,32
4163,4163,mi,1,2,left_hand,2,1,train_geometry,50,32
4164,4164,mi,1,2,right_hand,2,1,train_geometry,50,32
4165,4165,mi,1,2,right_hand,2,1,train_geometry,50,32
4166,4166,mi,1,2,left_hand,2,1,train_geometry,50,32
4167,4167,mi,1,2,right_hand,2,1,train_geometry,50,32
4170,4170,mi,1,2,right_hand,2,1,train_geometry,50,32
4171,4171,mi,1,2,right_hand,2,1,train_geometry,50,32
4173,4173,mi,1,2,left_hand,2,1,train_geometry,50,32
4175,4175,mi,1,2,left_hand,2,1,train_geometry,50,32
4177,4177,mi,1,2,left_hand,2,1,train_geometry,50,32
4179,4179,mi,1,2,right_hand,2,1,train_geometry,50,32
4180,4180,mi,1,2,right_hand,2,1,train_geometry,50,32
4181,4181,mi,1,2,left_hand,2,1,train_geometry,50,32
4182,4182,mi,1,2,right_hand,2,1,train_geometry,50,32
4183,4183,mi,1,2,right_hand,2,1,train_geometry,50,32
4184,4184,mi,1,2,right_hand,2,1,train_geometry,50,32
4185,4185,mi,1,2,left_hand,2,1,train_geometry,50,32
4186,4186,mi,1,2,right_hand,2,1,train_geometry,50,32
4188,4188,mi,1,2,left_hand,2,1,train_geometry,50,32
4190,4190,mi,1,2,left_hand,2,1,train_geometry,50,32
4191,4191,mi,1,2,right_hand,2,1,train_geometry,50,32
