fold,seed,task,old_protected,new_protected,protected_jaccard,old_rank,new_rank,old_validation_gain_BA,new_validation_gain_BA,validation_sign_agreement,old_harmful,new_harmful,harmful_assignment_agreement
0,0,mi,[5],[5],1.0,1,1,-0.118923611111111,-0.1328125,True,[],[],True
0,0,erp,[6],[6],1.0,1,1,-0.1024305555555555,-0.10243055555555547,True,[2],"[1, 2, 5]",False
0,0,ssvep,"[3, 4]","[3, 4]",1.0,2,2,-0.1099999999999998,-0.10999999999999988,True,[],[],True
0,1,mi,"[5, 6]","[5, 6]",1.0,2,2,-0.1197916666666667,-0.11024305555555558,True,[],[],True
0,1,erp,"[5, 6]","[5, 6]",1.0,2,2,-0.0546875,-0.0703125,True,[],[],True
0,1,ssvep,"[3, 4]","[3, 4]",1.0,2,2,-0.0377777777777776,-0.03777777777777769,True,[],[],True
1,0,mi,"[4, 6]","[4, 6]",1.0,2,2,-0.0538194444444445,-0.04427083333333326,True,[],[],True
1,0,erp,"[5, 6]","[5, 6]",1.0,2,2,-0.0572916666666667,-0.05208333333333337,True,[],[],True
1,0,ssvep,"[3, 4]","[3, 4]",1.0,2,2,-0.0827777777777778,-0.08277777777777784,True,[1],[1],True
1,1,mi,[4],[4],1.0,1,1,-0.0946180555555556,-0.07552083333333326,True,[1],[1],True
1,1,erp,[5],[5],1.0,1,1,-0.0355902777777779,-0.05121527777777779,True,[1],[],False
1,1,ssvep,"[3, 4]","[3, 4]",1.0,2,2,-0.0744444444444445,-0.07444444444444454,True,[],[],True
2,0,mi,"[5, 6]","[5, 6]",1.0,2,2,-0.1432291666666666,-0.15711805555555558,True,[],[],True
2,0,erp,[6],[6],1.0,1,1,-0.0711805555555555,-0.08767361111111116,True,[1],[],False
2,0,ssvep,[4],[4],1.0,1,1,-0.0288888888888889,-0.028888888888888964,True,[],[],True
2,1,mi,"[5, 6]","[5, 6]",1.0,2,2,-0.1076388888888889,-0.10329861111111116,True,[],[],True
2,1,erp,[],[],0.0,0,0,,,False,[],[],True
2,1,ssvep,"[4, 6]","[4, 6]",1.0,2,2,-0.0505555555555555,-0.050555555555555576,True,[],[],True
