frame_index,global_index,task,subject_id,session_id,event_label,fold,seed,inner_split,purpose,group_count_before,selected_count
18683,26163,erp,15,1,NonTarget,1,0,4,fit,1650,32
18744,26224,erp,15,1,Target,1,0,4,fit,330,32
18812,26292,erp,15,1,NonTarget,1,0,4,fit,1650,32
18871,26351,erp,15,1,NonTarget,1,0,4,fit,1650,32
18897,26377,erp,15,1,NonTarget,1,0,4,fit,1650,32
18922,26402,erp,15,1,Target,1,0,4,fit,330,32
18991,26471,erp,15,1,Target,1,0,4,fit,330,32
19016,26496,erp,15,1,NonTarget,1,0,4,fit,1650,32
19028,26508,erp,15,1,Target,1,0,4,fit,330,32
19081,26561,erp,15,1,NonTarget,1,0,4,fit,1650,32
19089,26569,erp,15,1,Target,1,0,4,fit,330,32
19163,26643,erp,15,1,NonTarget,1,0,4,fit,1650,32
19171,26651,erp,15,1,NonTarget,1,0,4,fit,1650,32
19208,26688,erp,15,1,NonTarget,1,0,4,fit,1650,32
19212,26692,erp,15,1,Target,1,0,4,fit,330,32
19219,26699,erp,15,1,Target,1,0,4,fit,330,32
19234,26714,erp,15,1,NonTarget,1,0,4,fit,1650,32
19316,26796,erp,15,1,NonTarget,1,0,4,fit,1650,32
19322,26802,erp,15,1,Target,1,0,4,fit,330,32
19351,26831,erp,15,1,Target,1,0,4,fit,330,32
19353,26833,erp,15,1,Target,1,0,4,fit,330,32
19378,26858,erp,15,1,Target,1,0,4,fit,330,32
19404,26884,erp,15,1,NonTarget,1,0,4,fit,1650,32
19495,26975,erp,15,1,NonTarget,1,0,4,fit,1650,32
19514,26994,erp,15,1,Target,1,0,4,fit,330,32
19547,27027,erp,15,1,NonTarget,1,0,4,fit,1650,32
19549,27029,erp,15,1,Target,1,0,4,fit,330,32
19568,27048,erp,15,1,NonTarget,1,0,4,fit,1650,32
19583,27063,erp,15,1,Target,1,0,4,fit,330,32
19589,27069,erp,15,1,NonTarget,1,0,4,fit,1650,32
19637,27117,erp,15,1,Target,1,0,4,fit,330,32
19691,27171,erp,15,1,NonTarget,1,0,4,fit,1650,32
19694,27174,erp,15,1,Target,1,0,4,fit,330,32
19826,27306,erp,15,1,Target,1,0,4,fit,330,32
19849,27329,erp,15,1,NonTarget,1,0,4,fit,1650,32
19857,27337,erp,15,1,Target,1,0,4,fit,330,32
19864,27344,erp,15,1,NonTarget,1,0,4,fit,1650,32
19880,27360,erp,15,1,NonTarget,1,0,4,fit,1650,32
19931,27411,erp,15,1,NonTarget,1,0,4,fit,1650,32
19937,27417,erp,15,1,Target,1,0,4,fit,330,32
19967,27447,erp,15,1,NonTarget,1,0,4,fit,1650,32
19974,27454,erp,15,1,Target,1,0,4,fit,330,32
20017,27497,erp,15,1,Target,1,0,4,fit,330,32
20052,27532,erp,15,1,Target,1,0,4,fit,330,32
20094,27574,erp,15,1,Target,1,0,4,fit,330,32
20104,27584,erp,15,1,Target,1,0,4,fit,330,32
20118,27598,erp,15,1,Target,1,0,4,fit,330,32
20148,27628,erp,15,1,Target,1,0,4,fit,330,32
20221,27701,erp,15,1,NonTarget,1,0,4,fit,1650,32
20244,27724,erp,15,1,Target,1,0,4,fit,330,32
20260,27740,erp,15,1,Target,1,0,4,fit,330,32
20301,27781,erp,15,1,NonTarget,1,0,4,fit,1650,32
20350,27830,erp,15,1,Target,1,0,4,fit,330,32
20363,27843,erp,15,1,Target,1,0,4,fit,330,32
20387,27867,erp,15,1,NonTarget,1,0,4,fit,1650,32
20446,27926,erp,15,1,NonTarget,1,0,4,fit,1650,32
20470,27950,erp,15,1,NonTarget,1,0,4,fit,1650,32
20489,27969,erp,15,1,NonTarget,1,0,4,fit,1650,32
20552,28032,erp,15,1,Target,1,0,4,fit,330,32
20591,28071,erp,15,1,NonTarget,1,0,4,fit,1650,32
20604,28084,erp,15,1,NonTarget,1,0,4,fit,1650,32
20643,28123,erp,15,1,NonTarget,1,0,4,fit,1650,32
20650,28130,erp,15,1,Target,1,0,4,fit,330,32
20656,28136,erp,15,1,NonTarget,1,0,4,fit,1650,32
20708,28388,erp,15,2,Target,1,0,4,fit,330,32
20734,28414,erp,15,2,NonTarget,1,0,4,fit,1650,32
20827,28507,erp,15,2,Target,1,0,4,fit,330,32
20853,28533,erp,15,2,NonTarget,1,0,4,fit,1650,32
20866,28546,erp,15,2,Target,1,0,4,fit,330,32
20928,28608,erp,15,2,Target,1,0,4,fit,330,32
20977,28657,erp,15,2,NonTarget,1,0,4,fit,1650,32
21026,28706,erp,15,2,Target,1,0,4,fit,330,32
21066,28746,erp,15,2,NonTarget,1,0,4,fit,1650,32
21084,28764,erp,15,2,Target,1,0,4,fit,330,32
21158,28838,erp,15,2,NonTarget,1,0,4,fit,1650,32
21164,28844,erp,15,2,Target,1,0,4,fit,330,32
