frame_index,global_index,task,subject_id,session_id,event_label,fold,seed,inner_split,purpose,group_count_before,selected_count
0,15060,mi,12,1,left_hand,1,1,2,fit,50,32
4,15064,mi,12,1,right_hand,1,1,2,fit,50,32
5,15065,mi,12,1,right_hand,1,1,2,fit,50,32
6,15066,mi,12,1,left_hand,1,1,2,fit,50,32
7,15067,mi,12,1,right_hand,1,1,2,fit,50,32
12,15072,mi,12,1,left_hand,1,1,2,fit,50,32
16,15076,mi,12,1,left_hand,1,1,2,fit,50,32
17,15077,mi,12,1,left_hand,1,1,2,fit,50,32
19,15079,mi,12,1,right_hand,1,1,2,fit,50,32
22,15082,mi,12,1,right_hand,1,1,2,fit,50,32
23,15083,mi,12,1,right_hand,1,1,2,fit,50,32
24,15084,mi,12,1,right_hand,1,1,2,fit,50,32
25,15085,mi,12,1,left_hand,1,1,2,fit,50,32
26,15086,mi,12,1,right_hand,1,1,2,fit,50,32
27,15087,mi,12,1,left_hand,1,1,2,fit,50,32
29,15089,mi,12,1,right_hand,1,1,2,fit,50,32
30,15090,mi,12,1,left_hand,1,1,2,fit,50,32
34,15094,mi,12,1,right_hand,1,1,2,fit,50,32
35,15095,mi,12,1,left_hand,1,1,2,fit,50,32
36,15096,mi,12,1,left_hand,1,1,2,fit,50,32
37,15097,mi,12,1,right_hand,1,1,2,fit,50,32
38,15098,mi,12,1,left_hand,1,1,2,fit,50,32
39,15099,mi,12,1,left_hand,1,1,2,fit,50,32
40,15100,mi,12,1,left_hand,1,1,2,fit,50,32
41,15101,mi,12,1,left_hand,1,1,2,fit,50,32
44,15104,mi,12,1,right_hand,1,1,2,fit,50,32
45,15105,mi,12,1,left_hand,1,1,2,fit,50,32
46,15106,mi,12,1,left_hand,1,1,2,fit,50,32
47,15107,mi,12,1,left_hand,1,1,2,fit,50,32
49,15109,mi,12,1,left_hand,1,1,2,fit,50,32
51,15111,mi,12,1,left_hand,1,1,2,fit,50,32
52,15112,mi,12,1,left_hand,1,1,2,fit,50,32
54,15114,mi,12,1,left_hand,1,1,2,fit,50,32
55,15115,mi,12,1,left_hand,1,1,2,fit,50,32
56,15116,mi,12,1,right_hand,1,1,2,fit,50,32
57,15117,mi,12,1,right_hand,1,1,2,fit,50,32
58,15118,mi,12,1,left_hand,1,1,2,fit,50,32
59,15119,mi,12,1,left_hand,1,1,2,fit,50,32
60,15120,mi,12,1,right_hand,1,1,2,fit,50,32
62,15122,mi,12,1,left_hand,1,1,2,fit,50,32
63,15123,mi,12,1,right_hand,1,1,2,fit,50,32
64,15124,mi,12,1,right_hand,1,1,2,fit,50,32
65,15125,mi,12,1,right_hand,1,1,2,fit,50,32
66,15126,mi,12,1,right_hand,1,1,2,fit,50,32
67,15127,mi,12,1,left_hand,1,1,2,fit,50,32
69,15129,mi,12,1,right_hand,1,1,2,fit,50,32
72,15132,mi,12,1,right_hand,1,1,2,fit,50,32
73,15133,mi,12,1,right_hand,1,1,2,fit,50,32
74,15134,mi,12,1,left_hand,1,1,2,fit,50,32
75,15135,mi,12,1,right_hand,1,1,2,fit,50,32
76,15136,mi,12,1,left_hand,1,1,2,fit,50,32
77,15137,mi,12,1,left_hand,1,1,2,fit,50,32
78,15138,mi,12,1,right_hand,1,1,2,fit,50,32
80,15140,mi,12,1,right_hand,1,1,2,fit,50,32
81,15141,mi,12,1,left_hand,1,1,2,fit,50,32
82,15142,mi,12,1,right_hand,1,1,2,fit,50,32
86,15146,mi,12,1,left_hand,1,1,2,fit,50,32
87,15147,mi,12,1,right_hand,1,1,2,fit,50,32
88,15148,mi,12,1,right_hand,1,1,2,fit,50,32
91,15151,mi,12,1,right_hand,1,1,2,fit,50,32
93,15153,mi,12,1,right_hand,1,1,2,fit,50,32
94,15154,mi,12,1,left_hand,1,1,2,fit,50,32
96,15156,mi,12,1,right_hand,1,1,2,fit,50,32
98,15158,mi,12,1,right_hand,1,1,2,fit,50,32
101,17241,mi,12,2,right_hand,1,1,2,fit,50,32
102,17242,mi,12,2,left_hand,1,1,2,fit,50,32
104,17244,mi,12,2,right_hand,1,1,2,fit,50,32
105,17245,mi,12,2,right_hand,1,1,2,fit,50,32
106,17246,mi,12,2,left_hand,1,1,2,fit,50,32
108,17248,mi,12,2,left_hand,1,1,2,fit,50,32
111,17251,mi,12,2,right_hand,1,1,2,fit,50,32
112,17252,mi,12,2,left_hand,1,1,2,fit,50,32
113,17253,mi,12,2,left_hand,1,1,2,fit,50,32
115,17255,mi,12,2,left_hand,1,1,2,fit,50,32
116,17256,mi,12,2,left_hand,1,1,2,fit,50,32
117,17257,mi,12,2,left_hand,1,1,2,fit,50,32
118,17258,mi,12,2,left_hand,1,1,2,fit,50,32
119,17259,mi,12,2,right_hand,1,1,2,fit,50,32
121,17261,mi,12,2,left_hand,1,1,2,fit,50,32
122,17262,mi,12,2,right_hand,1,1,2,fit,50,32
123,17263,mi,12,2,right_hand,1,1,2,fit,50,32
125,17265,mi,12,2,left_hand,1,1,2,fit,50,32
126,17266,mi,12,2,right_hand,1,1,2,fit,50,32
129,17269,mi,12,2,right_hand,1,1,2,fit,50,32
131,17271,mi,12,2,right_hand,1,1,2,fit,50,32
134,17274,mi,12,2,right_hand,1,1,2,fit,50,32
135,17275,mi,12,2,left_hand,1,1,2,fit,50,32
137,17277,mi,12,2,right_hand,1,1,2,fit,50,32
139,17279,mi,12,2,left_hand,1,1,2,fit,50,32
140,17280,mi,12,2,left_hand,1,1,2,fit,50,32
141,17281,mi,12,2,left_hand,1,1,2,fit,50,32
143,17283,mi,12,2,left_hand,1,1,2,fit,50,32
144,17284,mi,12,2,right_hand,1,1,2,fit,50,32
145,17285,mi,12,2,left_hand,1,1,2,fit,50,32
148,17288,mi,12,2,right_hand,1,1,2,fit,50,32
149,17289,mi,12,2,left_hand,1,1,2,fit,50,32
150,17290,mi,12,2,left_hand,1,1,2,fit,50,32
152,17292,mi,12,2,left_hand,1,1,2,fit,50,32
153,17293,mi,12,2,right_hand,1,1,2,fit,50,32
154,17294,mi,12,2,left_hand,1,1,2,fit,50,32
156,17296,mi,12,2,right_hand,1,1,2,fit,50,32
157,17297,mi,12,2,right_hand,1,1,2,fit,50,32
158,17298,mi,12,2,left_hand,1,1,2,fit,50,32
