fold,seed,task,block,dimensions,persistence_supported,n_unique_subjects,n_split_observations,bootstrap_hierarchy,u_abs_mean,u_abs_CI95,u_abs_sign_probability,u_spec_mean,u_spec_CI95,u_spec_sign_probability,raw_BA_change,same_rank_random_BA_change,u_abs_bootstrap,u_spec_bootstrap,random_interventions
2,1,mi,0,1,True,32,85,aggregate_unique_subject_across_inner_splits_then_subject_bootstrap,-0.00020814363225942823,"[-0.0007240847499265372, 0.0003353387783909872]",0.2128,-0.006792481723537282,"[-0.008153821756440822, -0.005686466742353188]",0.0,-0.0008504231770833333,-0.011814127604166667,"{'mean': -0.00020814363225942823, 'ci95': [-0.0007240847499265372, 0.0003353387783909872], 'sign_probability': 0.2128, 'draws': 10000, 'n_unique_subjects': 32}","{'mean': -0.006792481723537282, 'ci95': [-0.008153821756440822, -0.005686466742353188], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 32}",100
2,1,mi,1,1,True,32,85,aggregate_unique_subject_across_inner_splits_then_subject_bootstrap,-0.00018915538590494877,"[-0.0006477537450588869, 0.0002934405241388326]",0.206,-0.007374557407360072,"[-0.008811002701901367, -0.0060759940786942095]",0.0,0.0010172526041666665,-0.013193115234375,"{'mean': -0.00018915538590494877, 'ci95': [-0.0006477537450588869, 0.0002934405241388326], 'sign_probability': 0.206, 'draws': 10000, 'n_unique_subjects': 32}","{'mean': -0.007374557407360072, 'ci95': [-0.008811002701901367, -0.0060759940786942095], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 32}",100
2,1,mi,2,1,True,32,85,aggregate_unique_subject_across_inner_splits_then_subject_bootstrap,-0.00034620306318674377,"[-0.0009027818052584447, 0.00018100133742309478]",0.097,-0.007218646275624359,"[-0.008762549708912378, -0.005906912507063371]",0.0,0.00186767578125,-0.012325154622395832,"{'mean': -0.00034620306318674377, 'ci95': [-0.0009027818052584447, 0.00018100133742309478], 'sign_probability': 0.097, 'draws': 10000, 'n_unique_subjects': 32}","{'mean': -0.007218646275624359, 'ci95': [-0.008762549708912378, -0.005906912507063371], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 32}",100
2,1,mi,3,1,True,32,85,aggregate_unique_subject_across_inner_splits_then_subject_bootstrap,0.00032221533855278606,"[-0.0005723532436885689, 0.001234460811016884]",0.759,-0.006287700472235065,"[-0.0076296911233760525, -0.005001611164098284]",0.0,-0.004252115885416666,-0.011670247395833333,"{'mean': 0.00032221533855278606, 'ci95': [-0.0005723532436885689, 0.001234460811016884], 'sign_probability': 0.759, 'draws': 10000, 'n_unique_subjects': 32}","{'mean': -0.006287700472235065, 'ci95': [-0.0076296911233760525, -0.005001611164098284], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 32}",100
2,1,mi,4,4,True,32,85,aggregate_unique_subject_across_inner_splits_then_subject_bootstrap,0.009989044544724768,"[0.00634141336110296, 0.014421753746628935]",1.0,-0.020650054027580207,"[-0.026379451262778384, -0.015453885981216088]",0.0,-0.019453938802083334,-0.048961669921875,"{'mean': 0.009989044544724768, 'ci95': [0.00634141336110296, 0.014421753746628935], 'sign_probability': 1.0, 'draws': 10000, 'n_unique_subjects': 32}","{'mean': -0.020650054027580207, 'ci95': [-0.026379451262778384, -0.015453885981216088], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 32}",100
2,1,mi,5,4,True,32,85,aggregate_unique_subject_across_inner_splits_then_subject_bootstrap,0.03872646468476616,"[0.02946488828596035, 0.04889926810875188]",1.0,0.014544027243498247,"[0.004285650856237809, 0.024605450348214306]",0.9971,-0.059761555989583326,-0.03857881673177083,"{'mean': 0.03872646468476616, 'ci95': [0.02946488828596035, 0.04889926810875188], 'sign_probability': 1.0, 'draws': 10000, 'n_unique_subjects': 32}","{'mean': 0.014544027243498247, 'ci95': [0.004285650856237809, 0.024605450348214306], 'sign_probability': 0.9971, 'draws': 10000, 'n_unique_subjects': 32}",100
2,1,mi,6,4,True,32,85,aggregate_unique_subject_across_inner_splits_then_subject_bootstrap,0.05426144778719766,"[0.042300358189125586, 0.06693224916090765]",1.0,0.032836730651230314,"[0.022393336879466343, 0.04347585846288932]",1.0,-0.08680013020833333,-0.03330029296875,"{'mean': 0.05426144778719766, 'ci95': [0.042300358189125586, 0.06693224916090765], 'sign_probability': 1.0, 'draws': 10000, 'n_unique_subjects': 32}","{'mean': 0.032836730651230314, 'ci95': [0.022393336879466343, 0.04347585846288932], 'sign_probability': 1.0, 'draws': 10000, 'n_unique_subjects': 32}",100
2,1,mi,7,4,False,32,85,aggregate_unique_subject_across_inner_splits_then_subject_bootstrap,0.03628531730835294,"[0.026089945780279296, 0.04853930531075038]",1.0,0.010273695727695886,"[-0.001646312220872679, 0.02274821600717926]",0.9537,-0.050618489583333336,-0.04352124023437501,"{'mean': 0.03628531730835294, 'ci95': [0.026089945780279296, 0.04853930531075038], 'sign_probability': 1.0, 'draws': 10000, 'n_unique_subjects': 32}","{'mean': 0.010273695727695886, 'ci95': [-0.001646312220872679, 0.02274821600717926], 'sign_probability': 0.9537, 'draws': 10000, 'n_unique_subjects': 32}",100
2,1,erp,0,1,True,32,85,aggregate_unique_subject_across_inner_splits_then_subject_bootstrap,0.00023662581956304803,"[-0.001055868103777857, 0.0013830401975436783]",0.6564,-0.0011310327519299754,"[-0.002255931121125858, -6.0702327305080455e-05]",0.018,0.0036987304687499997,-0.0007156168619791667,"{'mean': 0.00023662581956304803, 'ci95': [-0.001055868103777857, 0.0013830401975436783], 'sign_probability': 0.6564, 'draws': 10000, 'n_unique_subjects': 32}","{'mean': -0.0011310327519299754, 'ci95': [-0.002255931121125858, -6.0702327305080455e-05], 'sign_probability': 0.018, 'draws': 10000, 'n_unique_subjects': 32}",100
2,1,erp,1,1,True,32,85,aggregate_unique_subject_across_inner_splits_then_subject_bootstrap,0.0002700514302477224,"[-8.589716165984983e-05, 0.0006652509262876163]",0.9334,-0.0013657080860979259,"[-0.0018986896545412993, -0.0007895183448368674]",0.0,0.0004923502604166664,-0.0009693196614583332,"{'mean': 0.0002700514302477224, 'ci95': [-8.589716165984983e-05, 0.0006652509262876163], 'sign_probability': 0.9334, 'draws': 10000, 'n_unique_subjects': 32}","{'mean': -0.0013657080860979259, 'ci95': [-0.0018986896545412993, -0.0007895183448368674], 'sign_probability': 0.0, 'draws': 10000, 'n_unique_subjects': 32}",100
