setting_id,fold,seed,method,lambda,I_ERM,I_method,S_I_abs,S_I_rel,checkpoint_sha256,task_outcome_accessed_for_selection
S4,0,0,DANN,0.01,0.07130856200759172,0.06040720362505847,0.010901358382533255,0.15287586897657235,e236e6c6ab4823465efb196c928740985fdd5b8ea07e8fda235e0e51c6f73e68,False
S4,0,0,DANN,0.1,0.07130856200759172,0.07003775402965706,0.0012708079779346626,0.017821253747643196,70610c35cb2ea6fcd17e405c47342721c3486412e21f9d7615adc7e6618f659b,False
S4,0,0,DANN,1.0,0.07130856200759172,0.11674629073827769,-0.04543772873068597,-0.637198780213957,2fc5fe93e1559b544d967a63e3095fbfedcf132bce227fa757de8885f0446c75,False
S4,0,0,MMD,0.01,0.07130856200759172,0.0807885342754695,-0.009479972267877779,-0.13294297347821385,6031e0b60cb76c6314d5e793ae3c4b5f9eabc20fb5a4f4e36e5d76c1be8b7a64,False
S4,0,0,MMD,0.1,0.07130856200759172,0.07851412106144617,-0.007205559053854449,-0.10104760004817198,d614ff580a5b7e3443a67381d34ea7b32c546ec4d8d4c2d0bff5ea2f10ee7443,False
S4,0,0,MMD,1.0,0.07130856200759172,0.07973057975336806,-0.008422017745776333,-0.1181066832445954,93d455d7a6875499dbc8b925e4c733370455fea2d04ccad6867aab8a27d45c6e,False
S4,0,0,CORAL,0.01,0.07130856200759172,0.07765049748644293,-0.006341935478851202,-0.0889365217894463,4d418aedae8c0bf9b59e82550a187ef2074d465adf78c87f64b08a59928f0654,False
S4,0,0,CORAL,0.1,0.07130856200759172,0.07983125132455116,-0.008522689316959431,-0.11951845720760097,c4cec395d6f9864bc5882dff3f1456ea25ac0f8ea265cada7e48c4480e9a300f,False
S4,0,0,CORAL,1.0,0.07130856200759172,0.0769948031083636,-0.005686241100771872,-0.07974135139742063,934fab0dc1d9d4561fa59246493bab4f1127e049296a9fb1b92c584a4bf4b22f,False
S4,0,1,DANN,0.01,0.0724969902826178,0.0653407399616488,0.007156250320969004,0.0987109988010924,6e170cd2e3696567cf5e59d6e254d3b1e41477d4bf9e63146129bf3f8b836866,False
