version,candidate,stage,lambda_geometry,lambda_drift,learning_rate,bottleneck,mean_method_BA,mean_control_BA,mean_delta_BA,delta_std,positive_inner_folds,median_method_epoch,median_control_epoch,stage1_rank
V1,V1__lg0.03__ld0.1__lr0.0003__b8,stage1,0.03,0.1,0.0003,8,0.8414523809523811,0.8407857142857142,0.000666666666666682,0.001672777911452422,3,0,0,4
V1,V1__lg0.1__ld0.1__lr0.0003__b8,stage1,0.1,0.1,0.0003,8,0.8417380952380953,0.8407857142857142,0.000952380952380949,0.0022335313142016486,3,3,0,3
V1,V1__lg0.3__ld0.1__lr0.0003__b8,stage1,0.3,0.1,0.0003,8,0.8423809523809525,0.8403571428571428,0.002023809523809539,0.002566573900611764,3,0,0,1
V1,V1__lg1__ld0.1__lr0.0003__b8,stage1,1.0,0.1,0.0003,8,0.8422142857142857,0.8403571428571428,0.0018571428571428684,0.0024989793835051384,3,1,0,2
V1,V1__lg0.3__ld0.01__lr0.0001__b8,stage2,0.3,0.01,0.0001,8,0.8415238095238096,0.8409761904761904,0.0005476190476191078,0.0008702698515474821,3,1,2,1
V1,V1__lg0.3__ld0.01__lr0.0003__b8,stage2,0.3,0.01,0.0003,8,0.8422142857142857,0.8403571428571428,0.0018571428571428905,0.0023299294900428723,3,0,0,1
V1,V1__lg0.3__ld0.1__lr0.0001__b8,stage2,0.3,0.1,0.0001,8,0.8415238095238096,0.8409761904761904,0.0005476190476191078,0.0008702698515474821,3,1,2,1
V1,V1__lg0.3__ld0.1__lr0.0003__b8,stage2,0.3,0.1,0.0003,8,0.8423809523809525,0.8403571428571428,0.002023809523809539,0.002566573900611764,3,0,0,1
V1,V1__lg1__ld0.01__lr0.0001__b8,stage2,1.0,0.01,0.0001,8,0.8413809523809525,0.8409761904761904,0.00040476190476193,0.0009977298495122073,2,1,2,2
V1,V1__lg1__ld0.01__lr0.0003__b8,stage2,1.0,0.01,0.0003,8,0.8422142857142857,0.8403571428571428,0.0018571428571428684,0.0024989793835051384,3,1,0,2
V1,V1__lg1__ld0.1__lr0.0001__b8,stage2,1.0,0.1,0.0001,8,0.8413809523809525,0.8409761904761904,0.00040476190476193,0.0009977298495122073,2,1,2,2
V1,V1__lg1__ld0.1__lr0.0003__b8,stage2,1.0,0.1,0.0003,8,0.8422142857142857,0.8403571428571428,0.0018571428571428684,0.0024989793835051384,3,1,0,2
