version,candidate,stage,inner_fold,held_subjects,n_train_subjects,n_held_subjects,method_BA,control_BA,delta_BA,method_epoch,control_epoch,elapsed_seconds
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage1,0,"['18', '41', '25', '4', '46', '52', '30']",27,7,0.7978571428571428,0.7971428571428572,0.0007142857142856673,7,9,56.67283773422241
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage1,1,"['29', '34', '5', '38', '24', '22', '31']",27,7,0.7949999999999999,0.7957142857142857,-0.0007142857142857784,4,4,37.74031686782837
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage1,2,"['35', '42', '49', '8', '23', '26', '51']",27,7,0.8392857142857142,0.8407142857142857,-0.0014285714285715567,7,7,48.2142813205719
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage1,3,"['44', '7', '39', '37', '12', '27', '15']",27,7,0.8935714285714286,0.8942857142857142,-0.0007142857142856673,1,3,29.737722396850586
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage1,4,"['9', '21', '11', '43', '16', '20']",28,6,0.855,0.855,0.0,0,0,16.836917638778687
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage1,0,"['18', '41', '25', '4', '46', '52', '30']",27,7,0.8,0.7971428571428572,0.0028571428571428914,12,9,48.83662986755371
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage1,1,"['29', '34', '5', '38', '24', '22', '31']",27,7,0.7935714285714286,0.7957142857142857,-0.002142857142857113,4,4,26.51774835586548
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage1,2,"['35', '42', '49', '8', '23', '26', '51']",27,7,0.8364285714285714,0.8407142857142857,-0.004285714285714337,5,7,35.331302881240845
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage1,3,"['44', '7', '39', '37', '12', '27', '15']",27,7,0.895,0.8971428571428571,-0.002142857142857113,4,15,57.086257457733154
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage1,4,"['9', '21', '11', '43', '16', '20']",28,6,0.8558333333333333,0.855,0.0008333333333333526,0,0,16.791280269622803
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage1,0,"['18', '41', '25', '4', '46', '52', '30']",27,7,0.7985714285714285,0.7971428571428572,0.0014285714285713347,12,9,48.37380862236023
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage1,1,"['29', '34', '5', '38', '24', '22', '31']",27,7,0.7942857142857143,0.7957142857142857,-0.0014285714285714457,4,4,26.877625226974487
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage1,2,"['35', '42', '49', '8', '23', '26', '51']",27,7,0.8357142857142856,0.8407142857142857,-0.0050000000000001155,3,7,35.0023455619812
