run,model,alignment_same,alignment_cross,geometry_margin
fold-0/seed-0,method,0.8855362716648314,0.8858348412646188,0.4276951704588201
fold-0/seed-0,control,0.8838772078355154,0.8841806650161743,0.4260021284636524
fold-0/seed-1,method,0.8261417498191198,0.829040581981341,0.22970379268129668
fold-0/seed-1,control,0.8151436895132065,0.8181124710374408,0.22212770229412448
fold-1/seed-0,method,0.7984459992084239,0.7966789077553484,0.16628082427713606
fold-1/seed-0,control,0.685074132349756,0.6832469002240233,0.14438344310555193
fold-1/seed-1,method,0.8821680082215203,0.8839020099904802,0.33366720999280614
fold-1/seed-1,control,0.7875348702073097,0.7895910191453166,0.23444443941116333
fold-2/seed-0,method,0.7889637491769261,0.7931321486830711,0.16777018354170853
fold-2/seed-0,control,0.780329678621557,0.7844537827703688,0.16255857629908455
fold-2/seed-1,method,0.7157068332243297,0.7214665073487494,0.14955836265451378
fold-2/seed-1,control,0.7120675759183036,0.7177408951231175,0.1462974494530095
