subject_id,frozen_role,present_in_cache,sessions_seen,tasks_seen,raw_eeg_seen,labels_embedded
1,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
2,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
3,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
4,V8_INTERNAL_HOLDOUT,True,session-1;session-2,ERP;MI;SSVEP,False,True
5,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
6,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
7,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
8,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
9,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
10,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
11,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
12,V8_INTERNAL_HOLDOUT,True,session-1;session-2,ERP;MI;SSVEP,False,True
13,V8_INTERNAL_HOLDOUT,True,session-1;session-2,ERP;MI;SSVEP,False,True
14,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
15,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
16,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
17,V8_INTERNAL_HOLDOUT,True,session-1;session-2,ERP;MI;SSVEP,False,True
18,V8_INTERNAL_HOLDOUT,True,session-1;session-2,ERP;MI;SSVEP,False,True
19,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
20,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
21,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
22,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
23,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
24,V8_INTERNAL_HOLDOUT,True,session-1;session-2,ERP;MI;SSVEP,False,True
25,V8_INTERNAL_HOLDOUT,True,session-1;session-2,ERP;MI;SSVEP,False,True
26,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
27,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
28,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
29,V8_INTERNAL_HOLDOUT,True,session-1;session-2,ERP;MI;SSVEP,False,True
30,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
31,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
32,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
33,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
34,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
35,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
36,V8_INTERNAL_HOLDOUT,True,session-1;session-2,ERP;MI;SSVEP,False,True
37,V8_INTERNAL_HOLDOUT,True,session-1;session-2,ERP;MI;SSVEP,False,True
38,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
39,V8_INTERNAL_HOLDOUT,True,session-1;session-2,ERP;MI;SSVEP,False,True
40,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
41,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
42,V8_INTERNAL_HOLDOUT,True,session-1;session-2,ERP;MI;SSVEP,False,True
43,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
44,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
45,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
46,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
47,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
48,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
49,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
50,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
51,V8_INTERNAL_HOLDOUT,True,session-1;session-2,ERP;MI;SSVEP,False,True
52,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
53,V8_SEARCH,True,session-1;session-2,ERP;MI;SSVEP,False,True
54,V8_INTERNAL_HOLDOUT,True,session-1;session-2,ERP;MI;SSVEP,False,True
