model,task,fold,epoch,trajectory_provenance,C_effect_norm,C_margin_sign_flip,C_prediction_flip,C_to_C_rep,C_to_P_norm,C_to_P_rep,C_to_P_true_margin,C_total_norm,PC_prediction_flip_disagreement_rate,P_effect_norm,P_margin_sign_flip,P_prediction_flip,P_to_C_norm,P_to_C_rep,P_to_C_true_margin,P_to_P_rep,P_total_norm,interaction_main_ratio,interaction_norm,pair_count,session,subject
EEGNet,OpenBMI_MI,1,6,RETRAINED_REPLICA_TRAJECTORY,0.37890298754746254,0.0,0.4375,8.414179652929306,0.24100654042558745,2.386021889746189,-0.16662027314305305,0.37890301128118153,0.625,0.504670534748584,0.0,0.3125,0.1367287472821772,1.4397928453981876,-0.18057759664952755,2.3821538984775543,0.5046705477871001,0.051042367093032226,0.04880561768368352,16,1,10
EEGNet,OpenBMI_MI,1,6,RETRAINED_REPLICA_TRAJECTORY,0.379441752738785,0.0,0.3125,8.748217195272446,0.22738151876546908,2.309728406369686,-0.03282310627400875,0.3794418182806112,0.4375,0.4586695749312639,0.0,0.375,0.14443601807579398,1.440000806003809,-0.07515739649534225,2.1180216893553734,0.4586695955367759,0.08600269706221297,0.062284023326355964,16,2,10
EEGNet,OpenBMI_MI,1,6,RETRAINED_REPLICA_TRAJECTORY,0.3635572222992778,0.0625,0.3125,9.261977195739746,0.30164621490985155,2.5741894841194153,-0.06654105056077242,0.3635571984341368,0.8125,0.46355765309999697,0.0,0.5,0.10207169537898153,1.4433463905006647,-0.03805449139326811,2.3553025238215923,0.46355766378110275,0.2000511424630531,0.05321395487408154,16,1,16
EEGNet,OpenBMI_MI,1,6,RETRAINED_REPLICA_TRAJECTORY,0.8590230485424399,0.0,0.3125,9.149409264326096,0.4672051062807441,2.8384162858128548,-0.43004935421049595,0.8590230336412787,0.4375,0.9934062184765935,0.0,0.5,0.21605043002637103,2.3602928072214127,-0.254556723870337,3.5074693858623505,0.9934062333777547,0.05505276749318,0.10408546729013324,16,2,16
EEGNet,OpenBMI_MI,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5748193555045873,0.0625,0.5625,7.8742877542972565,0.1848080858035246,2.097016990184784,0.032268308103084564,0.5748193063773215,0.5625,0.32468888303264976,0.0,0.125,0.08498464192962274,1.4663731716573238,-0.0062402160838246346,2.269661530852318,0.3246888886205852,0.09604376705829054,0.07184063485692604,16,1,19
EEGNet,OpenBMI_MI,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5102553541073576,0.0625,0.375,7.875031739473343,0.3626376762986183,2.6435358449816704,-0.0025831484235823154,0.5102553183678538,0.625,0.5367030273191631,0.0,0.5,0.12969386903569102,1.6509453654289246,-0.1434016996063292,2.5352102145552635,0.5367030478082597,0.08813934470526874,0.09251396579202265,16,2,19
EEGNet,OpenBMI_MI,1,6,RETRAINED_REPLICA_TRAJECTORY,0.4359323875978589,0.0625,0.25,8.663861602544785,0.3113187598064542,2.6094818487763405,-0.3134757913649082,0.43593235057778656,0.25,0.43957755202427506,0.0,0.125,0.1113574230694212,1.6547740064561367,-0.07715364708565176,2.518649123609066,0.4395774947479367,0.0736173297627829,0.04361664367024787,16,1,20
EEGNet,OpenBMI_MI,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5878096357919276,0.0,0.25,8.331504940986633,0.33308076558751054,2.7541259229183197,-0.09480246715247631,0.5878096907399595,0.4375,0.7626258302479982,0.0,0.4375,0.19170349047635682,2.0233401358127594,-0.25208132062107325,3.0763025507330894,0.7626258553937078,0.08973777163191698,0.12626929083489813,16,2,20
EEGNet,OpenBMI_MI,1,6,RETRAINED_REPLICA_TRAJECTORY,0.480034693289781,0.0625,0.4375,8.825851500034332,0.29069925349904224,2.5196920707821846,-0.21870147343724966,0.48003473051358014,0.5,0.3841682327911258,0.0625,0.1875,0.1494445912539959,1.6970060281455517,-0.13450806681066751,2.488982394337654,0.3841682360507548,0.06360677565680817,0.05354213682585396,16,1,21
EEGNet,OpenBMI_MI,1,6,RETRAINED_REPLICA_TRAJECTORY,0.531773186288774,0.0,0.5625,8.281686246395111,0.2642367588923662,2.4879154711961746,0.0603167493827641,0.5317731741815805,0.4375,0.46470419969409704,0.0,0.375,0.09845554413914215,1.466816894710064,-0.018974142614752054,2.3446006812155247,0.46470421086996794,0.07478259014897048,0.06466908261063509,16,2,21
EEGNet,OpenBMI_MI,1,6,RETRAINED_REPLICA_TRAJECTORY,0.4693134053668473,0.125,0.25,9.207674860954285,0.3107309672050178,2.5512645691633224,-0.3882372882217169,0.4693133723048959,0.4375,0.4464870155788958,0.0,0.1875,0.13193662359844893,1.6078058779239655,0.005745552945882082,2.451864004135132,0.4464869746007025,0.07763755036285147,0.06431367507320829,16,1,22
EEGNet,OpenBMI_MI,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6376252612099051,0.125,0.3125,8.940498888492584,0.4058013332542032,2.536422535777092,-0.10889215394854546,0.6376252579502761,0.4375,0.5041374042630196,0.0,0.25,0.1320616471930407,1.7578189559280872,0.022003430873155594,2.808448113501072,0.5041373795829713,0.07430828526958067,0.06466259409990016,16,2,22
EEGNet,OpenBMI_MI,1,6,RETRAINED_REPLICA_TRAJECTORY,0.41074949712492526,0.125,0.3125,8.769771546125412,0.20129232143517584,2.4762621596455574,-0.12050787545740604,0.41074945917353034,0.5,0.5559607225004584,0.0,0.4375,0.14227470516925678,1.795790657401085,-0.009730164892971516,2.7896609157323837,0.5559607063187286,0.10914403921924531,0.08774092450039461,16,1,23
EEGNet,OpenBMI_MI,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6530797771411017,0.125,0.5,8.832490533590317,0.2630356795853004,2.628067798912525,-0.2037817006930709,0.6530797571176663,0.3125,0.325818063935003,0.0625,0.1875,0.08535243876394816,1.6073295027017593,-0.09770041983574629,2.7019081711769104,0.3258180125740182,0.15659521156339906,0.05692964169429615,16,2,23
EEGNet,OpenBMI_MI,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6159663606085815,0.0,0.25,8.225398302078247,0.45683625061792554,2.5279018506407738,-0.3071448355913162,0.6159662952995859,0.5,0.5429278908413835,0.0625,0.5,0.1455090083181858,1.6467283591628075,-0.1842496432363987,2.4749516397714615,0.5429278341471218,0.09093145417864434,0.1371291886025574,16,1,27
EEGNet,OpenBMI_MI,1,6,RETRAINED_REPLICA_TRAJECTORY,0.9306757915765047,0.0,0.5625,8.444602251052856,0.33941836762824096,2.4631190225481987,-0.4359265463426709,0.9306757189333439,0.3125,0.8361795453820378,0.0625,0.375,0.19542385556269437,2.018474765121937,-0.2763710664585233,2.8303153291344643,0.8361795000964776,0.05119857282261364,0.09443062136415392,16,2,27
EEGNet,OpenBMI_MI,1,6,RETRAINED_REPLICA_TRAJECTORY,0.7110020156251267,0.0,0.4375,8.923938155174255,0.2643436456055497,2.444026604294777,-0.24003390967845917,0.7110019910032861,0.25,0.5774965015007183,0.0625,0.1875,0.13486228149849921,1.7222162075340748,-0.059412975795567036,2.4942366555333138,0.5774964655865915,0.11711214063689113,0.13929570384789258,16,1,3
EEGNet,OpenBMI_MI,1,6,RETRAINED_REPLICA_TRAJECTORY,0.613764576613903,0.0,0.25,8.327687859535217,0.3945035875076428,2.48537877202034,-0.26593535766005516,0.6137645710259676,0.625,0.7530086738988757,0.0,0.625,0.14843833167105913,1.9616239182651043,-0.13668906083330512,2.7624459490180016,0.7530086571350694,0.07855170928814914,0.0889389744552318,16,2,3
EEGNet,OpenBMI_MI,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5437862849794328,0.0625,0.5625,8.771710723638535,0.35071887844242156,2.9017895311117172,-0.147942996583879,0.54378632735461,0.5625,0.3458571794908494,0.0,0.125,0.0862419707555091,1.3598122149705887,-0.02764775510877371,2.177750751376152,0.3458571844967082,0.052494343461148674,0.041100420168731944,16,1,30
