stage,c_index,interaction_norm,interaction_top1_margin,interaction_true_margin,native_correct_interaction_norm,native_correct_n,native_correct_true_margin,native_error_interaction_norm,native_error_n,native_error_rate,native_error_true_margin,p_index,positive_true_margin_rate,session,split,subject,train_rank,train_subject_equal_interaction_norm,trial_count
classifier_input,2,4.9061565476904434e-08,2.3283064365386963e-08,-8.381903171539307e-09,4.57941702336484e-08,13,9.16994569166718e-09,6.322027701344268e-08,3,0.1875,-8.44399110633276e-08,1,0.375,1,TRAIN,1,1,4.718408064263713e-08,16
classifier_input,2,5.877510034224542e-08,-4.284083843231201e-08,-6.146728992462158e-08,6.6572859225289e-08,11,-7.586045569496491e-08,4.162000877272476e-08,5,0.3125,-2.9802322387695312e-08,1,0.25,2,TRAIN,1,1,4.718408064263713e-08,16
classifier_input,2,4.478102511029647e-08,4.6566128730773926e-09,9.313225746154785e-09,4.640206086037324e-08,13,8.596823697359923e-09,3.7756549886580615e-08,3,0.1875,1.2417634032146907e-08,1,0.375,1,TRAIN,10,1,4.718408064263713e-08,16
classifier_input,2,5.449455642292378e-08,-2.0489096641540527e-08,-2.3283064365386963e-08,6.60739587488024e-08,12,-2.918144126340394e-08,1.975633523443321e-08,4,0.25,-5.587935447692871e-09,1,0.4375,2,TRAIN,10,1,4.718408064263713e-08,16
classifier_input,2,4.338161829764431e-08,1.3969838619232178e-08,2.1420419216156006e-08,4.863098013174749e-08,13,2.1778619796464227e-08,2.063439374921927e-08,3,0.1875,1.9868215517249155e-08,1,0.5,1,TRAIN,14,1,4.718408064263713e-08,16
classifier_input,2,2.4860055347630805e-08,1.0710209608078003e-08,5.122274160385132e-09,2.654440756089116e-08,13,9.743066797796018e-09,1.7561186282932795e-08,3,0.1875,-1.4901161193847656e-08,1,0.5,2,TRAIN,14,1,4.718408064263713e-08,16
classifier_input,2,4.338161829764431e-08,3.608874976634979e-08,3.9814040064811707e-08,4.486883042886802e-08,15,4.0481488383647957e-08,2.107342389479072e-08,1,0.0625,2.9802322387695312e-08,1,0.6875,1,TRAIN,16,1,4.718408064263713e-08,16
classifier_input,2,4.231148409417074e-08,-1.30385160446167e-08,-7.450580596923828e-09,3.512237256586559e-08,12,-1.3659398057086491e-08,6.38788151263725e-08,4,0.25,1.1175870895385742e-08,1,0.3125,2,TRAIN,16,1,4.718408064263713e-08,16
classifier_input,2,5.301283323433381e-08,-6.51925802230835e-09,-6.51925802230835e-09,5.301283323433381e-08,16,-6.51925802230835e-09,,0,0.0,,1,0.4375,1,TRAIN,19,1,4.718408064263713e-08,16
classifier_input,2,3.34211343044899e-08,1.3969838619232178e-08,1.3969838619232178e-08,3.809426374346003e-08,13,1.7193647394719846e-08,1.3170890156288806e-08,3,0.1875,0.0,1,0.375,2,TRAIN,19,1,4.718408064263713e-08,16
