stage,c_rank,draw,final_subset,final_subset_sha256,mapping_sha256,outer_error_association_subjects,outer_subject_error_association,p_rank,train_concentration_ratio,train_max_interaction,train_top10,train_top10_mass
classifier_input,16,0,"[0, 4, 7, 8, 12]",fedd69288ef1da162962eec0ededdbea764a0755872326ac000df0bc0d76ade7,e453bd762ecf04cdde7856774950491f684f52061d5f1d1d13c34a37a2cd1859,8,-7.548463201723088e-09,5,0.13373027822195566,4.844892842470472e-08,"[[1, 0], [3, 0], [2, 0], [0, 0], [1, 9], [0, 10], [3, 13], [4, 0], [1, 1], [1, 5]]",4.688631030091983e-07
classifier_input,16,1,"[4, 5, 7, 8, 14]",d65be0467a2f3e05b289d94c0a5708175fa7ccfe5424705dff844d0e7cbbc338,00b1b430743391a78d6df71ac5ddabf151a7ce6eb5972266ca776f9d72f75ac4,8,-6.9457861545663135e-09,5,0.13312862566920364,5.073483677620061e-08,"[[0, 0], [1, 0], [0, 4], [3, 0], [1, 12], [1, 4], [0, 7], [2, 0], [3, 1], [1, 15]]",4.700741271790321e-07
classifier_input,16,2,"[5, 6, 13, 14, 15]",3355ada3cd41f16fda77c915f1eabfd0d238e55c9626df33643e9dfdda1b3c82,7b0786ab0ebf01dbb2bab5fcb29edce387cfe92dbb91b95ba95823c097fa6806,8,-7.92486543055304e-09,5,0.13368780624342608,4.76241623914575e-08,"[[2, 0], [0, 0], [0, 3], [3, 0], [0, 15], [4, 0], [3, 3], [0, 10], [0, 9], [1, 0]]",4.673180526992837e-07
classifier_input,16,3,"[3, 11, 15, 17, 19]",020049ada3dfc4be2b8d500d55ca08d5f91418bf3b9a3b30b5041356a27d561d,516e4a89e0375963cd9bb024af3465a5a562fc6e0cc73c74504066cf8602285f,8,-6.671977123562378e-09,5,0.13514053166892473,5.0025636966211096e-08,"[[1, 0], [4, 0], [3, 0], [2, 0], [4, 6], [1, 6], [3, 6], [0, 0], [1, 14], [4, 11]]",4.69567567051854e-07
classifier_input,16,4,"[1, 3, 12, 15, 18]",131b34c78ec53cfcdf2086f63f038ee30c12071df4267d4a90585403dfdb8855,276325516dcaf779d2d29e2ffb453a0ea1c269447a7822b2d2e7dc7e17813d99,8,-8.922327035532086e-09,5,0.13424992191927956,4.7803048630612466e-08,"[[4, 0], [0, 0], [1, 0], [0, 14], [2, 0], [0, 1], [0, 5], [0, 9], [1, 3], [0, 3]]",4.685251191460793e-07
classifier_input,16,5,"[1, 3, 8, 13, 17]",6860a04bcc1a25f52f8595065c6841199aedf749f4b756ab61b43b3e01ee3ad9,f1e98d16d36e08c05ddecc5f0c48601af433448207497e467c474673f33c682b,8,-7.746573102429545e-09,5,0.13395436948246042,4.8353946624501987e-08,"[[0, 0], [0, 7], [4, 0], [2, 4], [3, 0], [2, 0], [4, 2], [0, 6], [4, 6], [0, 9]]",4.68065248782068e-07
classifier_input,16,6,"[1, 2, 8, 15, 18]",78f9366e0cf764d72bb1f52509b4aaed2fc7c17e61a2e4372d19090c85934a67,ec61c27016b8e53570f0737d235440d2f863201d49ec75d08458db0f73f79879,8,-5.977416731028918e-09,5,0.13300007749646073,4.9073438646018985e-08,"[[0, 0], [2, 1], [3, 0], [0, 6], [2, 0], [1, 8], [2, 3], [0, 10], [0, 8], [2, 6]]",4.645271545200558e-07
classifier_input,16,7,"[7, 15, 16, 17, 19]",6ed4b1c995954ed8a79e14ea36a80a59783f76469b24af992dbbe6ec02a2ab68,1a91659ecaf74097599c6811ec099eae3ce74923585ba1752d919911a108e863,8,-6.577810135466322e-09,5,0.13315785214115122,4.892542904144648e-08,"[[2, 0], [4, 0], [1, 0], [3, 0], [4, 11], [4, 10], [2, 3], [3, 6], [4, 2], [3, 3]]",4.6194918823516673e-07
classifier_input,16,8,"[4, 7, 14, 17, 19]",809e4049890788b0af8ce47db47ddd87af6888e524b9bad42537bbdac390c767,bbf338f227f90307c84bb6048d5aa0e5a14e2e3db835958037b4df7397f44bfd,8,-2.7310656958157156e-09,5,0.13533447800440848,5.328511676339076e-08,"[[0, 0], [1, 0], [3, 0], [2, 0], [0, 11], [3, 10], [1, 3], [3, 2], [0, 7], [0, 6]]",4.702371789733206e-07
classifier_input,16,9,"[0, 12, 15, 17, 19]",9962ed760d82025e5c069557cca37c218e1f3d7dfc81c50729b8bf1b9d8c0256,60798d974c9fa9730cd0d6c4d022701c86afc5053da6b39defbe2ac28c7874bd,8,-5.9029600818494294e-09,5,0.13422612006415047,4.913913898008104e-08,"[[0, 0], [4, 0], [3, 0], [1, 0], [4, 14], [0, 12], [3, 7], [2, 0], [2, 12], [3, 13]]",4.6365964223582523e-07
