model,task,fold,epoch,trajectory_provenance,coordinate_correlation,crossfit,direction,fit_trials,normalized_mse,r2,subject,test_trials
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5679580121204213,0,within_s1,2000,0.6990093237695072,0.3009906762304928,3,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.572676379046655,0,within_s1,2000,0.6948757936100818,0.3051242063899182,10,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5531939403211202,0,within_s1,2000,0.6878913248558531,0.31210867514414686,22,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6025165170759609,0,within_s1,2000,0.6620208703570534,0.33797912964294663,33,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5940593258740177,0,within_s1,2000,0.6508092532967691,0.3491907467032309,46,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6415137086257297,0,within_s1,2000,0.5904117534736449,0.40958824652635506,53,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6851768243281857,1,within_s1,2100,0.626179719122429,0.373820280877571,5,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.560256233537703,1,within_s1,2100,0.777839211631801,0.22216078836819897,16,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5093790646495462,1,within_s1,2100,0.7559974462420567,0.24400255375794333,23,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6213839468687599,1,within_s1,2100,0.662738169689023,0.337261830310977,34,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5452220227295763,1,within_s1,2100,0.7566723650628961,0.24332763493710385,47,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.648394625480946,2,within_s1,2100,0.6076568919587243,0.3923431080412757,6,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5254053892785381,2,within_s1,2100,0.7947540242621245,0.2052459757378755,19,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6941508885422223,2,within_s1,2100,0.5784295644643855,0.42157043553561446,27,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6752330372662241,2,within_s1,2100,0.567861435082004,0.43213856491799596,38,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6857078667761527,2,within_s1,2100,0.5827635707633297,0.41723642923667026,48,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6466693268219514,3,within_s1,2100,0.6662536579750271,0.3337463420249729,7,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6237844521975929,3,within_s1,2100,0.6296235046622894,0.37037649533771055,20,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6487723421870077,3,within_s1,2100,0.6334381680391988,0.36656183196080117,30,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6696444743190949,3,within_s1,2100,0.5715043546843137,0.4284956453156863,41,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.7061815886526575,3,within_s1,2100,0.5776916686847325,0.42230833131526746,49,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5723918852690097,4,within_s1,2100,0.6895251459973397,0.3104748540026603,9,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.533150521915377,4,within_s1,2100,0.726676767889648,0.27332323211035203,21,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6173309481319414,4,within_s1,2100,0.6569691685952784,0.34303083140472157,32,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.627012143356255,4,within_s1,2100,0.6132270823888503,0.38677291761114974,45,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6071737560911787,4,within_s1,2100,0.6864823001593521,0.3135176998406479,50,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6047564309076494,0,within_s2,2000,0.6776325397751086,0.3223674602248914,3,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5877014779322696,0,within_s2,2000,0.6878653887469476,0.3121346112530524,10,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5965480083020329,0,within_s2,2000,0.6540516935365518,0.3459483064634482,22,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5694348542322614,0,within_s2,2000,0.6890362116113474,0.3109637883886526,33,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5365089254856128,0,within_s2,2000,0.7347002169875414,0.2652997830124586,46,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.620396511833119,0,within_s2,2000,0.6371134709186634,0.36288652908133656,53,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6359585704710896,1,within_s2,2100,0.6003257825230274,0.3996742174769726,5,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6983944883237211,1,within_s2,2100,0.5690453609357341,0.4309546390642659,16,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5201291609963925,1,within_s2,2100,0.749189399946991,0.25081060005300904,23,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.622543325865353,1,within_s2,2100,0.6320119616849854,0.3679880383150146,34,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5307510350543045,1,within_s2,2100,0.7360538356150034,0.26394616438499663,47,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5910377966354369,2,within_s2,2100,0.6551597747219655,0.3448402252780345,6,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5351820327629757,2,within_s2,2100,0.7212551281063654,0.2787448718936346,19,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.7008362177008116,2,within_s2,2100,0.5499565373286318,0.4500434626713682,27,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6291247490978595,2,within_s2,2100,0.6181826062245478,0.3818173937754522,38,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.693451691134075,2,within_s2,2100,0.5556219381590688,0.4443780618409312,48,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5852310875340028,3,within_s2,2100,0.6362532862345686,0.36374671376543144,7,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5950284660795968,3,within_s2,2100,0.6528946109457563,0.3471053890542437,20,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.597284161481386,3,within_s2,2100,0.6450781247654253,0.35492187523457475,30,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6709090255509642,3,within_s2,2100,0.563416039031578,0.436583960968422,41,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5675806348795811,3,within_s2,2100,0.6871146626269719,0.31288533737302815,49,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6475210892131706,4,within_s2,2100,0.5810655869156695,0.41893441308433055,9,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6966308560286703,4,within_s2,2100,0.5374890114516384,0.4625109885483616,21,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6273781881065241,4,within_s2,2100,0.6391186100514713,0.3608813899485287,32,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5625535331899671,4,within_s2,2100,0.7172782166433476,0.28272178335665243,45,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5350498918367752,4,within_s2,2100,0.7279615479740712,0.2720384520259288,50,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.604951941621954,0,s1_to_s2,2000,0.6923442152047783,0.3076557847952217,3,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5774167147157465,0,s1_to_s2,2000,0.7137872686841238,0.2862127313158762,10,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6026378413960374,0,s1_to_s2,2000,0.6457510531149695,0.3542489468850305,22,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5637122040258371,0,s1_to_s2,2000,0.7001112229554334,0.2998887770445666,33,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.515927129737175,0,s1_to_s2,2000,0.7509749415692302,0.24902505843076983,46,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6150702815836206,0,s1_to_s2,2000,0.6628983764115565,0.33710162358844353,53,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6222042718834135,1,s1_to_s2,2100,0.6208317357239179,0.3791682642760821,5,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.7214246683060319,1,s1_to_s2,2100,0.5202637360920359,0.4797362639079641,16,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5161628832799056,1,s1_to_s2,2100,0.7578872358484811,0.24211276415151894,23,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6146371594158779,1,s1_to_s2,2100,0.6469326181303396,0.35306738186966036,34,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5330154418707179,1,s1_to_s2,2100,0.7387631783570764,0.2612368216429236,47,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5914507116739469,2,s1_to_s2,2100,0.6734698843634706,0.32653011563652945,6,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5381126476770015,2,s1_to_s2,2100,0.7204132874925738,0.27958671250742617,19,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.699115138810963,2,s1_to_s2,2100,0.568183557571064,0.431816442428936,27,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6208596313193958,2,s1_to_s2,2100,0.6262199021303578,0.37378009786964217,38,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6614858145448486,2,s1_to_s2,2100,0.6171857147507558,0.3828142852492442,48,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5648099739358616,3,s1_to_s2,2100,0.6769341864080859,0.3230658135919141,7,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5910335408617647,3,s1_to_s2,2100,0.6544911695695064,0.34550883043049363,20,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6181505518106871,3,s1_to_s2,2100,0.6204542190334951,0.37954578096650493,30,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6576543342169586,3,s1_to_s2,2100,0.5931921418693118,0.4068078581306882,41,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5713142806750726,3,s1_to_s2,2100,0.693288366324458,0.306711633675542,49,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6376992232027487,4,s1_to_s2,2100,0.5822558424653891,0.4177441575346109,9,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6629360158960327,4,s1_to_s2,2100,0.5920525680688841,0.40794743193111593,21,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6346391311871107,4,s1_to_s2,2100,0.6270106877784337,0.3729893122215663,32,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5538530086316861,4,s1_to_s2,2100,0.7462154427507601,0.2537845572492399,45,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.519884146191779,4,s1_to_s2,2100,0.7506541850586926,0.24934581494130736,50,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5744298469015451,0,s2_to_s1,2000,0.6853129434837637,0.3146870565162363,3,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5741624864074762,0,s2_to_s1,2000,0.6862379156137778,0.3137620843862222,10,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5204776179971494,0,s2_to_s1,2000,0.7319809329023839,0.26801906709761614,22,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6027636685422333,0,s2_to_s1,2000,0.6737295272564895,0.3262704727435105,33,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.589557339422438,0,s2_to_s1,2000,0.6591032807651209,0.3408967192348791,46,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6521358326923443,0,s2_to_s1,2000,0.5763420012764242,0.4236579987235758,53,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6455608399333861,1,s2_to_s1,2100,0.6544079617486888,0.34559203825131124,5,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5671653203597127,1,s2_to_s1,2100,0.770948862851929,0.22905113714807102,16,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5249866858403798,1,s2_to_s1,2100,0.740819887332082,0.25918011266791796,23,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6222740261807389,1,s2_to_s1,2100,0.6532718281079529,0.3467281718920471,34,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5253295041912345,1,s2_to_s1,2100,0.7695161253516102,0.23048387464838982,47,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6452341803870811,2,s2_to_s1,2100,0.5993481489948487,0.4006518510051513,6,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5476291552707029,2,s2_to_s1,2100,0.7344877155069206,0.2655122844930794,19,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.7134358939179717,2,s2_to_s1,2100,0.5166489030047885,0.4833510969952115,27,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6837476438909997,2,s2_to_s1,2100,0.5637186740626812,0.43628132593731883,38,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.700426732471825,2,s2_to_s1,2100,0.5426704912148832,0.4573295087851168,48,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.683239395026586,3,s2_to_s1,2100,0.5777737643509738,0.42222623564902617,7,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6245627879212403,3,s2_to_s1,2100,0.6293501964938779,0.3706498035061221,20,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.644455045670017,3,s2_to_s1,2100,0.6275104570930352,0.3724895429069648,30,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6689738435337501,3,s2_to_s1,2100,0.5703169841634561,0.4296830158365439,41,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.7088972506090481,3,s2_to_s1,2100,0.5373839793155671,0.46261602068443286,49,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5662107957106661,4,s2_to_s1,2100,0.6849307331669264,0.31506926683307357,9,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.5443450708086379,4,s2_to_s1,2100,0.7131417479263396,0.28685825207366045,21,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.610586987669256,4,s2_to_s1,2100,0.6643234967026764,0.33567650329732357,32,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.592605513827783,4,s2_to_s1,2100,0.6568069053639428,0.3431930946360572,45,100
EEGNet,OpenBMI_SSVEP,1,6,RETRAINED_REPLICA_TRAJECTORY,0.6309415522852885,4,s2_to_s1,2100,0.6258874098496726,0.3741125901503274,50,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.8964202244267074,0,within_s1,2000,0.20604797684675363,0.7939520231532464,3,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.8794691545083353,0,within_s1,2000,0.23212069945715805,0.7678793005428419,10,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.8745870134446346,0,within_s1,2000,0.23677160304728007,0.7632283969527199,22,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.9026356920703534,0,within_s1,2000,0.1906418206326596,0.8093581793673403,33,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.8975325221093435,0,within_s1,2000,0.19875304709685768,0.8012469529031423,46,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.9122806007932793,0,within_s1,2000,0.17204160501461851,0.8279583949853815,53,100
EEGNet,OpenBMI_SSVEP,1,15,RETRAINED_REPLICA_TRAJECTORY,0.9214049431794007,1,within_s1,2100,0.2026878401779346,0.7973121598220654,5,100
