model,task,fold,epoch,trajectory_provenance,C_effect_norm,C_margin_sign_flip,C_prediction_flip,C_to_C_rep,C_to_P_norm,C_to_P_rep,C_to_P_true_margin,C_total_norm,PC_prediction_flip_disagreement_rate,P_effect_norm,P_margin_sign_flip,P_prediction_flip,P_to_C_norm,P_to_C_rep,P_to_C_true_margin,P_to_P_rep,P_total_norm,interaction_main_ratio,interaction_norm,pair_count,session,subject
EEGNet,OpenBMI_SSVEP,2,6,RETRAINED_REPLICA_TRAJECTORY,1.8070255642135937,0.07291666666666667,0.4375,9.009568919738134,0.6636192066750178,2.5610994460682073,-0.15049157625374696,1.8070255330142875,0.4583333333333333,2.02617170351247,0.0,0.5833333333333334,0.8852905691601336,2.5450269790987172,-0.34631134336814284,4.039893293132384,2.026171733625233,0.11732226013555191,0.4330171034477341,96,1,10
EEGNet,OpenBMI_SSVEP,2,6,RETRAINED_REPLICA_TRAJECTORY,1.7604088690131903,0.03125,0.3854166666666667,9.011528089642525,0.6386127882481863,2.4330817591398954,0.04501983577695986,1.760408849765857,0.4791666666666667,2.0669415133694806,0.010416666666666666,0.65625,0.9170566334699591,2.519429612904787,-0.4341363562270999,4.05673839772741,2.0669414829462767,0.10225295265748476,0.4106101836853971,96,2,10
EEGNet,OpenBMI_SSVEP,2,6,RETRAINED_REPLICA_TRAJECTORY,2.2238474835952124,0.03125,0.4375,9.142387638489405,0.5603836888136963,2.1743911895900965,-0.0872993249213323,2.2238475031529865,0.6145833333333334,2.326483472560843,0.010416666666666666,0.6145833333333334,0.8598378684837371,2.492559197669228,-0.3670312936107318,4.494659485916297,2.3264834992587566,0.11636758637420523,0.5324749785164992,96,1,15
EEGNet,OpenBMI_SSVEP,2,6,RETRAINED_REPLICA_TRAJECTORY,1.9997836435213685,0.041666666666666664,0.5416666666666666,9.087553014357885,0.6113130337713907,2.603579188386599,0.16652157010200122,1.9997836562494438,0.5104166666666666,1.5094512747600675,0.0,0.4895833333333333,0.6318026916511977,1.7628761262943347,-0.17112393386196345,3.0840419655044875,1.5094512461995084,0.08115210826508701,0.29787202388979495,96,2,15
EEGNet,OpenBMI_SSVEP,2,6,RETRAINED_REPLICA_TRAJECTORY,1.7519311415186773,0.052083333333333336,0.5729166666666666,8.919140507777533,0.672896363462011,2.5786413302024207,-0.07921157645372053,1.7519311389575403,0.5416666666666666,1.8490813138584297,0.020833333333333332,0.6145833333333334,0.6760492859951531,2.0828637266531587,-0.3010292976008107,3.6219445007542768,1.8490813396250207,0.07514951354824007,0.29039680800633505,96,1,16
EEGNet,OpenBMI_SSVEP,2,6,RETRAINED_REPLICA_TRAJECTORY,2.2361122791965804,0.09375,0.3333333333333333,8.84088310599327,0.5942933204739044,2.391985564182202,0.00482570007443428,2.2361124033729234,0.4791666666666667,2.6962862852960825,0.020833333333333332,0.6458333333333334,1.0271629408622782,2.960740201175213,-0.44230481369110447,5.0478507081667585,2.696286308268706,0.15939388544453928,0.7603199247969314,96,2,16
EEGNet,OpenBMI_SSVEP,2,6,RETRAINED_REPLICA_TRAJECTORY,1.6471529466410477,0.03125,0.4375,9.49473079542319,0.6432080179220065,2.6456594119469323,-0.06406318272153537,1.647152930808564,0.5520833333333334,1.7689181643072516,0.020833333333333332,0.5729166666666666,0.7864326540923988,2.1411856152117252,-0.2018653596363341,3.614960115402937,1.7689181997751195,0.07352288809003464,0.2621369444726345,96,1,19
EEGNet,OpenBMI_SSVEP,2,6,RETRAINED_REPLICA_TRAJECTORY,1.9868458950271208,0.03125,0.5520833333333334,9.362417206168175,0.6338472981005907,2.658729671190182,-0.06577193543004493,1.9868458891287446,0.4583333333333333,1.6028411428754528,0.010416666666666666,0.6354166666666666,0.7370054671385636,2.0820481156309447,-0.3053647178846101,3.5503684965272746,1.602841114314894,0.08034140543895774,0.30720702465623617,96,2,19
EEGNet,OpenBMI_SSVEP,2,6,RETRAINED_REPLICA_TRAJECTORY,2.1500978330150247,0.03125,0.3958333333333333,9.298506751656532,0.5743200872093439,2.3133326234916844,-0.09470118046738207,2.150097878960272,0.6979166666666666,2.1913020946085453,0.0,0.6145833333333334,0.8131984154072901,2.4516941718757153,-0.4005616269229601,4.409747779369354,2.191302102059126,0.09415149809016536,0.4212646019877866,96,1,2
EEGNet,OpenBMI_SSVEP,2,6,RETRAINED_REPLICA_TRAJECTORY,1.462132220234101,0.041666666666666664,0.4895833333333333,9.562559256951014,0.6251300970713297,2.557083925232291,-0.03816135313051442,1.4621322395590444,0.625,1.7616935806969802,0.0,0.6770833333333334,0.6990715629265954,2.0953077667703233,-0.146534968012323,3.681170436243216,1.761693581007421,0.07077430632974331,0.2321965570639198,96,2,2
