task,fold,selected_epoch,checkpoint_sha256,split_sha256,normalizer_sha256,train_subject_ids_sha256,discovery_subject_ids_sha256,train_subjects,discovery_subjects,channels,samples,classes,trainable_parameters
OpenBMI_MI,0,49,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,2905f8c5fc206ef320e3e459757240633e267fd631d2b00c67958bcb4a373a6f,0699ba827990ebcc2f010b2cdf1bc7d1958ff01e8bed67d622f911c8c82820e1,26,6,62,1000,2,34162
OpenBMI_MI,1,58,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,c3791e0697a33b1394def6a8763f94b3a2efb790e905e98bed592aca654974f2,7d73fb89c3377a20020e7a7ba042f3987624970a98edc25e1fd296a7aca91808,26,6,62,1000,2,34162
OpenBMI_MI,2,46,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec,eeef59ace399095ff44ac23df9882918aa6a9c7805c04feece96daa38ef57316,ce616cdc64e6b0c89d21d19f49278222cba451bc6c6ade6b3192d4cd5c74683a,26,6,62,1000,2,34162
OpenBMI_MI,3,36,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5,815e971442582b79c2ff04caf1878aa40013d88566bd8174b4524d4681d00164,2098b462652906c4709b438444628542e16ef56a29023efa9ec7dbc6f1209916,26,6,62,1000,2,34162
OpenBMI_MI,4,58,92f2de1b95d785fd5f801b05625a2b8a9b475cfc3831262a63cf406d5b896462,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d,42bf832fa17752019a02c14733a1bfa84a436b2fed86481f23d8e315be737346,a6c02bf3b723f85e8155720896ff9b950e93dab0adb486973cbbe28055e3a995,26,6,62,1000,2,34162
OpenBMI_ERP,0,29,d803e953355c6d326d7889b057412049edcd96cc800f9782d7fb36782a175b89,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,2905f8c5fc206ef320e3e459757240633e267fd631d2b00c67958bcb4a373a6f,0699ba827990ebcc2f010b2cdf1bc7d1958ff01e8bed67d622f911c8c82820e1,26,6,62,250,2,9586
OpenBMI_ERP,1,39,f4e2e9272eb01443de43cf8b91fa12040b46238aa312729ccda9311950ca2b05,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,c3791e0697a33b1394def6a8763f94b3a2efb790e905e98bed592aca654974f2,7d73fb89c3377a20020e7a7ba042f3987624970a98edc25e1fd296a7aca91808,26,6,62,250,2,9586
OpenBMI_ERP,2,54,ffd6833609988d619825e0fcb74978d240924d22c7538ce7b5897e89b3b643d2,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,eeef59ace399095ff44ac23df9882918aa6a9c7805c04feece96daa38ef57316,ce616cdc64e6b0c89d21d19f49278222cba451bc6c6ade6b3192d4cd5c74683a,26,6,62,250,2,9586
OpenBMI_ERP,3,32,6a3fe1de7a6eae3ae8d686d038aa725b45393b89b797eba74d24f7ea8caa9415,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341,815e971442582b79c2ff04caf1878aa40013d88566bd8174b4524d4681d00164,2098b462652906c4709b438444628542e16ef56a29023efa9ec7dbc6f1209916,26,6,62,250,2,9586
OpenBMI_ERP,4,46,083b79bdaf32125dd9d90d1e63f96e78e2681baf9ea2753a15cfc92dbd660563,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97,42bf832fa17752019a02c14733a1bfa84a436b2fed86481f23d8e315be737346,a6c02bf3b723f85e8155720896ff9b950e93dab0adb486973cbbe28055e3a995,26,6,62,250,2,9586
