phase,task,subject,session,variant,BA
EXPLORATORY_POST_HELDOUT,OpenBMI_SSVEP,4,S1,RANDOM_PC_REFINE,1.0
EXPLORATORY_POST_HELDOUT,OpenBMI_SSVEP,12,S1,RANDOM_PC_REFINE,0.99
EXPLORATORY_POST_HELDOUT,OpenBMI_SSVEP,13,S1,RANDOM_PC_REFINE,0.99
EXPLORATORY_POST_HELDOUT,OpenBMI_SSVEP,17,S1,RANDOM_PC_REFINE,0.94
EXPLORATORY_POST_HELDOUT,OpenBMI_SSVEP,18,S1,RANDOM_PC_REFINE,0.99
EXPLORATORY_POST_HELDOUT,OpenBMI_SSVEP,24,S1,RANDOM_PC_REFINE,0.99
EXPLORATORY_POST_HELDOUT,OpenBMI_SSVEP,25,S1,RANDOM_PC_REFINE,1.0
EXPLORATORY_POST_HELDOUT,OpenBMI_SSVEP,29,S1,RANDOM_PC_REFINE,0.98
EXPLORATORY_POST_HELDOUT,OpenBMI_SSVEP,36,S1,RANDOM_PC_REFINE,1.0
EXPLORATORY_POST_HELDOUT,OpenBMI_SSVEP,37,S1,RANDOM_PC_REFINE,0.97
EXPLORATORY_POST_HELDOUT,OpenBMI_SSVEP,39,S1,RANDOM_PC_REFINE,1.0
EXPLORATORY_POST_HELDOUT,OpenBMI_SSVEP,42,S1,RANDOM_PC_REFINE,0.99
EXPLORATORY_POST_HELDOUT,OpenBMI_SSVEP,51,S1,RANDOM_PC_REFINE,0.67
EXPLORATORY_POST_HELDOUT,OpenBMI_SSVEP,54,S1,RANDOM_PC_REFINE,0.77
EXPLORATORY_POST_HELDOUT,OpenBMI_SSVEP,4,S2,RANDOM_PC_REFINE,1.0
EXPLORATORY_POST_HELDOUT,OpenBMI_SSVEP,12,S2,RANDOM_PC_REFINE,0.97
EXPLORATORY_POST_HELDOUT,OpenBMI_SSVEP,13,S2,RANDOM_PC_REFINE,0.92
EXPLORATORY_POST_HELDOUT,OpenBMI_SSVEP,17,S2,RANDOM_PC_REFINE,0.98
EXPLORATORY_POST_HELDOUT,OpenBMI_SSVEP,18,S2,RANDOM_PC_REFINE,1.0
EXPLORATORY_POST_HELDOUT,OpenBMI_SSVEP,24,S2,RANDOM_PC_REFINE,0.96
EXPLORATORY_POST_HELDOUT,OpenBMI_SSVEP,25,S2,RANDOM_PC_REFINE,0.95
EXPLORATORY_POST_HELDOUT,OpenBMI_SSVEP,29,S2,RANDOM_PC_REFINE,0.9299999999999999
EXPLORATORY_POST_HELDOUT,OpenBMI_SSVEP,36,S2,RANDOM_PC_REFINE,1.0
EXPLORATORY_POST_HELDOUT,OpenBMI_SSVEP,37,S2,RANDOM_PC_REFINE,1.0
EXPLORATORY_POST_HELDOUT,OpenBMI_SSVEP,39,S2,RANDOM_PC_REFINE,1.0
EXPLORATORY_POST_HELDOUT,OpenBMI_SSVEP,42,S2,RANDOM_PC_REFINE,0.5700000000000001
EXPLORATORY_POST_HELDOUT,OpenBMI_SSVEP,51,S2,RANDOM_PC_REFINE,0.82
EXPLORATORY_POST_HELDOUT,OpenBMI_SSVEP,54,S2,RANDOM_PC_REFINE,0.78
