method,fold,seed,subject_id,protected_representation_drift,adaptive_representation_drift,protected_decision_logit_drift,adaptive_decision_logit_drift,protected_D_finite_after,combined_BA,protected_branch_erasure_harm_BA,adaptive_branch_erasure_harm_BA,protected_parameter_update_l2,adaptive_parameter_update_l2,protected_buffer_update_l2,adaptation_seed,target_future_labels_used_for_fit,internal_holdout_used,outer_test_used,functional_distillation_RMSE_before,functional_distillation_correlation_before,functional_distillation_RMSE_after,functional_distillation_correlation_after
A2_DUAL_CONTROL,3,1,1,0.0,0.37083756923675537,0.0,0.42132539961842835,1.1678503562199352,0.6499999999999999,0.019999999999999907,0.009999999999999898,0.0,0.18557300187367576,0.0,1573070087,False,False,False,,,,
A6_PUD_ALL_ADAPT,3,1,1,0.0862673670053482,0.3006477355957031,0.2206177432161466,0.1833515274723752,1.4534063227127745,0.7,0.16999999999999993,-0.030000000000000027,0.16747315676598984,0.17789604031719225,69.6656526685801,1573070087,False,False,False,0.7502424440042479,0.8048631648736949,0.7776804905692233,0.7853078327854299
A7_IDENTITY_PROTECTED,3,1,1,0.0,0.2949821949005127,0.0,0.40026060848929945,0.45177415469282506,0.6699999999999999,0.010000000000000009,0.029999999999999916,0.0,0.1775616669487237,0.0,1573070087,False,False,False,,,,
A8_RANDOM_PROTECTED,3,1,1,0.0,0.24744287133216858,0.0,0.25892528418037125,0.6371165471539342,0.69,0.050000000000000044,0.1499999999999999,0.0,0.1751214605179786,0.0,1573070087,False,False,False,,,,
A10_FULL_PUD_FREEZE,3,1,1,0.0,0.30304619669914246,0.0,0.26880014388236917,1.5604659829099288,0.7,0.17999999999999994,-0.030000000000000027,0.0,0.1938250883100147,0.0,1573070087,False,False,False,0.7502424440042479,0.8048631648736949,0.7502424440042479,0.8048631648736949
A2_DUAL_CONTROL,3,1,5,0.0,0.2554895877838135,0.0,0.2778813176832559,1.1181056148995863,0.73,0.07000000000000006,0.07000000000000006,0.0,0.2021765649273006,0.0,2376094207,False,False,False,,,,
A6_PUD_ALL_ADAPT,3,1,5,0.11265695095062256,0.22699348628520966,0.3487368684918069,0.19156046198407659,1.7651229846071805,0.76,0.040000000000000036,-0.010000000000000009,0.21742417732364883,0.19771227437721092,69.30366721982703,2376094207,False,False,False,0.8493449709616955,0.7443718873735616,0.8331678709622928,0.7713784523986126
A7_IDENTITY_PROTECTED,3,1,5,0.0,0.1900484561920166,0.0,0.35203030274922453,0.5958483743196155,0.78,0.020000000000000018,0.31000000000000005,0.0,0.21584975809671347,0.0,2376094207,False,False,False,,,,
A8_RANDOM_PROTECTED,3,1,5,0.0,0.22119130194187164,0.0,0.3405546179201449,0.8672273995368615,0.73,0.040000000000000036,0.10999999999999999,0.0,0.21210888024108002,0.0,2376094207,False,False,False,,,,
A10_FULL_PUD_FREEZE,3,1,5,0.0,0.22635352611541748,0.0,0.2276622760142922,1.6356366902133344,0.75,0.040000000000000036,0.030000000000000027,0.0,0.21002561968229833,0.0,2376094207,False,False,False,0.8493449709616955,0.7443718873735616,0.8493449709616955,0.7443718873735616
A2_DUAL_CONTROL,3,1,6,0.0,0.13753528892993927,0.0,0.19573113549134677,1.463451446581484,0.97,0.020000000000000018,0.040000000000000036,0.0,0.16623106592491313,0.0,1091072707,False,False,False,,,,
A6_PUD_ALL_ADAPT,3,1,6,0.10373572260141373,0.16219313442707062,0.38959396868943286,0.2466816055679398,2.4235788044432716,0.96,0.15999999999999992,0.010000000000000009,0.20136865880681767,0.1753004003571643,69.31166508825487,1091072707,False,False,False,0.547120600988634,0.9432528370136508,0.5462595243460273,0.9478912205502076
A7_IDENTITY_PROTECTED,3,1,6,0.0,0.16744078695774078,0.0,0.39251772818113095,0.5359020109358643,0.94,0.040000000000000036,0.36,0.0,0.19258776669334046,0.0,1091072707,False,False,False,,,,
A8_RANDOM_PROTECTED,3,1,6,0.0,0.15999624133110046,0.0,0.34209355917232287,0.8051975668304843,0.92,1.1102230246251565e-16,0.17000000000000004,0.0,0.18843385495990306,0.0,1091072707,False,False,False,,,,
A10_FULL_PUD_FREEZE,3,1,6,0.0,0.17060759663581848,0.0,0.26457132055461746,2.1251730229487436,0.97,0.17999999999999994,0.020000000000000018,0.0,0.18418533621821248,0.0,1091072707,False,False,False,0.547120600988634,0.9432528370136508,0.547120600988634,0.9432528370136508
A2_DUAL_CONTROL,3,1,7,0.0,0.38162410259246826,0.0,0.2548279536361419,1.2931996335524611,0.83,0.20999999999999996,0.039999999999999925,0.0,0.16463375514303724,0.0,3533371277,False,False,False,,,,
A6_PUD_ALL_ADAPT,3,1,7,0.08022420108318329,0.23557692766189575,0.23544897143853413,0.265410848377087,1.6724948455923394,0.85,0.24,0.010000000000000009,0.1631671794238073,0.1614175024139693,69.28838418712296,3533371277,False,False,False,0.8086913756660155,0.7576917251105265,0.8151730154809912,0.7601831828004372
A7_IDENTITY_PROTECTED,3,1,7,0.0,0.34944403171539307,0.0,0.46365476535683525,0.388513979756822,0.8300000000000001,0.07000000000000006,0.32000000000000006,0.0,0.16753523685395186,0.0,3533371277,False,False,False,,,,
