method,fold,seed,subject_id,BA,macro_f1,n_trials,source_model_noadapt_BA,adaptation_delta_BA,negative_transfer,adaptation_time_s,target_trainable_parameters,target_future_labels_used_for_fit,internal_holdout_used,outer_test_used
B0_VANILLA_EEGNET,3,2,1,0.63,0.6290726817042607,100,,,False,0.0,0,False,False,False
B1_STRONG_EEGNET,3,2,1,0.81,0.8090644156366193,100,,,False,0.0,0,False,False,False
B2_STRONG_GENERIC,3,2,1,0.81,0.8095238095238095,100,0.81,0.0,False,0.3594609000138007,63810,False,False,False
A2_DUAL_CONTROL,3,2,1,0.72,0.7181964573268921,100,0.6799999999999999,0.040000000000000036,False,0.27719639998394996,24050,False,False,False
A6_PUD_ALL_ADAPT,3,2,1,0.73,0.72997299729973,100,0.73,0.0,False,0.29817790002562106,48100,False,False,False
A7_IDENTITY_PROTECTED,3,2,1,0.74,0.7395833333333333,100,0.73,0.010000000000000009,False,0.2720026000170037,24050,False,False,False
A8_RANDOM_PROTECTED,3,2,1,0.7,0.7,100,0.71,-0.010000000000000009,True,0.2744488000171259,24050,False,False,False
A10_FULL_PUD_FREEZE,3,2,1,0.74,0.74,100,0.73,0.010000000000000009,False,0.2780458999914117,24050,False,False,False
B0_VANILLA_EEGNET,3,2,5,0.77,0.7694235588972431,100,,,False,0.0,0,False,False,False
B1_STRONG_EEGNET,3,2,5,0.78,0.7742200328407225,100,,,False,0.0,0,False,False,False
B2_STRONG_GENERIC,3,2,5,0.78,0.7777777777777778,100,0.78,0.0,False,0.23905309999827296,63810,False,False,False
A2_DUAL_CONTROL,3,2,5,0.76,0.7584541062801933,100,0.76,0.0,False,0.2720506999758072,24050,False,False,False
A6_PUD_ALL_ADAPT,3,2,5,0.76,0.7584541062801933,100,0.7,0.06000000000000005,False,0.3035256000002846,48100,False,False,False
A7_IDENTITY_PROTECTED,3,2,5,0.74,0.7383252818035426,100,0.76,-0.020000000000000018,True,0.27110670000547543,24050,False,False,False
A8_RANDOM_PROTECTED,3,2,5,0.75,0.7469379491851402,100,0.73,0.020000000000000018,False,0.2698820999939926,24050,False,False,False
A10_FULL_PUD_FREEZE,3,2,5,0.76,0.7584541062801933,100,0.7,0.06000000000000005,False,0.26759450003737584,24050,False,False,False
B0_VANILLA_EEGNET,3,2,6,0.96,0.959983993597439,100,,,False,0.0,0,False,False,False
B1_STRONG_EEGNET,3,2,6,0.97,0.96999699969997,100,,,False,0.0,0,False,False,False
B2_STRONG_GENERIC,3,2,6,0.98,0.98,100,0.97,0.010000000000000009,False,0.23592959996312857,63810,False,False,False
A2_DUAL_CONTROL,3,2,6,0.94,0.9399759903961584,100,0.96,-0.020000000000000018,True,0.271746999991592,24050,False,False,False
A6_PUD_ALL_ADAPT,3,2,6,0.9099999999999999,0.9095568284594513,100,0.94,-0.030000000000000027,True,0.2947855000384152,48100,False,False,False
A7_IDENTITY_PROTECTED,3,2,6,0.95,0.9499949994999499,100,0.95,0.0,False,0.2693833000375889,24050,False,False,False
A8_RANDOM_PROTECTED,3,2,6,0.9299999999999999,0.9299929992999301,100,0.94,-0.010000000000000009,True,0.2713221000158228,24050,False,False,False
A10_FULL_PUD_FREEZE,3,2,6,0.94,0.9399038461538461,100,0.94,0.0,False,0.2643709999974817,24050,False,False,False
B0_VANILLA_EEGNET,3,2,7,0.77,0.7688674505074866,100,,,False,0.0,0,False,False,False
B1_STRONG_EEGNET,3,2,7,0.81,0.8076728413807066,100,,,False,0.0,0,False,False,False
B2_STRONG_GENERIC,3,2,7,0.86,0.86,100,0.81,0.04999999999999993,False,0.2389231999986805,63810,False,False,False
A2_DUAL_CONTROL,3,2,7,0.73,0.7253585596582239,100,0.71,0.020000000000000018,False,0.27033540001139045,24050,False,False,False
A6_PUD_ALL_ADAPT,3,2,7,0.78,0.7785829307568438,100,0.76,0.020000000000000018,False,0.28922849998343736,48100,False,False,False
A7_IDENTITY_PROTECTED,3,2,7,0.74,0.7383252818035426,100,0.72,0.020000000000000018,False,0.26582689996575937,24050,False,False,False
A8_RANDOM_PROTECTED,3,2,7,0.76,0.7596153846153846,100,0.77,-0.010000000000000009,True,0.2652888000011444,24050,False,False,False
A10_FULL_PUD_FREEZE,3,2,7,0.74,0.7373737373737375,100,0.76,-0.020000000000000018,True,0.2680805000127293,24050,False,False,False
B0_VANILLA_EEGNET,3,2,20,0.87,0.8699869986998701,100,,,False,0.0,0,False,False,False
B1_STRONG_EEGNET,3,2,20,0.91,0.90999099909991,100,,,False,0.0,0,False,False,False
B2_STRONG_GENERIC,3,2,20,0.9199999999999999,0.9199679871948779,100,0.91,0.009999999999999898,False,0.2345598000101745,63810,False,False,False
A2_DUAL_CONTROL,3,2,20,0.91,0.90999099909991,100,0.91,0.0,False,0.2678010000381619,24050,False,False,False
A6_PUD_ALL_ADAPT,3,2,20,0.8799999999999999,0.8795664391810518,100,0.8500000000000001,0.029999999999999805,False,0.2893628000165336,48100,False,False,False
A7_IDENTITY_PROTECTED,3,2,20,0.8500000000000001,0.849624060150376,100,0.86,-0.009999999999999898,True,0.26861680002184585,24050,False,False,False
A8_RANDOM_PROTECTED,3,2,20,0.88,0.8798076923076923,100,0.88,0.0,False,0.26710320002166554,24050,False,False,False
