stage,fold,seed,method,checkpoint,checkpoint_sha256_before,checkpoint_sha256_after,checkpoint_unchanged,state_sha256_before,state_sha256_after,parameters_and_buffers_unchanged,model_eval_mode
source_only,0,0,B1_STRONG_EEGNET_TEACHER_TARGET_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-0/checkpoints/B1_STRONG_EEGNET.pt,cf7fc9a2d230a408f379b6f1227eafa43127ed49ea55857c3686ec6ecef5f100,cf7fc9a2d230a408f379b6f1227eafa43127ed49ea55857c3686ec6ecef5f100,True,32f32122f0cdfdc47c13579858012cc9b8b02ab8ba92e9a14948e4744b417357,32f32122f0cdfdc47c13579858012cc9b8b02ab8ba92e9a14948e4744b417357,True,True
source_only,0,0,A2_SOURCE_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-0/checkpoints/A2_DUAL_CONTROL.pt,dadb43e0b536ab58c6c5837d1b739ebd61a3822793ad69c7a7286a979cb979c1,dadb43e0b536ab58c6c5837d1b739ebd61a3822793ad69c7a7286a979cb979c1,True,aff92a76742f336b9cc4582b4b412a727d86434e0e74617637b1cdee74cc88d1,aff92a76742f336b9cc4582b4b412a727d86434e0e74617637b1cdee74cc88d1,True,True
source_only,0,0,PUD_SOURCE_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-0/checkpoints/PUD_SOURCE.pt,79528d10dedf7dad8014211eecaadb26f7a9b6f581334802bfe35f1d1115b0fa,79528d10dedf7dad8014211eecaadb26f7a9b6f581334802bfe35f1d1115b0fa,True,c495971e6edcdc45844d01ee8376e07a152ab1a5c634fcbf140e5c56320756e7,c495971e6edcdc45844d01ee8376e07a152ab1a5c634fcbf140e5c56320756e7,True,True
source_only,0,0,IDENTITY_SOURCE_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-0/checkpoints/A7_IDENTITY_PROTECTED.pt,ad2cc69d376560a86f650a9b781ad8203383b33c0e720534154300c019d7ecc2,ad2cc69d376560a86f650a9b781ad8203383b33c0e720534154300c019d7ecc2,True,9854189a30e75d520a6b932bd080c765b6bfe21278fc9049226d1dc40e948818,9854189a30e75d520a6b932bd080c765b6bfe21278fc9049226d1dc40e948818,True,True
source_only,0,0,RANDOM_SOURCE_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-0/checkpoints/A8_RANDOM_PROTECTED.pt,d5fba0b99cab0b6e79e9d3d68d47c93edfe30efade6abb09f926607e166cabf1,d5fba0b99cab0b6e79e9d3d68d47c93edfe30efade6abb09f926607e166cabf1,True,99912efcdc347272051af58b6dc990db84e462296567aa51350a1397e630c5b1,99912efcdc347272051af58b6dc990db84e462296567aa51350a1397e630c5b1,True,True
source_only,0,1,B1_STRONG_EEGNET_TEACHER_TARGET_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-1/checkpoints/B1_STRONG_EEGNET.pt,b4c4b23e7ada4a276877eb9e61007f4ae294a962726029feb48871bbdb2066a7,b4c4b23e7ada4a276877eb9e61007f4ae294a962726029feb48871bbdb2066a7,True,34ab7eb9682c3d5dc827388ba5eb5b1f4ce5ca138305ec6ac6978140e022e350,34ab7eb9682c3d5dc827388ba5eb5b1f4ce5ca138305ec6ac6978140e022e350,True,True
source_only,0,1,A2_SOURCE_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-1/checkpoints/A2_DUAL_CONTROL.pt,106ded61330d1f7b5107244c0d3dd05b929ec41dbe424da3404d027926e1d485,106ded61330d1f7b5107244c0d3dd05b929ec41dbe424da3404d027926e1d485,True,9b447045fcfa8f67c95210b150133cf99221d6ccc4389a50871d8aa0befe7e40,9b447045fcfa8f67c95210b150133cf99221d6ccc4389a50871d8aa0befe7e40,True,True
source_only,0,1,PUD_SOURCE_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-1/checkpoints/PUD_SOURCE.pt,6800ec1b17bb3321bbda7e91176cc2b6f9e52d338422251885a174c8fe523266,6800ec1b17bb3321bbda7e91176cc2b6f9e52d338422251885a174c8fe523266,True,4c30742243f882d5abb1dd5d153bb35bc1f9e948ca59bf9811a776f114e32247,4c30742243f882d5abb1dd5d153bb35bc1f9e948ca59bf9811a776f114e32247,True,True
source_only,0,1,IDENTITY_SOURCE_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-1/checkpoints/A7_IDENTITY_PROTECTED.pt,852787eea76ce38ef8b29c9f9985631474006490d3e55e5fcee3ceae3059e4a6,852787eea76ce38ef8b29c9f9985631474006490d3e55e5fcee3ceae3059e4a6,True,9e3dd8eeaca18662b29073dc429feb3b6bdf3844cf75a9133ef3308cffd18ea7,9e3dd8eeaca18662b29073dc429feb3b6bdf3844cf75a9133ef3308cffd18ea7,True,True
source_only,0,1,RANDOM_SOURCE_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-1/checkpoints/A8_RANDOM_PROTECTED.pt,2e49f4450d6e55985aef2714b2df3776057c67aa08c4f6fa4e0fd5fab0455a01,2e49f4450d6e55985aef2714b2df3776057c67aa08c4f6fa4e0fd5fab0455a01,True,d26e01c408429448af21ace7d9faacb4352c0078358f6d48264ee30bec7e8a77,d26e01c408429448af21ace7d9faacb4352c0078358f6d48264ee30bec7e8a77,True,True
source_only,0,2,B1_STRONG_EEGNET_TEACHER_TARGET_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-2/checkpoints/B1_STRONG_EEGNET.pt,eb959d1068bce2aa79043a6f40eae4df4a7661bd7f6afd24f7a5a27d67f8415a,eb959d1068bce2aa79043a6f40eae4df4a7661bd7f6afd24f7a5a27d67f8415a,True,bf842f31147545bdc8ff0add6ce84f02516012c223fc4f8de5a44e949484b70b,bf842f31147545bdc8ff0add6ce84f02516012c223fc4f8de5a44e949484b70b,True,True
source_only,0,2,A2_SOURCE_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-2/checkpoints/A2_DUAL_CONTROL.pt,0063d92b614370cae15a16410be79a8651bcd7e81a816f02720ae19daeed5939,0063d92b614370cae15a16410be79a8651bcd7e81a816f02720ae19daeed5939,True,04a2bbab2ea9ffc9ba80b65b327291393bee648f254e84c494052fe4a4c2c9ea,04a2bbab2ea9ffc9ba80b65b327291393bee648f254e84c494052fe4a4c2c9ea,True,True
source_only,0,2,PUD_SOURCE_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-2/checkpoints/PUD_SOURCE.pt,ab3df9842df67b4d0ef1f08517beb473b802b7c6dcad31109c5d025d74808995,ab3df9842df67b4d0ef1f08517beb473b802b7c6dcad31109c5d025d74808995,True,fe927a2e54850fa042d34c40b56e15589242d6196264e232879039baf4c16f8b,fe927a2e54850fa042d34c40b56e15589242d6196264e232879039baf4c16f8b,True,True
source_only,0,2,IDENTITY_SOURCE_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-2/checkpoints/A7_IDENTITY_PROTECTED.pt,e74e11df6287b4dda97f441752d1c04885b55ce55eb72f8fc48a68ce10dee187,e74e11df6287b4dda97f441752d1c04885b55ce55eb72f8fc48a68ce10dee187,True,ea3d87c69660b662de47966050af653cbfbd82320c0c2f370646f5375efa654b,ea3d87c69660b662de47966050af653cbfbd82320c0c2f370646f5375efa654b,True,True
source_only,0,2,RANDOM_SOURCE_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-0/seed-2/checkpoints/A8_RANDOM_PROTECTED.pt,46fb9e7950e2e87f6e67e86eaef5b72010c16fd171c9342811240ae642e57b98,46fb9e7950e2e87f6e67e86eaef5b72010c16fd171c9342811240ae642e57b98,True,3d3b1f944bdb5c88cdabc7bc0237e213bae41f3aca38480c7d67bb4eb8efe598,3d3b1f944bdb5c88cdabc7bc0237e213bae41f3aca38480c7d67bb4eb8efe598,True,True
source_only,1,0,B1_STRONG_EEGNET_TEACHER_TARGET_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-1/seed-0/checkpoints/B1_STRONG_EEGNET.pt,3f914c8f135e1a276b8c7ad1ac7795fbe3b22bec483a19f6e883313b54d98300,3f914c8f135e1a276b8c7ad1ac7795fbe3b22bec483a19f6e883313b54d98300,True,40e712a1c0f34b3c2787e7a19251a66f5a3006efc36488afe8eb73c375df4d7b,40e712a1c0f34b3c2787e7a19251a66f5a3006efc36488afe8eb73c375df4d7b,True,True
source_only,1,0,A2_SOURCE_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-1/seed-0/checkpoints/A2_DUAL_CONTROL.pt,ee05f15b2f615fe99d587c35aa94236da744ba98611db5a769597cca644fa560,ee05f15b2f615fe99d587c35aa94236da744ba98611db5a769597cca644fa560,True,503bd8c5c7c7ecce19e1fb6d01e3ee2d98ac39bf206be8090e180603ee4660c8,503bd8c5c7c7ecce19e1fb6d01e3ee2d98ac39bf206be8090e180603ee4660c8,True,True
source_only,1,0,PUD_SOURCE_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-1/seed-0/checkpoints/PUD_SOURCE.pt,cef0758e4805606cc61c6a319fd91324d4bea45816b6dba130f5aa37723b44f5,cef0758e4805606cc61c6a319fd91324d4bea45816b6dba130f5aa37723b44f5,True,c09a9fc532c35937c88a149b6b0d087f4aadb7bb96c8d94e332ad649ebdfc62f,c09a9fc532c35937c88a149b6b0d087f4aadb7bb96c8d94e332ad649ebdfc62f,True,True
source_only,1,0,IDENTITY_SOURCE_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-1/seed-0/checkpoints/A7_IDENTITY_PROTECTED.pt,c11bc40f6d2fa1bb525d2c02f181098171183ec317b91c6b691504ca4600b4bf,c11bc40f6d2fa1bb525d2c02f181098171183ec317b91c6b691504ca4600b4bf,True,63bbd1b68719577c156a7960ea5c887d34fda7486cf8abd77a88f3399fdde701,63bbd1b68719577c156a7960ea5c887d34fda7486cf8abd77a88f3399fdde701,True,True
source_only,1,0,RANDOM_SOURCE_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-1/seed-0/checkpoints/A8_RANDOM_PROTECTED.pt,55f4a35cdba09a77397acac58c4490d64b67d1a3134b0c3aa97704c8bf09f1a2,55f4a35cdba09a77397acac58c4490d64b67d1a3134b0c3aa97704c8bf09f1a2,True,24d196e20299734b0a4f7e86548f49f9ba5bdeef4ded70c81d17cc6b45f5d099,24d196e20299734b0a4f7e86548f49f9ba5bdeef4ded70c81d17cc6b45f5d099,True,True
source_only,1,1,B1_STRONG_EEGNET_TEACHER_TARGET_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-1/seed-1/checkpoints/B1_STRONG_EEGNET.pt,932fd57362e005175b563d170e1977954fbc90f0e1acb2a3956a3c2ac026aa41,932fd57362e005175b563d170e1977954fbc90f0e1acb2a3956a3c2ac026aa41,True,00c8ae0e3c294db762105de1a75e0c7e5526c07465d0605502b22837bbd7dd9e,00c8ae0e3c294db762105de1a75e0c7e5526c07465d0605502b22837bbd7dd9e,True,True
source_only,1,1,A2_SOURCE_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-1/seed-1/checkpoints/A2_DUAL_CONTROL.pt,6274add1c9a21495f68747441ae411293b0130b143b0bc7007ec673a74d294fa,6274add1c9a21495f68747441ae411293b0130b143b0bc7007ec673a74d294fa,True,984a2641b636b8c5f0ea5a9f7e5b00ec0fbc6bcbebef22766a5e1cbbb12af5e5,984a2641b636b8c5f0ea5a9f7e5b00ec0fbc6bcbebef22766a5e1cbbb12af5e5,True,True
source_only,1,1,PUD_SOURCE_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-1/seed-1/checkpoints/PUD_SOURCE.pt,38f4a52ad884f783d7a7ff1ed086fa17a89c1e81de5fb97b192579220d9784d2,38f4a52ad884f783d7a7ff1ed086fa17a89c1e81de5fb97b192579220d9784d2,True,88f2f84dec96af4e4946a2efd5dad6239b0b2ef955e9340f03cd221fbf9f889c,88f2f84dec96af4e4946a2efd5dad6239b0b2ef955e9340f03cd221fbf9f889c,True,True
source_only,1,1,IDENTITY_SOURCE_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-1/seed-1/checkpoints/A7_IDENTITY_PROTECTED.pt,f10d6fc878ebdc582646942e14976d0573a3aebbd9251e5c61400cd50ec30de3,f10d6fc878ebdc582646942e14976d0573a3aebbd9251e5c61400cd50ec30de3,True,690fa538fe0f452feb7aaba6c8dfa924729b738225b390d360d7f2a631f80459,690fa538fe0f452feb7aaba6c8dfa924729b738225b390d360d7f2a631f80459,True,True
source_only,1,1,RANDOM_SOURCE_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-1/seed-1/checkpoints/A8_RANDOM_PROTECTED.pt,27f3bc7693a2fcd8e6b210a79727662d05bd6346b38800d68a1cf6335cb7f484,27f3bc7693a2fcd8e6b210a79727662d05bd6346b38800d68a1cf6335cb7f484,True,cdf4b1797538a1dc559548b84bc0762769c887946763559eb18e2d51f1f12329,cdf4b1797538a1dc559548b84bc0762769c887946763559eb18e2d51f1f12329,True,True
source_only,1,2,B1_STRONG_EEGNET_TEACHER_TARGET_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-1/seed-2/checkpoints/B1_STRONG_EEGNET.pt,86fd667c6f12d3c27a57b9260593659a4b2c5cb38e4413f5be501fc02a6f41f1,86fd667c6f12d3c27a57b9260593659a4b2c5cb38e4413f5be501fc02a6f41f1,True,d232a697593d9a28f547df09399c2e08b6bc29550ea6d25f10dfc202b48150cd,d232a697593d9a28f547df09399c2e08b6bc29550ea6d25f10dfc202b48150cd,True,True
source_only,1,2,A2_SOURCE_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-1/seed-2/checkpoints/A2_DUAL_CONTROL.pt,e4f9645899f9c564bfc239667105415ca91ea006f34105c1d797f03fc82e40d6,e4f9645899f9c564bfc239667105415ca91ea006f34105c1d797f03fc82e40d6,True,cc5331099e44c5e8a0a3df31081f043eea9d6c4bd76195d75c249bd670fa9a23,cc5331099e44c5e8a0a3df31081f043eea9d6c4bd76195d75c249bd670fa9a23,True,True
