dataset,fold,protected_blocks,protected_rank,persistence_supported_blocks,shared_geometry_effect,shared_geometry_n,finite,a_subjects,b_subjects,descriptor_rows,query_rows_not_evaluated
OpenBMI,0,"[1, 2, 3]",9,"[0, 1, 2, 3]",0.8275734904883202,34,True,34,9,1152,324
OpenBMI,1,"[1, 2]",5,"[0, 1, 2, 3, 4]",0.9078260358316866,34,True,34,9,1152,324
OpenBMI,2,"[0, 2]",3,"[0, 1, 2, 3, 4]",0.9043413070935393,34,True,34,9,1152,324
OpenBMI,3,[3],4,"[0, 1, 2, 3, 4, 5]",0.9107523201881443,34,True,34,9,1152,324
OpenBMI,4,[1],4,"[0, 1, 2, 3]",0.9138994422000091,35,True,35,9,1152,324
WBCIC,0,[2],1,"[0, 1, 2, 3, 4, 5]",1.0,24,True,24,8,1024,1600
WBCIC,1,[1],2,"[0, 1, 2, 3, 4]",0.914896288625474,25,True,25,8,1024,1600
WBCIC,2,"[0, 1]",2,"[0, 1, 2, 3, 4]",0.9075328589208788,25,True,25,8,1024,1595
WBCIC,3,"[1, 2]",2,"[0, 1, 2, 3, 4, 5]",0.7986172224039164,25,True,25,8,1024,1600
WBCIC,4,[1],1,"[0, 1, 2, 3, 4, 5]",0.9166666666666666,24,True,24,9,1152,1800
