model,task,fold,seed,status,block_id,block_rank,score_U,persistence_margin,persistence_pass,subject_id,future_BA,worst_BA
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,2,4,0.0676903528233215,0.0545954673085362,True,4,0.609375,0.546875
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,2,4,0.0676903528233215,0.0545954673085362,True,12,0.609375,0.609375
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,2,4,0.0676903528233215,0.0545954673085362,True,13,0.640625,0.59375
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,2,4,0.0676903528233215,0.0545954673085362,True,17,0.609375,0.609375
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,2,4,0.0676903528233215,0.0545954673085362,True,18,0.578125,0.5625
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,2,4,0.0676903528233215,0.0545954673085362,True,24,0.5,0.5
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,2,4,0.0676903528233215,0.0545954673085362,True,25,0.953125,0.71875
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,2,4,0.0676903528233215,0.0545954673085362,True,29,0.515625,0.515625
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,2,4,0.0676903528233215,0.0545954673085362,True,36,0.765625,0.71875
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,2,4,0.0676903528233215,0.0545954673085362,True,37,0.625,0.609375
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,2,4,0.0676903528233215,0.0545954673085362,True,39,0.546875,0.546875
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,2,4,0.0676903528233215,0.0545954673085362,True,42,0.625,0.546875
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,2,4,0.0676903528233215,0.0545954673085362,True,51,0.609375,0.59375
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,2,4,0.0676903528233215,0.0545954673085362,True,54,0.625,0.53125
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,3,4,0.10538196524682579,0.05965360896661878,True,4,0.71875,0.5625
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,3,4,0.10538196524682579,0.05965360896661878,True,12,0.6875,0.6875
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,3,4,0.10538196524682579,0.05965360896661878,True,13,0.671875,0.609375
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,3,4,0.10538196524682579,0.05965360896661878,True,17,0.578125,0.578125
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,3,4,0.10538196524682579,0.05965360896661878,True,18,0.5625,0.5625
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,3,4,0.10538196524682579,0.05965360896661878,True,24,0.71875,0.65625
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,3,4,0.10538196524682579,0.05965360896661878,True,25,0.953125,0.75
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,3,4,0.10538196524682579,0.05965360896661878,True,29,0.796875,0.59375
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,3,4,0.10538196524682579,0.05965360896661878,True,36,0.84375,0.75
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,3,4,0.10538196524682579,0.05965360896661878,True,37,0.65625,0.578125
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,3,4,0.10538196524682579,0.05965360896661878,True,39,0.625,0.625
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,3,4,0.10538196524682579,0.05965360896661878,True,42,0.671875,0.671875
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,3,4,0.10538196524682579,0.05965360896661878,True,51,0.578125,0.578125
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,3,4,0.10538196524682579,0.05965360896661878,True,54,0.609375,0.609375
EEGNet,OpenBMI_MI,0,2,ESTIMABLE,2,4,0.10887127932398843,0.05898253414779901,True,4,0.671875,0.546875
