model,task,subject_id,delta_absolute_future,delta_absolute_worst
EEGNet,OpenBMI_MI,4,0.0,0.0
EEGNet,OpenBMI_MI,12,0.0,0.0
EEGNet,OpenBMI_MI,13,0.0,0.0
EEGNet,OpenBMI_MI,17,0.0,0.0
EEGNet,OpenBMI_MI,18,0.0,0.0
EEGNet,OpenBMI_MI,24,0.0,0.0
EEGNet,OpenBMI_MI,25,0.0,0.0
EEGNet,OpenBMI_MI,29,0.0,0.0
EEGNet,OpenBMI_MI,36,0.0,0.0
EEGNet,OpenBMI_MI,37,0.0,0.0
EEGNet,OpenBMI_MI,39,0.0,0.0
EEGNet,OpenBMI_MI,42,0.0,0.0
EEGNet,OpenBMI_MI,51,0.0,0.0
EEGNet,OpenBMI_MI,54,0.0,0.0
EEGNet,OpenBMI_ERP,4,0.0,0.0
EEGNet,OpenBMI_ERP,12,0.0,0.0
EEGNet,OpenBMI_ERP,13,0.0,0.0
EEGNet,OpenBMI_ERP,17,0.0,0.0
EEGNet,OpenBMI_ERP,18,0.0,0.0
EEGNet,OpenBMI_ERP,24,0.0,0.0
EEGNet,OpenBMI_ERP,25,0.0,0.0
EEGNet,OpenBMI_ERP,29,0.0,0.0
EEGNet,OpenBMI_ERP,36,0.0,0.0
EEGNet,OpenBMI_ERP,37,0.0,0.0
EEGNet,OpenBMI_ERP,39,0.0,0.0
EEGNet,OpenBMI_ERP,42,0.0,0.0
EEGNet,OpenBMI_ERP,51,0.0,0.0
EEGNet,OpenBMI_ERP,54,0.0,0.0
EEGNet,OpenBMI_SSVEP,4,0.002666666666666595,0.014000000000000123
EEGNet,OpenBMI_SSVEP,12,0.011333333333333306,0.011333333333333306
EEGNet,OpenBMI_SSVEP,13,0.019333333333333425,0.019333333333333425
EEGNet,OpenBMI_SSVEP,17,-0.00666666666666671,0.008000000000000118
EEGNet,OpenBMI_SSVEP,18,0.0040000000000000036,-0.002000000000000335
EEGNet,OpenBMI_SSVEP,24,0.01333333333333342,0.008000000000000118
EEGNet,OpenBMI_SSVEP,25,0.00666666666666671,0.00666666666666671
EEGNet,OpenBMI_SSVEP,29,0.006666666666666821,0.014000000000000012
EEGNet,OpenBMI_SSVEP,36,0.02399999999999991,0.026000000000000023
EEGNet,OpenBMI_SSVEP,37,0.009333333333333194,0.0033333333333332993
EEGNet,OpenBMI_SSVEP,39,0.0019999999999997797,0.013999999999999901
EEGNet,OpenBMI_SSVEP,42,0.0053333333333332456,0.0053333333333332456
EEGNet,OpenBMI_SSVEP,51,0.03600000000000003,0.015333333333333365
EEGNet,OpenBMI_SSVEP,54,0.009333333333333416,0.0006666666666665932
EEGNet,WBCIC_MI,sub-4,0.0,0.0
EEGNet,WBCIC_MI,sub-8,0.0,0.0
EEGNet,WBCIC_MI,sub-10,0.0,0.0
EEGNet,WBCIC_MI,sub-15,0.0,0.0
EEGNet,WBCIC_MI,sub-20,0.0,0.0
EEGNet,WBCIC_MI,sub-39,0.0,0.0
EEGNet,WBCIC_MI,sub-40,0.0,0.0
EEGNet,WBCIC_MI,sub-43,0.0,0.0
EEGNet,WBCIC_MI,sub-46,0.0,0.0
EEGNet,WBCIC_MI,sub-51,0.0,0.0
EEGConformer,OpenBMI_MI,4,0.0,0.0
EEGConformer,OpenBMI_MI,12,0.0,0.0
EEGConformer,OpenBMI_MI,13,0.0,0.0
EEGConformer,OpenBMI_MI,17,0.0,0.0
EEGConformer,OpenBMI_MI,18,0.0,0.0
EEGConformer,OpenBMI_MI,24,0.0,0.0
EEGConformer,OpenBMI_MI,25,0.0,0.0
