model,task,fold,seed,status,active_rank,rank_PU,rank_Uonly,rank_Ponly,rank_matched
EEGNet,OpenBMI_MI,0,0,ESTIMABLE,20,4,4,4,True
EEGNet,OpenBMI_MI,0,1,ESTIMABLE,20,4,4,4,True
EEGNet,OpenBMI_MI,0,2,ESTIMABLE,20,4,4,4,True
EEGNet,OpenBMI_MI,1,0,ESTIMABLE,20,3,3,3,True
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,20,6,6,6,True
EEGNet,OpenBMI_MI,1,2,ESTIMABLE,20,4,4,4,True
EEGNet,OpenBMI_MI,2,0,ESTIMABLE,20,4,4,4,True
EEGNet,OpenBMI_MI,2,1,ESTIMABLE,20,4,4,4,True
EEGNet,OpenBMI_MI,2,2,ESTIMABLE,20,4,4,4,True
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,20,8,8,8,True
EEGNet,OpenBMI_MI,3,1,ESTIMABLE,20,4,4,4,True
EEGNet,OpenBMI_MI,3,2,ESTIMABLE,20,5,5,5,True
EEGNet,OpenBMI_MI,4,0,ESTIMABLE,20,5,5,5,True
EEGNet,OpenBMI_MI,4,1,ESTIMABLE,20,4,4,4,True
EEGNet,OpenBMI_MI,4,2,ESTIMABLE,20,3,3,3,True
EEGNet,OpenBMI_ERP,0,0,ESTIMABLE,20,6,6,6,True
EEGNet,OpenBMI_ERP,0,1,ESTIMABLE,20,8,8,8,True
EEGNet,OpenBMI_ERP,0,2,ESTIMABLE,20,8,8,8,True
EEGNet,OpenBMI_ERP,1,0,ESTIMABLE,20,9,9,9,True
EEGNet,OpenBMI_ERP,1,1,ESTIMABLE,20,6,6,6,True
EEGNet,OpenBMI_ERP,1,2,ESTIMABLE,20,8,8,8,True
EEGNet,OpenBMI_ERP,2,0,ESTIMABLE,20,8,8,8,True
EEGNet,OpenBMI_ERP,2,1,ESTIMABLE,20,4,4,4,True
EEGNet,OpenBMI_ERP,2,2,ESTIMABLE,20,4,4,4,True
EEGNet,OpenBMI_ERP,3,0,ESTIMABLE,20,4,4,4,True
EEGNet,OpenBMI_ERP,3,1,ESTIMABLE,20,4,4,4,True
EEGNet,OpenBMI_ERP,3,2,ESTIMABLE,20,4,4,4,True
EEGNet,OpenBMI_ERP,4,0,ESTIMABLE,20,5,5,5,True
EEGNet,OpenBMI_ERP,4,1,ESTIMABLE,20,4,4,4,True
EEGNet,OpenBMI_ERP,4,2,ESTIMABLE,20,8,8,8,True
