dataset,role,fold,seed,subject,method,recipe,BA,macro_F1,future_session_used_for_fit,future_labels_used_for_fit,population_checkpoint_id,matched_subject,assigned_subject
OpenBMI,outcome,0,0,15,correct_adapter,pda_r1_lx0.5_lp0.01,0.78,0.7777777777777778,False,False,c5bbb32a7ac5071a33fc499a891553b3f5a62bff701b7785b14f54b54721a3c4,,
OpenBMI,outcome,0,0,15,wrong_adapter,pda_r1_lx0.5_lp0.01,0.73,0.712,False,False,c5bbb32a7ac5071a33fc499a891553b3f5a62bff701b7785b14f54b54721a3c4,46,
OpenBMI,outcome,0,0,15,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.65,0.6072270227808326,False,False,c5bbb32a7ac5071a33fc499a891553b3f5a62bff701b7785b14f54b54721a3c4,,19
OpenBMI,outcome,0,0,19,correct_adapter,pda_r1_lx0.5_lp0.01,0.7,0.6998799519807923,False,False,c5bbb32a7ac5071a33fc499a891553b3f5a62bff701b7785b14f54b54721a3c4,,
OpenBMI,outcome,0,0,19,wrong_adapter,pda_r1_lx0.5_lp0.01,0.73,0.72997299729973,False,False,c5bbb32a7ac5071a33fc499a891553b3f5a62bff701b7785b14f54b54721a3c4,49,
OpenBMI,outcome,0,0,19,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.69,0.6862030569895738,False,False,c5bbb32a7ac5071a33fc499a891553b3f5a62bff701b7785b14f54b54721a3c4,,32
OpenBMI,outcome,0,0,32,correct_adapter,pda_r1_lx0.5_lp0.01,0.77,0.7660461804495982,False,False,c5bbb32a7ac5071a33fc499a891553b3f5a62bff701b7785b14f54b54721a3c4,,
OpenBMI,outcome,0,0,32,wrong_adapter,pda_r1_lx0.5_lp0.01,0.81,0.8090644156366193,False,False,c5bbb32a7ac5071a33fc499a891553b3f5a62bff701b7785b14f54b54721a3c4,49,
OpenBMI,outcome,0,0,32,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.77,0.7613860358958398,False,False,c5bbb32a7ac5071a33fc499a891553b3f5a62bff701b7785b14f54b54721a3c4,,33
OpenBMI,outcome,0,0,33,correct_adapter,pda_r1_lx0.5_lp0.01,0.9199999999999999,0.9197109594540345,False,False,c5bbb32a7ac5071a33fc499a891553b3f5a62bff701b7785b14f54b54721a3c4,,
OpenBMI,outcome,0,0,33,wrong_adapter,pda_r1_lx0.5_lp0.01,0.94,0.9399038461538461,False,False,c5bbb32a7ac5071a33fc499a891553b3f5a62bff701b7785b14f54b54721a3c4,41,
OpenBMI,outcome,0,0,33,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.94,0.9399038461538461,False,False,c5bbb32a7ac5071a33fc499a891553b3f5a62bff701b7785b14f54b54721a3c4,,41
OpenBMI,outcome,0,0,41,correct_adapter,pda_r1_lx0.5_lp0.01,0.72,0.7189883580891208,False,False,c5bbb32a7ac5071a33fc499a891553b3f5a62bff701b7785b14f54b54721a3c4,,
OpenBMI,outcome,0,0,41,wrong_adapter,pda_r1_lx0.5_lp0.01,0.75,0.742559983523839,False,False,c5bbb32a7ac5071a33fc499a891553b3f5a62bff701b7785b14f54b54721a3c4,47,
OpenBMI,outcome,0,0,41,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.72,0.7181964573268921,False,False,c5bbb32a7ac5071a33fc499a891553b3f5a62bff701b7785b14f54b54721a3c4,,46
OpenBMI,outcome,0,0,46,correct_adapter,pda_r1_lx0.5_lp0.01,0.65,0.612789025334661,False,False,c5bbb32a7ac5071a33fc499a891553b3f5a62bff701b7785b14f54b54721a3c4,,
OpenBMI,outcome,0,0,46,wrong_adapter,pda_r1_lx0.5_lp0.01,0.75,0.742559983523839,False,False,c5bbb32a7ac5071a33fc499a891553b3f5a62bff701b7785b14f54b54721a3c4,47,
OpenBMI,outcome,0,0,46,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.75,0.742559983523839,False,False,c5bbb32a7ac5071a33fc499a891553b3f5a62bff701b7785b14f54b54721a3c4,,47
OpenBMI,outcome,0,0,47,correct_adapter,pda_r1_lx0.5_lp0.01,0.8999999999999999,0.8993558776167472,False,False,c5bbb32a7ac5071a33fc499a891553b3f5a62bff701b7785b14f54b54721a3c4,,
OpenBMI,outcome,0,0,47,wrong_adapter,pda_r1_lx0.5_lp0.01,0.9299999999999999,0.9296553110240177,False,False,c5bbb32a7ac5071a33fc499a891553b3f5a62bff701b7785b14f54b54721a3c4,41,
OpenBMI,outcome,0,0,47,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.81,0.8028841166096068,False,False,c5bbb32a7ac5071a33fc499a891553b3f5a62bff701b7785b14f54b54721a3c4,,49
OpenBMI,outcome,0,0,49,correct_adapter,pda_r1_lx0.5_lp0.01,0.79,0.7882851093860268,False,False,c5bbb32a7ac5071a33fc499a891553b3f5a62bff701b7785b14f54b54721a3c4,,
OpenBMI,outcome,0,0,49,wrong_adapter,pda_r1_lx0.5_lp0.01,0.75,0.7406369955389562,False,False,c5bbb32a7ac5071a33fc499a891553b3f5a62bff701b7785b14f54b54721a3c4,32,
OpenBMI,outcome,0,0,49,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.74,0.7241086587436333,False,False,c5bbb32a7ac5071a33fc499a891553b3f5a62bff701b7785b14f54b54721a3c4,,15
OpenBMI,outcome,0,1,15,correct_adapter,pda_r1_lx0.5_lp0.01,0.78,0.7785829307568438,False,False,bc3be33d79d8276f082cffe2ad63ced23ab7ef78ebaef0cde2573e358505d438,,
OpenBMI,outcome,0,1,15,wrong_adapter,pda_r1_lx0.5_lp0.01,0.82,0.8173701298701299,False,False,bc3be33d79d8276f082cffe2ad63ced23ab7ef78ebaef0cde2573e358505d438,41,
OpenBMI,outcome,0,1,15,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.74,0.7241086587436333,False,False,bc3be33d79d8276f082cffe2ad63ced23ab7ef78ebaef0cde2573e358505d438,,19
OpenBMI,outcome,0,1,19,correct_adapter,pda_r1_lx0.5_lp0.01,0.6799999999999999,0.6788438378161381,False,False,bc3be33d79d8276f082cffe2ad63ced23ab7ef78ebaef0cde2573e358505d438,,
OpenBMI,outcome,0,1,19,wrong_adapter,pda_r1_lx0.5_lp0.01,0.66,0.6532027743778049,False,False,bc3be33d79d8276f082cffe2ad63ced23ab7ef78ebaef0cde2573e358505d438,49,
OpenBMI,outcome,0,1,19,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.6699999999999999,0.6440513428972063,False,False,bc3be33d79d8276f082cffe2ad63ced23ab7ef78ebaef0cde2573e358505d438,,32
OpenBMI,outcome,0,1,32,correct_adapter,pda_r1_lx0.5_lp0.01,0.74,0.7291666666666667,False,False,bc3be33d79d8276f082cffe2ad63ced23ab7ef78ebaef0cde2573e358505d438,,
