dataset,role,fold,seed,subject,method,recipe,BA,macro_F1,future_session_used_for_fit,future_labels_used_for_fit,matched_subject,assigned_subject
OpenBMI,outcome,0,0,15,population,pda_r1_lx0.5_lp0.01,0.79,0.7874278773155178,False,False,,
OpenBMI,outcome,0,0,15,intercept_only,pda_r1_lx0.5_lp0.01,0.75,0.7487689679429204,False,False,,
OpenBMI,outcome,0,0,15,ordinary_adapter,pda_r1_lx0.5_lp0.01,0.76,0.7599039615846338,False,False,,
OpenBMI,outcome,0,0,15,single_session,pda_r1_lx0.5_lp0.01,0.5,0.3333333333333333,False,False,,
OpenBMI,outcome,0,0,15,mean_pooled,pda_r1_lx0.5_lp0.01,0.58,0.4900437105390966,False,False,,
OpenBMI,outcome,0,0,15,no_crossfit,pda_r1_lx0.5_lp0.01,0.76,0.7599039615846338,False,False,,
OpenBMI,outcome,0,0,15,crossfit_mean,pda_r1_lx0.5_lp0.01,0.77,0.7660461804495982,False,False,,
OpenBMI,outcome,0,0,15,full_pda,pda_r1_lx0.5_lp0.01,0.78,0.7777777777777778,False,False,,
OpenBMI,outcome,0,0,15,correct_adapter,pda_r1_lx0.5_lp0.01,0.78,0.7777777777777778,False,False,,
OpenBMI,outcome,0,0,15,wrong_adapter,pda_r1_lx0.5_lp0.01,0.73,0.712,False,False,46,
OpenBMI,outcome,0,0,15,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.65,0.6072270227808326,False,False,,19
OpenBMI,outcome,0,0,19,population,pda_r1_lx0.5_lp0.01,0.71,0.7064480210547626,False,False,,
OpenBMI,outcome,0,0,19,intercept_only,pda_r1_lx0.5_lp0.01,0.72,0.7171717171717171,False,False,,
OpenBMI,outcome,0,0,19,ordinary_adapter,pda_r1_lx0.5_lp0.01,0.66,0.6392190152801358,False,False,,
OpenBMI,outcome,0,0,19,single_session,pda_r1_lx0.5_lp0.01,0.72,0.7181964573268921,False,False,,
OpenBMI,outcome,0,0,19,mean_pooled,pda_r1_lx0.5_lp0.01,0.7,0.7,False,False,,
OpenBMI,outcome,0,0,19,no_crossfit,pda_r1_lx0.5_lp0.01,0.71,0.7050147492625369,False,False,,
OpenBMI,outcome,0,0,19,crossfit_mean,pda_r1_lx0.5_lp0.01,0.7,0.7,False,False,,
OpenBMI,outcome,0,0,19,full_pda,pda_r1_lx0.5_lp0.01,0.7,0.6998799519807923,False,False,,
OpenBMI,outcome,0,0,19,correct_adapter,pda_r1_lx0.5_lp0.01,0.7,0.6998799519807923,False,False,,
OpenBMI,outcome,0,0,19,wrong_adapter,pda_r1_lx0.5_lp0.01,0.73,0.72997299729973,False,False,49,
