dataset,recipe,validation_population_BA,validation_full_BA,validation_delta_BA,validation_subjects,future_session_used_for_fit,OpenBMI,WBCIC,minimum_dataset_delta,mean_dataset_delta
OpenBMI,pda_r1_lx0.5_lp0.001,0.7610833333333333,0.7065833333333332,-0.054500000000000104,28,False,-0.054500000000000104,-0.018790342448879005,-0.054500000000000104,-0.036645171224439554
OpenBMI,pda_r1_lx0.5_lp0.01,0.7610833333333333,0.7071666666666666,-0.053916666666666724,28,False,-0.053916666666666724,-0.018709041635870838,-0.053916666666666724,-0.03631285415126878
OpenBMI,pda_r1_lx1_lp0.001,0.7610833333333333,0.7018333333333333,-0.059250000000000025,28,False,-0.059250000000000025,-0.01931838712326517,-0.059250000000000025,-0.0392841935616326
OpenBMI,pda_r1_lx1_lp0.01,0.7610833333333333,0.7024166666666667,-0.058666666666666645,28,False,-0.058666666666666645,-0.01911472448057816,-0.058666666666666645,-0.0388906955736224
OpenBMI,pda_r2_lx0.5_lp0.001,0.7610833333333333,0.7025833333333333,-0.058499999999999996,28,False,-0.058499999999999996,-0.01939476061427281,-0.058499999999999996,-0.0389473803071364
OpenBMI,pda_r2_lx0.5_lp0.01,0.7610833333333333,0.70375,-0.05733333333333335,28,False,-0.05733333333333335,-0.019313459801264643,-0.05733333333333335,-0.038323396567298995
OpenBMI,pda_r2_lx1_lp0.001,0.7610833333333333,0.6960833333333334,-0.06499999999999995,28,False,-0.06499999999999995,-0.019435411020776838,-0.06499999999999995,-0.04221770551038839
OpenBMI,pda_r2_lx1_lp0.01,0.7610833333333333,0.6969166666666666,-0.0641666666666667,28,False,-0.0641666666666667,-0.019313459801264643,-0.0641666666666667,-0.041740063233965674
OpenBMI,pda_r4_lx0.5_lp0.001,0.7610833333333333,0.68225,-0.07883333333333331,28,False,-0.07883333333333331,-0.02232200049273214,-0.07883333333333331,-0.050577666913032726
OpenBMI,pda_r4_lx0.5_lp0.01,0.7610833333333333,0.6843333333333333,-0.07674999999999998,28,False,-0.07674999999999998,-0.022240699679724085,-0.07674999999999998,-0.049495349839862035
OpenBMI,pda_r4_lx1_lp0.001,0.7610833333333333,0.6776666666666666,-0.0834166666666667,28,False,-0.0834166666666667,-0.02215898825654916,-0.0834166666666667,-0.05278782746160793
OpenBMI,pda_r4_lx1_lp0.01,0.7610833333333333,0.6813333333333333,-0.07974999999999999,28,False,-0.07974999999999999,-0.022118337850045133,-0.07974999999999999,-0.05093416892502256
WBCIC,pda_r1_lx0.5_lp0.001,0.7986195286195286,0.7798291861706496,-0.018790342448879005,41,False,-0.054500000000000104,-0.018790342448879005,-0.054500000000000104,-0.036645171224439554
WBCIC,pda_r1_lx0.5_lp0.01,0.7986195286195286,0.7799104869836577,-0.018709041635870838,41,False,-0.053916666666666724,-0.018709041635870838,-0.053916666666666724,-0.03631285415126878
WBCIC,pda_r1_lx1_lp0.001,0.7986195286195286,0.7793011414962634,-0.01931838712326517,41,False,-0.059250000000000025,-0.01931838712326517,-0.059250000000000025,-0.0392841935616326
WBCIC,pda_r1_lx1_lp0.01,0.7986195286195286,0.7795048041389504,-0.01911472448057816,41,False,-0.058666666666666645,-0.01911472448057816,-0.058666666666666645,-0.0388906955736224
WBCIC,pda_r2_lx0.5_lp0.001,0.7986195286195286,0.7792247680052558,-0.01939476061427281,41,False,-0.058499999999999996,-0.01939476061427281,-0.058499999999999996,-0.0389473803071364
WBCIC,pda_r2_lx0.5_lp0.01,0.7986195286195286,0.7793060688182639,-0.019313459801264643,41,False,-0.05733333333333335,-0.019313459801264643,-0.05733333333333335,-0.038323396567298995
WBCIC,pda_r2_lx1_lp0.001,0.7986195286195286,0.7791841175987517,-0.019435411020776838,41,False,-0.06499999999999995,-0.019435411020776838,-0.06499999999999995,-0.04221770551038839
WBCIC,pda_r2_lx1_lp0.01,0.7986195286195286,0.7793060688182639,-0.019313459801264643,41,False,-0.0641666666666667,-0.019313459801264643,-0.0641666666666667,-0.041740063233965674
WBCIC,pda_r4_lx0.5_lp0.001,0.7986195286195286,0.7762975281267964,-0.02232200049273214,41,False,-0.07883333333333331,-0.02232200049273214,-0.07883333333333331,-0.050577666913032726
WBCIC,pda_r4_lx0.5_lp0.01,0.7986195286195286,0.7763788289398045,-0.022240699679724085,41,False,-0.07674999999999998,-0.022240699679724085,-0.07674999999999998,-0.049495349839862035
WBCIC,pda_r4_lx1_lp0.001,0.7986195286195286,0.7764605403629794,-0.02215898825654916,41,False,-0.0834166666666667,-0.02215898825654916,-0.0834166666666667,-0.05278782746160793
WBCIC,pda_r4_lx1_lp0.01,0.7986195286195286,0.7765011907694834,-0.022118337850045133,41,False,-0.07974999999999999,-0.022118337850045133,-0.07974999999999999,-0.05093416892502256
