dataset,fold,model,meta_fold,subject_id,delta_future_loss,positive_harm,harmed,pseudo_future_role
OpenBMI,0,M0,0,15,0.00048810988664627075,0.00048810988664627075,True,True
OpenBMI,0,M0,0,27,0.001481175422668457,0.001481175422668457,True,True
OpenBMI,0,M0,0,39,-0.0006822645664215088,0.0,False,True
OpenBMI,0,M0,0,43,-0.0009880214929580688,0.0,False,True
OpenBMI,0,M0,0,44,-0.0024558305740356445,0.0,False,True
OpenBMI,0,M0,0,46,0.003317594528198242,0.003317594528198242,True,True
OpenBMI,0,M0,0,52,-0.0034208297729492188,0.0,False,True
OpenBMI,0,M0,1,5,-0.0007566511631011963,0.0,False,True
OpenBMI,0,M0,1,8,0.0018174052238464355,0.0018174052238464355,True,True
OpenBMI,0,M0,1,20,-8.909404277801514e-05,0.0,False,True
OpenBMI,0,M0,1,22,-0.0035419464111328125,0.0,False,True
OpenBMI,0,M0,1,37,-0.0008994266390800476,0.0,False,True
OpenBMI,0,M0,1,38,-0.000534355640411377,0.0,False,True
OpenBMI,0,M0,1,49,-0.00012652575969696045,0.0,False,True
OpenBMI,0,M0,2,9,-1.743808388710022e-05,0.0,False,True
OpenBMI,0,M0,2,11,0.00036281347274780273,0.00036281347274780273,True,True
OpenBMI,0,M0,2,25,-0.0033901333808898926,0.0,False,True
OpenBMI,0,M0,2,26,-0.0010741651058197021,0.0,False,True
OpenBMI,0,M0,2,31,-0.0017615258693695068,0.0,False,True
OpenBMI,0,M0,2,41,-6.094574928283691e-06,0.0,False,True
OpenBMI,0,M0,2,51,-0.0031091272830963135,0.0,False,True
OpenBMI,0,M0,3,4,-0.001475691795349121,0.0,False,True
OpenBMI,0,M0,3,12,-0.0013104230165481567,0.0,False,True
OpenBMI,0,M0,3,16,0.004445970058441162,0.004445970058441162,True,True
OpenBMI,0,M0,3,18,-0.002155691385269165,0.0,False,True
OpenBMI,0,M0,3,24,-0.002679169178009033,0.0,False,True
OpenBMI,0,M0,3,29,0.002021610736846924,0.002021610736846924,True,True
OpenBMI,0,M0,3,35,-1.7464160919189453e-05,0.0,False,True
OpenBMI,0,M0,4,7,0.00561949610710144,0.00561949610710144,True,True
OpenBMI,0,M0,4,21,-0.0019439160823822021,0.0,False,True
OpenBMI,0,M0,4,23,-0.003411412239074707,0.0,False,True
OpenBMI,0,M0,4,30,-0.0020006895065307617,0.0,False,True
OpenBMI,0,M0,4,34,-0.004348874092102051,0.0,False,True
OpenBMI,0,M0,4,42,-0.002822786569595337,0.0,False,True
OpenBMI,0,M1,0,15,0.00035143643617630005,0.00035143643617630005,True,True
OpenBMI,0,M1,0,27,0.0005575418472290039,0.0005575418472290039,True,True
OpenBMI,0,M1,0,39,-9.001046419143677e-05,0.0,False,True
OpenBMI,0,M1,0,43,-0.00012684613466262817,0.0,False,True
