policy_id,subject_id,delta_BA,available_runs
M0_KEEP,10,0.0,2
M0_KEEP,11,0.0,4
M0_KEEP,12,0.0,6
M0_KEEP,13,0.0,4
M0_KEEP,15,0.0,6
M0_KEEP,16,0.0,2
M0_KEEP,18,0.0,4
M0_KEEP,19,0.0,2
M0_KEEP,2,0.0,4
M0_KEEP,20,0.0,6
M0_KEEP,23,0.0,6
M0_KEEP,24,0.0,6
M0_KEEP,25,0.0,2
M0_KEEP,26,0.0,4
M0_KEEP,27,0.0,6
M0_KEEP,29,0.0,4
M0_KEEP,3,0.0,2
M0_KEEP,30,0.0,4
M0_KEEP,31,0.0,6
M0_KEEP,32,0.0,4
M0_KEEP,33,0.0,4
M0_KEEP,34,0.0,4
M0_KEEP,36,0.0,4
M0_KEEP,37,0.0,6
M0_KEEP,38,0.0,4
M0_KEEP,40,0.0,2
M0_KEEP,41,0.0,6
M0_KEEP,42,0.0,4
M0_KEEP,43,0.0,4
M0_KEEP,44,0.0,4
M0_KEEP,45,0.0,2
M0_KEEP,47,0.0,4
M0_KEEP,48,0.0,2
M0_KEEP,49,0.0,4
M0_KEEP,5,0.0,2
M0_KEEP,50,0.0,2
M0_KEEP,51,0.0,4
M0_KEEP,52,0.0,4
M0_KEEP,54,0.0,2
M0_KEEP,8,0.0,6
I001_SINGLE_RUN_CONFIDENCE,10,0.019999999999999962,2
I001_SINGLE_RUN_CONFIDENCE,11,0.003749999999999948,4
I001_SINGLE_RUN_CONFIDENCE,12,-0.0016666666666666496,6
I001_SINGLE_RUN_CONFIDENCE,13,-0.026250000000000023,4
I001_SINGLE_RUN_CONFIDENCE,15,0.005833333333333357,6
I001_SINGLE_RUN_CONFIDENCE,16,0.0,2
I001_SINGLE_RUN_CONFIDENCE,18,0.007499999999999979,4
I001_SINGLE_RUN_CONFIDENCE,19,0.0,2
I001_SINGLE_RUN_CONFIDENCE,2,0.012500000000000039,4
I001_SINGLE_RUN_CONFIDENCE,20,-0.012499999999999992,6
I001_SINGLE_RUN_CONFIDENCE,23,-0.00666666666666671,6
I001_SINGLE_RUN_CONFIDENCE,24,-0.013333333333333308,6
I001_SINGLE_RUN_CONFIDENCE,25,0.0,2
I001_SINGLE_RUN_CONFIDENCE,26,0.0,4
I001_SINGLE_RUN_CONFIDENCE,27,0.0,6
I001_SINGLE_RUN_CONFIDENCE,29,0.0,4
I001_SINGLE_RUN_CONFIDENCE,3,0.014999999999999958,2
I001_SINGLE_RUN_CONFIDENCE,30,-0.016249999999999987,4
I001_SINGLE_RUN_CONFIDENCE,31,0.00416666666666667,6
I001_SINGLE_RUN_CONFIDENCE,32,0.0,4
I001_SINGLE_RUN_CONFIDENCE,33,0.0025000000000000022,4
I001_SINGLE_RUN_CONFIDENCE,34,0.0,4
I001_SINGLE_RUN_CONFIDENCE,36,0.0,4
I001_SINGLE_RUN_CONFIDENCE,37,-0.000833333333333334,6
I001_SINGLE_RUN_CONFIDENCE,38,0.0,4
I001_SINGLE_RUN_CONFIDENCE,40,0.0,2
I001_SINGLE_RUN_CONFIDENCE,41,-0.004166666666666634,6
I001_SINGLE_RUN_CONFIDENCE,42,0.0,4
I001_SINGLE_RUN_CONFIDENCE,43,-5.551115123125783e-17,4
I001_SINGLE_RUN_CONFIDENCE,44,-5.551115123125783e-17,4
I001_SINGLE_RUN_CONFIDENCE,45,0.004999999999999949,2
I001_SINGLE_RUN_CONFIDENCE,47,0.0012500000000000011,4
I001_SINGLE_RUN_CONFIDENCE,48,-0.012499999999999956,2
I001_SINGLE_RUN_CONFIDENCE,49,-0.0012500000000000011,4
I001_SINGLE_RUN_CONFIDENCE,5,0.0,2
I001_SINGLE_RUN_CONFIDENCE,50,-5.551115123125783e-17,2
I001_SINGLE_RUN_CONFIDENCE,51,0.0,4
I001_SINGLE_RUN_CONFIDENCE,52,0.0,4
I001_SINGLE_RUN_CONFIDENCE,54,0.007500000000000007,2
I001_SINGLE_RUN_CONFIDENCE,8,0.0,6
I002_SINGLE_RUN_LOGISTIC_ERROR,10,0.02250000000000002,2
I002_SINGLE_RUN_LOGISTIC_ERROR,11,0.006249999999999978,4
I002_SINGLE_RUN_LOGISTIC_ERROR,12,0.0,6
I002_SINGLE_RUN_LOGISTIC_ERROR,13,-0.017499999999999988,4
I002_SINGLE_RUN_LOGISTIC_ERROR,15,-0.001666666666666668,6
I002_SINGLE_RUN_LOGISTIC_ERROR,16,0.007500000000000007,2
I002_SINGLE_RUN_LOGISTIC_ERROR,18,0.0,4
I002_SINGLE_RUN_LOGISTIC_ERROR,19,0.0025000000000000022,2
I002_SINGLE_RUN_LOGISTIC_ERROR,2,-0.0050000000000000044,4
I002_SINGLE_RUN_LOGISTIC_ERROR,20,-0.00999999999999999,6
I002_SINGLE_RUN_LOGISTIC_ERROR,23,0.0024999999999999654,6
I002_SINGLE_RUN_LOGISTIC_ERROR,24,0.0,6
I002_SINGLE_RUN_LOGISTIC_ERROR,25,0.0,2
I002_SINGLE_RUN_LOGISTIC_ERROR,26,0.0,4
I002_SINGLE_RUN_LOGISTIC_ERROR,27,-0.007500000000000007,6
I002_SINGLE_RUN_LOGISTIC_ERROR,29,0.0,4
I002_SINGLE_RUN_LOGISTIC_ERROR,3,0.010000000000000009,2
I002_SINGLE_RUN_LOGISTIC_ERROR,30,-0.0024999999999999745,4
I002_SINGLE_RUN_LOGISTIC_ERROR,31,0.0033333333333332993,6
I002_SINGLE_RUN_LOGISTIC_ERROR,32,0.0,4
I002_SINGLE_RUN_LOGISTIC_ERROR,33,0.0,4
I002_SINGLE_RUN_LOGISTIC_ERROR,34,-0.011249999999999982,4
I002_SINGLE_RUN_LOGISTIC_ERROR,36,-0.0037499999999999756,4
I002_SINGLE_RUN_LOGISTIC_ERROR,37,-0.0025000000000000022,6
I002_SINGLE_RUN_LOGISTIC_ERROR,38,-0.0012500000000000011,4
I002_SINGLE_RUN_LOGISTIC_ERROR,40,0.012500000000000067,2
I002_SINGLE_RUN_LOGISTIC_ERROR,41,0.005833333333333375,6
I002_SINGLE_RUN_LOGISTIC_ERROR,42,-0.0037500000000000033,4
I002_SINGLE_RUN_LOGISTIC_ERROR,43,-0.0062500000000000056,4
I002_SINGLE_RUN_LOGISTIC_ERROR,44,0.0,4
I002_SINGLE_RUN_LOGISTIC_ERROR,45,0.0,2
