pool,action_or_policy,cross_run_disagreement_trials,number_eligible,number_selected,number_hard_label_changed,rescue_count,harm_count,net_correctness_gain,rescue_precision,harm_rate,delta_BA_contribution,unique_rescue_beyond_best_ensemble,best_ensemble_id,unit,OUTER_TEST_USED
exploration,KEEP_ON_DISAGREEMENT,3892,3892,3892,0,0,0,0,,,0.0,0,B6_ALL_RUN_LOGIT_MEAN,target_run_trial,False
exploration,DIRECT_MAJORITY_REPLACEMENT,3892,3892,3892,3892,2218,1674,544,0.5698869475847893,0.4301130524152107,0.013979166666666659,531,B6_ALL_RUN_LOGIT_MEAN,target_run_trial,False
exploration,AMPLIFY_MATCHES_MAJORITY,3892,805,805,805,490,315,175,0.6086956521739131,0.391304347826087,0.005031250000000003,72,B6_ALL_RUN_LOGIT_MEAN,target_run_trial,False
exploration,GEOMETRY_MATCHES_MAJORITY,3892,1220,513,513,298,215,83,0.580896686159844,0.4191033138401559,0.0022812500000000025,69,B6_ALL_RUN_LOGIT_MEAN,target_run_trial,False
exploration,ERASE_MATCHES_MAJORITY,3892,1837,1722,1722,988,734,254,0.5737514518002322,0.4262485481997677,0.006416666666666659,235,B6_ALL_RUN_LOGIT_MEAN,target_run_trial,False
exploration,I003_PROTECTED_SAFE_PRIORITY,3892,1318,1318,1318,788,530,258,0.5978755690440061,0.40212443095599393,0.007312500000000001,141,B6_ALL_RUN_LOGIT_MEAN,target_run_trial,False
exploration,I003_FULL_PRIORITY,3892,3040,3040,3040,1776,1264,512,0.5842105263157895,0.41578947368421054,0.013729166666666664,376,B6_ALL_RUN_LOGIT_MEAN,target_run_trial,False
holdout,KEEP_ON_DISAGREEMENT,1009,1009,1009,0,0,0,0,,,0.0,0,B6_ALL_RUN_LOGIT_MEAN,target_run_trial,False
holdout,DIRECT_MAJORITY_REPLACEMENT,1009,1009,1009,1009,556,453,103,0.5510406342913776,0.4489593657086224,0.008819444444444453,152,B6_ALL_RUN_LOGIT_MEAN,target_run_trial,False
holdout,AMPLIFY_MATCHES_MAJORITY,1009,172,172,172,112,60,52,0.6511627906976745,0.3488372093023256,0.006041666666666677,14,B6_ALL_RUN_LOGIT_MEAN,target_run_trial,False
holdout,GEOMETRY_MATCHES_MAJORITY,1009,270,127,127,71,56,15,0.5590551181102362,0.4409448818897638,0.0012847222222222303,20,B6_ALL_RUN_LOGIT_MEAN,target_run_trial,False
holdout,ERASE_MATCHES_MAJORITY,1009,473,443,443,232,211,21,0.5237020316027088,0.4762979683972912,0.0011458333333333505,55,B6_ALL_RUN_LOGIT_MEAN,target_run_trial,False
holdout,I003_PROTECTED_SAFE_PRIORITY,1009,299,299,299,183,116,67,0.6120401337792643,0.3879598662207358,0.007326388888888896,34,B6_ALL_RUN_LOGIT_MEAN,target_run_trial,False
holdout,I003_FULL_PRIORITY,1009,742,742,742,415,327,88,0.5592991913746631,0.44070080862533695,0.008472222222222218,89,B6_ALL_RUN_LOGIT_MEAN,target_run_trial,False
pooled_descriptive,KEEP_ON_DISAGREEMENT,4901,4901,4901,0,0,0,0,,,0.0,0,B6_ALL_RUN_LOGIT_MEAN,target_run_trial,False
pooled_descriptive,DIRECT_MAJORITY_REPLACEMENT,4901,4901,4901,4901,2774,2127,647,0.5660069373597225,0.4339930626402775,0.012788461538461535,683,B6_ALL_RUN_LOGIT_MEAN,target_run_trial,False
pooled_descriptive,AMPLIFY_MATCHES_MAJORITY,4901,977,977,977,602,375,227,0.6161719549641761,0.38382804503582396,0.0052644230769230815,86,B6_ALL_RUN_LOGIT_MEAN,target_run_trial,False
pooled_descriptive,GEOMETRY_MATCHES_MAJORITY,4901,1490,640,640,369,271,98,0.5765625,0.4234375,0.0020512820512820547,89,B6_ALL_RUN_LOGIT_MEAN,target_run_trial,False
pooled_descriptive,ERASE_MATCHES_MAJORITY,4901,2310,2165,2165,1220,945,275,0.5635103926096998,0.43648960739030024,0.0052003205128205105,290,B6_ALL_RUN_LOGIT_MEAN,target_run_trial,False
pooled_descriptive,I003_PROTECTED_SAFE_PRIORITY,4901,1617,1617,1617,971,646,325,0.6004947433518862,0.3995052566481138,0.007315705128205131,175,B6_ALL_RUN_LOGIT_MEAN,target_run_trial,False
pooled_descriptive,I003_FULL_PRIORITY,4901,3782,3782,3782,2191,1591,600,0.579323109465891,0.42067689053410895,0.012516025641025637,465,B6_ALL_RUN_LOGIT_MEAN,target_run_trial,False
